time_stamp,MODE,alt,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro
12:24:17,STABILIZE,584000.0,-35.3632622,149.1652375,17.666666666666668,-1.0,1.0,-1.0,-0.0005686793495745709,0.001148419571109116,0.02671687553326289,0.00018812673321614662,0.00023900874657556415,0.0021432381278524795,0.0,1.6666666666666667,-1000.0,0.0,0.0,0.3333333333333333
12:24:25,STABILIZE,584010.0,-35.3632622,149.1652375,25.0,-1.0,0.5,-0.5,-0.0008978948171716183,0.0009271359595004469,0.02409479022026062,0.00013979189679957926,0.00032640245626680553,0.0018154313147533685,0.0,1.5,-1000.0,0.5,0.25,0.25
12:24:28,STABILIZE,584010.0,-35.3632622,149.1652375,26.333333333333332,-1.0,0.3333333333333333,-0.6666666666666666,-0.0007592564797960222,0.0009509455412626266,0.023024238646030426,0.000260976143181324,0.00020557537209242582,0.0017088062595576048,0.0,1.5,-1000.0,0.0,0.0,0.0
12:24:32,AUTO,584016.0,-35.3632622,149.1652375,14.8,-1.0,0.0,-2.0,-0.0006216342095285654,0.001000141492113471,0.021914172172546386,0.0003088077181018889,0.00025110339047387244,0.0015355630544945597,0.0,1.1666666666666667,-1000.3333333333334,0.3333333333333333,0.0,0.5
12:24:34,AUTO,584020.0,-35.3632622,149.1652375,15.833333333333334,0.0,0.0,-0.6666666666666666,-0.0003478815900355888,0.0012861272552981973,0.021389670359591644,0.00028737232787534595,0.00025606493970068794,0.0014477689207221072,0.0,1.3333333333333333,-1000.0,0.3333333333333333,0.6666666666666666,0.16666666666666666
12:24:36,AUTO,584198.0,-35.36326216,149.1652375,192.6,0.0,0.4,-52.8,0.0023151566791057123,0.000744556839345023,0.020900371298193932,0.0012297917739488185,-0.0001423688721843064,0.0012422267289366573,0.0,0.5,-1084.0,1.3333333333333333,0.16666666666666666,0.5
12:24:38,AUTO,586495.0,-35.36326173333333,149.16523911666664,2490.6666666666665,5.166666666666667,30.666666666666668,-146.66666666666666,0.04294218278179566,-0.0007691369780028859,0.0044468628863493604,-0.01234901820619901,0.016546672365317743,-0.02764303667936474,1.3333333333333333,-5.5,-1000.0,-11.833333333333334,17.666666666666668,-28.333333333333332
12:24:40,AUTO,589546.6666666666,-35.36326076666666,149.1652457666667,5541.5,-0.6666666666666666,-6.5,-147.83333333333334,-0.06080555357038975,0.0028796217520721257,-0.08962959175308545,-0.011435328051447868,-0.0012377024783442419,-0.028369919396936893,0.3333333333333333,-0.5,-1001.6666666666666,-11.0,-0.3333333333333333,-28.333333333333332
12:24:42,AUTO,592638.3333333334,-35.36326248333334,149.16523629999998,8630.833333333334,-19.166666666666668,-38.333333333333336,-150.83333333333334,0.03674470501330992,0.010904511980091533,-0.10712512955069542,0.05550546498852782,-0.005340589443221688,0.01146934853750281,-2.0,10.5,-1002.0,55.833333333333336,-4.666666666666667,11.0
12:24:44,AUTO,595726.6666666666,-35.36326306666667,149.16523671666667,11722.333333333334,27.333333333333332,19.166666666666668,-148.33333333333334,-0.014824255447213849,-0.02242976302901904,-0.07381610572338104,-0.05171271653186219,0.05517733089315394,-0.0626596895356973,-2.0,-7.0,-1003.0,-50.833333333333336,55.333333333333336,-62.833333333333336
