time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE
21:34:49,1500.0,0.0,1.3333333333333333,-1000.0,0.16666666666666666,0.0,0.0,-35.363262166666665,149.16523753333334,0.0,-1.6666666666666667,2.3333333333333335,1.3333333333333333,-0.0007580914146577319,0.001412639976479113,0.02698507035772006,0.00020141258331326148,0.0002492609200999141,0.002194527847071489,STABILIZE
21:35:03,1500.0,0.0,1.625,-1000.0,0.375,0.375,0.375,-35.3632621375,149.1652375,0.0,-1.0,0.625,-1.0,-0.0007876297313487157,0.0009460957953706384,0.024151127552613616,0.00027008137840311974,0.0003126307201455347,0.0017875754565466195,STABILIZE
21:35:06,1500.0,0.0,1.0,-1000.0,0.0,0.0,0.4,-35.3632622,149.1652375,0.0,-1.0,2.0,0.0,-0.0005459724226966501,0.000958276737947017,0.023351690918207168,0.0002717468654736876,0.0002110587200149894,0.0016402802197262646,STABILIZE
21:35:09,1500.0,0.0,1.6,-1000.0,0.2,0.1,0.2,-35.363262166666665,149.1652375333333,0.7777777777777778,-0.7777777777777778,1.4444444444444444,1.1111111111111112,-0.0007443631766363978,0.000995605349695931,0.02248315078516801,0.0002904191820157899,0.0002529242063044674,0.0015355424386345679,AUTO
21:35:15,1500.0,0.0,0.75,-1046.0,6.75,-1.75,1.0,-35.3632621,149.1652374,9.5,0.0,-0.25,-8.75,0.001277719024074031,0.001068331446731463,0.021523536182940006,0.006147486521513201,-0.0028803911700379103,0.0018868442421080545,AUTO
21:35:17,1500.0,0.0,-0.8333333333333334,-1039.0,33.833333333333336,-4.166666666666667,0.6666666666666666,-35.363262033333335,149.16523766666666,1330.1666666666667,1.0,6.666666666666667,-136.16666666666666,0.02075390183987717,-0.000996836800671493,0.020923575696845848,0.033762876759283245,-0.005157903229701333,0.001522301327592383,AUTO
21:35:19,1500.0,3.1666666666666665,-9.333333333333334,-1000.8333333333334,-77.16666666666667,11.0,-57.833333333333336,-35.36326111666667,149.16524346666668,4057.5,3.6666666666666665,40.666666666666664,-147.83333333333334,-0.007939429953694344,0.01258779705191652,-0.05774460081011057,-0.0783432371293505,0.01011609798297286,-0.057900307389597096,AUTO
21:35:26,1500.0,0.0,-0.16666666666666666,-999.6666666666666,2.0,-0.5,24.166666666666668,-35.36326231666667,149.16523655,27532.833333333332,-3.3333333333333335,3.8333333333333335,-153.5,0.009988889719049135,0.0021283016346084573,-0.22996766865253448,0.001173498041074102,-0.0015435655950568616,0.024765190357963245,AUTO
21:35:38,1500.0,0.0,0.0,-1000.125,1.0,0.5,7.25,-35.36326209999999,149.16523735714284,41758.142857142855,0.0,0.2857142857142857,-153.0,0.0023581063973584344,0.001248824310355953,-0.10989014165742057,-0.00014465918398595283,-0.0003064976605985846,0.007376289593854121,AUTO
21:35:45,1500.0,0.3333333333333333,-5.333333333333333,-978.0,64.33333333333333,3.0,-23.666666666666668,-35.363264,149.16523619999998,49659.5,3.0,16.5,-63.0,-0.010319232009351254,0.005202639382332563,0.22928491979837418,-0.03408750891685486,0.0025402046740055084,-0.024937305599451065,AUTO
