time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,MODE
08:44:28,0.0,1.0,-1000.0,0.0,0.0,1.0,1500.0,-0.0008540892158634961,0.0009967251680791378,0.022142402827739716,0.00026281108148396015,0.0002708763349801302,0.0014450071612372994,-35.3632622,149.1652375,7.0,-1.0,1.0,0.0,AUTO
08:44:29,0.0,1.25,-1000.0,0.5,0.5,0.0,200.0,-0.0008617983985459432,0.0010539073264226317,0.021981619764119387,0.00026647884806152433,0.0003073021653108299,0.0014501447731163353,-35.363262125,149.1652375,7.5,-0.25,0.5,0.0,AUTO
08:44:30,0.0,1.5,-1000.0,0.5,0.5,0.5,200.0,-0.000558529733098112,0.0012545588542707264,0.021739482879638672,0.00028311621281318367,0.00026365346275269985,0.0015229388372972608,-35.3632621,149.1652375,4.0,0.0,0.5,1.0,AUTO
08:44:32,0.0,0.5,-1065.0,-1.0,3.0,0.0,200.0,0.002553632560193364,0.0008959964543464594,0.021313314326107502,-0.0012771512847393751,0.0025751300854608417,0.0008138294651871547,-35.3632621,149.1652375,85.5,0.0,0.5,-32.5,AUTO
08:44:33,0.0,0.0,-1066.75,21.75,-1.5,0.5,21611.0,0.008715722826309502,0.0009446177937206812,0.02083088317885995,0.02111513866111636,-0.0018902012379840016,0.0008548970799893141,-35.3632621,149.165237525,836.25,0.0,2.25,-123.5,AUTO
08:44:34,0.0,-4.0,-1001.0,26.5,-1.0,-14.0,21611.0,0.046749845147132874,-0.006059367791749537,0.006059601902961731,0.02652924135327339,-0.0018087101634591818,-0.013725402066484094,-35.363261800000004,149.1652388,2293.5,4.5,25.5,-147.5,AUTO
08:44:36,1.0,-2.5,-1002.0,0.5,-6.5,-25.0,21611.0,-0.05632515996694565,0.0023856347252149135,-0.0865803174674511,0.0002387426793575287,-0.007654448156245053,-0.02532978355884552,-35.3632608,149.165246,5350.0,-0.5,0.0,-149.5,AUTO
08:44:37,-5.0,9.25,-1001.75,62.0,6.75,-6.75,228891.0,-0.034736769273877144,0.0019213639898225665,-0.10515386611223221,0.06178427301347256,0.006722955382429063,-0.0070225075469352305,-35.363260975,149.165243175,6885.5,-6.25,-51.75,-149.75,AUTO
08:44:38,-3.0,10.5,-1003.0,65.5,5.5,1.5,228891.0,0.030422450741752982,0.009981777053326368,-0.10610873252153397,0.06540023908019066,0.005217630445258692,0.002271075929456856,-35.363261949999995,149.1652373,8440.5,-15.0,-42.5,-152.5,AUTO
08:44:40,-1.5,-5.0,-1003.0,-34.5,51.0,-57.5,228891.0,-0.01211685233283788,-0.01519566006027162,-0.08042500540614128,-0.035101774614304304,0.050382835790514946,-0.05773615278303623,-35.3632629,149.16523635,11547.5,18.5,13.0,-150.5,AUTO
