time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,RTL_ALT
10:51:31.587,STABILIZE,-35.3632621,149.1652375,0,0.0004114082839805633,0.0015381374396383762,0.026506680995225906,0.0001823861093726009,0.0002884491696022451,0.002262529917061329,0,1,-1000,0,0,0,-2,2,1,1500.0
10:51:31.788,STABILIZE,-35.3632622,149.1652375,0,0.0006509728264063597,0.001497723045758903,0.026362555101513863,0.00037100660847499967,0.000273186742560938,0.0021837055683135986,0,1,-1000,0,0,0,-2,3,3,1500.0
10:51:31.989,STABILIZE,-35.3632622,149.1652375,0,0.0006509728264063597,0.001497723045758903,0.026362555101513863,0.00037100660847499967,0.000273186742560938,0.0021837055683135986,0,1,-1000,0,0,0,-2,3,3,1500.0
10:51:32.191,STABILIZE,-35.3632622,149.1652375,0,0.0006509728264063597,0.001497723045758903,0.026362555101513863,0.00037100660847499967,0.000273186742560938,0.0021837055683135986,0,1,-1000,1,0,0,-2,3,3,1500.0
10:51:32.392,STABILIZE,-35.3632622,149.1652375,0,0.0006509728264063597,0.001497723045758903,0.026362555101513863,0.00037100660847499967,0.000273186742560938,0.0021837055683135986,0,1,-1000,1,0,0,-2,3,3,1500.0
10:51:32.594,STABILIZE,-35.3632622,149.1652376,0,0.0001939842477440834,0.001333311083726585,0.02589002251625061,0.0003489528608042747,0.00019031509873457253,0.002084068488329649,0,1,-1000,0,0,1,-2,3,2,1500.0
10:51:32.795,STABILIZE,-35.3632622,149.1652376,0,0.0001939842477440834,0.001333311083726585,0.02589002251625061,0.0003489528608042747,0.00019031509873457253,0.002084068488329649,0,1,-1000,0,0,1,-2,3,2,1500.0
10:51:32.996,STABILIZE,-35.3632622,149.1652376,0,0.0001939842477440834,0.001333311083726585,0.02589002251625061,0.0003489528608042747,0.00019031509873457253,0.002084068488329649,0,1,-1000,0,0,1,-2,3,2,1500.0
10:51:33.197,STABILIZE,-35.3632622,149.1652376,0,-0.00015873000666033477,0.0011966951424255967,0.025532422587275505,0.00024247256806120276,0.0002246526419185102,0.002109196502715349,0,1,-1000,0,0,1,-1,2,2,1500.0
10:51:33.398,STABILIZE,-35.3632622,149.1652375,0,-0.0002752368163783103,0.0011695028515532613,0.02542835660278797,0.00020110164768993855,0.00022875398281030357,0.0021141127217561007,0,1,-1000,0,0,1,-1,2,1,1500.0
10:51:33.600,STABILIZE,-35.3632622,149.1652375,0,-0.0002752368163783103,0.0011695028515532613,0.02542835660278797,0.00020110164768993855,0.00022875398281030357,0.0021141127217561007,0,1,-1000,0,0,1,-1,2,1,1500.0
10:51:33.802,STABILIZE,-35.3632622,149.1652375,0,-0.0002752368163783103,0.0011695028515532613,0.02542835660278797,0.00020110164768993855,0.00022875398281030357,0.0021141127217561007,0,1,-1000,0,0,1,-1,2,1,1500.0
