time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,MODE,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,EK2_ALT_SOURCE
10:13:24,1500.0,-0.002146921120584011,0.010090243828017265,-0.04966979660093784,-0.12061431258916855,0.02969770913477987,-0.06254616752266884,587955.0,-35.36326105,149.16524325,3977.5,6.0,46.5,-146.0,AUTO,587.9549865722656,3.5,-10.5,-996.5,-119.5,30.5,-62.5,0.0
10:13:26,1500.0,-0.03102164389565587,0.008746030973270535,-0.11352841928601265,0.06409397721290588,0.006916037993505597,-0.009596017771400511,591005.0,-35.363260999999994,149.16524205000002,7028.0,-11.5,-55.0,-148.0,AUTO,591.0050048828125,-5.0,10.5,-1001.5,64.5,7.0,-9.0,0.0
10:13:28,1500.0,0.05893251486122608,-0.03425329993478954,-0.06614414695650339,-0.009208128787577152,-0.07451622560620308,0.09576746821403503,594110.0,-35.363264799999996,149.165234,10134.5,-11.5,12.5,-149.0,AUTO,594.1099853515625,3.5,1.5,-997.0,-8.5,-73.0,95.0,0.0
10:13:30,1500.0,-0.03191226255148649,0.024977771565318108,-0.1503775790333748,0.02381443529156968,0.032806053292006254,-0.07353202067315578,597180.0,-35.3632601,149.1652378,13200.0,30.0,-8.5,-151.0,AUTO,597.1799621582031,-6.5,-4.5,-1004.0,24.5,33.0,-73.5,0.0
10:13:32,1500.0,0.020694642793387175,0.008702108636498451,-0.17059987783432007,-0.01739676168654114,-0.03158322913805023,0.028349593514576554,600305.0,-35.363260249999996,149.165235,16330.5,-22.5,6.5,-150.5,AUTO,600.3049926757812,3.0,2.5,-999.0,-16.5,-30.5,27.5,0.0
10:13:34,1500.0,-0.0034298401733394712,-0.0017747572583175497,-0.19487981498241425,0.007360146846622229,0.005117696709930897,-0.032341823913156986,603415.0,-35.36326205,149.1652365,19441.5,-3.0,2.5,-151.0,AUTO,603.4149780273438,0.5,0.0,-1000.0,8.0,5.5,-32.0,0.0
10:13:36,1500.0,0.005570977693423629,0.0037061849143356085,-0.24689575284719467,0.0002468872116878629,0.0007532061717938632,-0.01938509289175272,606535.0,-35.3632621,149.16523625000002,22560.0,-1.5,2.0,-151.0,AUTO,606.5350036621094,0.0,0.0,-1000.0,1.5,1.0,-19.0,0.0
10:13:38,1500.0,-0.004874135833233595,0.0030678114853799343,-0.27804383635520935,-0.08486244082450867,-0.0015051818918436766,-0.018019355833530426,609070.0,-35.3632621,149.1652365,25094.0,-1.0,4.0,-151.0,AUTO,609.0700073242188,0.0,0.0,-996.0,-83.0,0.0,-18.0,0.0
10:13:40,1500.0,0.005914144800044596,0.0017954882932826877,-0.24237218499183655,-0.008279809728264809,-0.0024485563044436276,0.023145068436861038,612770.0,-35.36326245,149.1652369,28792.0,-1.0,9.0,-151.0,AUTO,612.7699890136719,0.5,-0.5,-1000.0,-7.0,-1.0,22.5,0.0
10:13:42,1500.0,-0.0011768775875680149,0.0014902462135069072,-0.20389359444379807,-0.0019057761528529227,-0.0011534320656210184,0.016195623204112053,615875.0,-35.3632624,149.16523805,31898.5,0.0,3.0,-152.0,AUTO,615.8749694824219,0.0,-0.5,-1000.0,-1.0,0.0,15.5,0.0
10:13:44,1500.0,0.0014453476760536432,0.000787900440627709,-0.1752554476261139,0.0016817766008898616,0.00013952050358057022,0.013457693625241518,618985.0,-35.3632623,149.16523805,35009.5,0.0,0.0,-152.0,AUTO,618.9849853515625,0.0,0.0,-1000.0,2.0,1.0,13.0,0.0
10:13:46,1500.0,-0.06285656966792885,0.07531886669312371,-0.009737342596054077,-0.06979585363296792,0.04070534079801291,0.16589652048423886,622000.0,-35.363262399999996,149.1652372,38022.0,-17.0,-18.5,-110.0,ALT_HOLD,621.9999694824219,1.0,3.5,-902.5,-69.0,41.5,165.5,0.0
10:13:48,1500.0,-0.04963870067149401,0.0638907141983509,0.17835520207881927,0.6160262525081635,-0.05410327389836311,-0.02061737235635519,621780.0,-35.3632722,149.1652236,37809.0,-127.0,-136.0,172.0,ALT_HOLD,621.7799682617188,19.0,140.0,-896.0,1829.0,-64.0,-30.0,0.0
10:13:50,1500.0,0.01747510675340891,-0.03514339309185743,0.13929276913404465,-0.5388765931129456,0.03447425179183483,-0.044232684187591076,617215.0,-35.36330615,149.16519425,33241.0,-146.5,-51.0,116.0,AUTO,617.2149658203125,26.0,-29.5,-1070.5,-541.0,35.5,-43.5,0.0
10:13:52,1500.0,0.02747577242553234,-0.03267495520412922,0.1027483344078064,0.30499645322561264,0.03635931387543678,0.006783253978937864,616725.0,-35.36331905,149.1651867,32749.5,-10.0,7.5,-46.5,AUTO,616.5599975585938,3.0,16.0,-1052.0,365.0,45.0,7.0,0.0
10:13:54,1500.0,0.00952618580777198,-0.0025441398029215634,0.08875969052314758,0.005157859995961189,-0.0013364390470087528,-0.004728473839350045,618600.0,-35.3633192,149.16518754999998,34626.0,5.5,15.5,-135.0,AUTO,618.6000061035156,0.0,-4.0,-1027.5,7.0,-0.5,-4.0,0.0
10:13:56,1500.0,0.028972947038710117,0.011183529626578093,0.0418360223993659,-0.042015021201223135,0.0016805753111839294,-0.04675990715622902,621580.0,-35.363318500000005,149.16519505,37606.0,4.5,63.0,-145.5,AUTO,621.0199584960938,2.0,-10.0,-1004.0,16.0,20.0,-40.0,0.0
