,INS_HNTC2_ATT,INS_HNTCH_ATT,FOLL_SYSID,FOLL_OFS_Z,FOLL_POS_P,FOLL_OFS_X,FOLL_DIST_MAX,FOLL_OFS_Y,EK3_GPS_VACC_MAX,EK2_RNG_USE_HGT,EK3_RNG_USE_HGT,EK2_RNG_USE_SPD,EK3_RNG_USE_SPD,AHRS_YAW_P,ADSB_LIST_ALT,CHUTE_ALT_MIN,EK2_WIND_PSCALE,EK3_WIND_PSCALE,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,FS_DR_TIMEOUT,LGR_DEPLOY_ALT,LGR_RETRACT_ALT,ATC_ANG_LIM_TC
11:32:32.446,5.0,5.0,0.0,100.0,0.54,-31.0,1.0,24.0,0.0,-1.0,6.0,4.5,2.0,0.12,0.0,5252.0,0.0,0.5,1000.0,1.0,0.1,0.0,0.0,1000.0,0.5
11:32:38.103,5.0,5.0,0.0,100.0,0.53,100.0,1.0,77.0,7.5,23.0,21.0,5.5,4.5,0.3,0.0,25989.0,1.1,1.2,320.0,1.0,0.1,0.0,385.0,330.0,0.5
