time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,VFR_HUD_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,MODE,EK2_ALT_SOURCE
10:04:52,1500.0,0.0,1.2857142857142858,-1020.1428571428571,0.5714285714285714,-0.7142857142857143,0.7142857142857143,583.9842703683036,-0.0003837704924600465,0.0009201131968958569,0.020407519170216153,0.0006253303810288864,-0.0006912860054788845,0.0014757290316213454,583984.2857142857,-35.36326217142857,149.16523750000002,6.285714285714286,-0.7142857142857143,1.1428571428571428,-3.7142857142857144,AUTO,0.0
10:05:01,1500.0,-0.4,-0.6,-1000.8,10.6,5.2,-24.2,596.8199829101562,-0.010443010600283742,-0.002118672139476985,-0.11136860996484757,0.010486318229231984,0.005128691298887133,-0.02439284659922123,596820.0,-35.363262320000004,149.16523644,12846.2,3.2,0.8,-151.6,AUTO,0.0
10:05:15,1500.0,0.0,0.0,-1000.2,1.8,0.6,12.6,618.231982421875,0.0009071954060345888,0.0013603912200778722,-0.15246756076812745,0.0010203875484876336,-0.00011605725158005952,0.013115005567669868,618232.0,-35.36326228,149.165238,34258.8,0.0,0.0,-153.0,AUTO,0.0
10:05:34,1500.0,-5.4,-3.8,-1015.8,275.6,-38.8,-14.4,633.9779907226563,-0.0249206829816103,-0.03802270367741585,0.18558558821678162,0.2803954750299454,-0.04041249118745327,-0.015388150885701179,633978.0,-35.36326078,149.16523688,50001.0,14.4,-25.6,4.0,AUTO,0.0
10:05:43,1500.0,-136.2,-69.8,-983.0,-34.6,-18.4,-11.4,634.0139770507812,0.07220709472894668,-0.1384088784456253,-0.565926730632782,-0.0368118166923523,-0.019609201699495316,-0.012039500148966908,634014.0,-35.36296734,149.16496411999998,50038.0,542.8,-394.2,2.0,AUTO,0.0
10:06:16,1500.0,118.25,75.75,-982.5,-45.0,11.25,7.75,633.9849853515625,-0.06872161291539669,0.15234114974737167,-0.6290461272001266,-0.0458244988694787,0.010425251675769687,0.006105419714003801,633985.0,-35.3629588,149.16495819999997,50011.0,-549.75,426.25,3.75,RTL,0.0
10:06:35,1500.0,-1.0,-9.5,-993.25,23.25,0.0,-0.75,633.9774780273438,0.013070891378447413,8.311744022648782e-05,-0.6241536438465118,0.02363816648721695,-0.0012728096917271614,-0.003003025136422366,633977.5,-35.36326425,149.16523834999998,49999.75,11.75,-2.5,0.0,RTL,0.0
10:08:04,1500.0,0.0,0.0,-1000.0,3.0,3.0,3.0,584.3474731445312,0.009573443327099085,0.0069711931282654405,-0.6256121248006821,0.0017262123292312026,0.001913418498588726,0.0006496668793261051,584347.5,-35.363264025,149.1652347,375.25,0.25,12.0,10.5,RTL,0.0
