,A.AUTO1
14:30:16.476,-1
14:30:16.679,-1
14:30:16.881,-1
14:30:17.082,-1
14:30:17.283,-1
14:30:17.485,-1
14:30:17.686,-1
14:30:17.886,-1
14:30:18.087,-1
14:30:18.289,-1
14:30:18.491,-1
14:30:18.692,-1
14:30:18.894,-1
14:30:19.095,-1
14:30:19.296,-1
14:30:19.497,-1
14:30:19.698,-1
14:30:19.899,-1
14:30:20.100,-1
14:30:20.301,-1
14:30:20.503,-1
14:30:20.705,-1
14:30:20.907,-1
14:30:21.109,-1
14:30:21.310,-1
14:30:21.512,-1
14:30:21.713,-1
14:30:21.914,-1
14:30:22.116,-1
14:30:22.319,-1
14:30:22.521,-1
14:30:22.722,-1
14:30:22.923,-1
14:30:23.124,-1
14:30:23.325,-1
14:30:23.529,-1
14:30:23.730,-1
14:30:23.931,-1
14:30:24.132,-1
14:30:24.334,-1
14:30:24.537,-1
14:30:24.741,-1
14:30:24.943,-1
14:30:25.144,-1
14:30:25.345,-1
14:30:25.546,-1
14:30:25.747,-1
14:30:26.396,-1
14:30:26.597,-1
14:30:26.799,-1
14:30:27.001,-1
14:30:27.203,-1
14:30:27.404,-1
14:30:27.605,-1
14:30:27.806,-1
14:30:28.007,-1
14:30:28.208,-1
14:30:28.409,-1
14:30:28.609,-1
14:30:28.810,-1
14:30:29.012,-1
14:30:29.213,-1
14:30:29.415,-1
14:30:29.616,-1
14:30:29.817,-1
14:30:30.017,-1
14:30:30.218,-1
14:30:30.419,-1
14:30:30.620,-1
14:30:30.822,-1
14:30:31.025,-1
14:30:31.227,-1
14:30:31.428,-1
14:30:31.629,-1
14:30:31.830,-1
14:30:32.031,-1
14:30:32.232,-1
14:30:32.433,-1
14:30:32.634,-1
14:30:32.835,-1
14:30:33.037,-1
14:30:33.239,-1
14:30:33.440,-1
14:30:33.642,-1
14:30:33.842,-1
14:30:34.043,-1
14:30:34.244,-1
14:30:34.445,-1
14:30:34.646,-1
14:30:34.848,-1
14:30:35.052,-1
14:30:35.254,-1
14:30:35.456,-1
14:30:35.659,-1
14:30:35.860,-1
14:30:36.061,-1
14:30:36.262,-1
14:30:36.463,-1
14:30:36.664,-1
14:30:36.865,-1
14:30:37.066,-1
14:30:37.268,-1
14:30:37.469,-1
14:30:37.670,-1
14:30:37.871,-1
14:30:38.073,-1
14:30:38.274,-1
14:30:38.475,-1
14:30:38.676,-1
14:30:38.877,-1
14:30:39.079,-1
14:30:39.280,-1
14:30:39.481,-1
14:30:39.682,-1
14:30:39.884,-1
14:30:40.085,-1
14:30:40.286,-1
14:30:40.488,-1
14:30:40.689,-1
14:30:40.890,-1
14:30:41.091,-1
14:30:41.293,-1
14:30:41.494,-1
14:30:41.694,-1
14:30:41.895,-1
14:30:42.096,-1
14:30:42.297,-1
14:30:42.499,-1
14:30:42.701,-1
14:30:42.901,-1
14:30:43.102,-1
14:30:43.303,-1
14:30:43.504,-1
14:30:43.705,-1
14:30:43.906,-1
14:30:44.108,-1
14:30:44.309,-1
14:30:44.509,-1
14:30:44.711,-1
14:30:44.911,-1
14:30:45.112,-1
14:30:45.313,-1
14:30:45.514,-1
14:30:45.715,-1
14:30:45.917,-1
14:30:46.118,-1
14:30:46.319,-1
14:30:46.520,-1
14:30:46.721,-1
14:30:46.923,-1
14:30:47.125,-1
14:30:47.326,-1
14:30:47.527,-1
14:30:47.728,-1
14:30:47.929,-1
14:30:48.131,-1
14:30:48.331,-1
14:30:48.532,-1
14:30:48.734,-1
14:30:48.935,-1
14:30:49.137,-1
14:30:49.339,-1
14:30:49.540,-1
14:30:49.742,-1
14:30:49.943,-1
14:30:50.143,-1
14:30:50.344,-1
14:30:50.545,-1
14:30:50.746,-1
14:30:50.948,-1
14:30:51.149,-1
14:30:51.350,-1
14:30:51.552,-1
14:30:51.753,-1
14:30:51.953,-1
14:30:52.154,-1
14:30:52.355,-1
14:30:52.556,-1
14:30:52.757,-1
14:30:52.958,-1
14:30:53.159,-1
14:30:53.361,-1
14:30:53.562,-1
14:30:53.764,-1
14:30:53.965,-1
14:30:54.166,-1
14:30:54.367,-1
14:30:54.568,-1
14:30:54.770,-1
14:30:54.971,-1
14:30:55.173,-1
14:30:55.375,-1
14:30:55.577,-1
14:30:55.778,-1
14:30:55.979,-1
14:30:56.180,-1
14:30:56.381,-1
14:30:56.582,-1
14:30:56.783,-1
14:30:56.985,-1
14:30:57.187,-1
14:30:57.389,-1
14:30:57.590,-1
14:30:57.791,-1
14:30:57.993,-1
14:30:58.195,-1
14:30:58.396,-1
14:30:58.597,-1
14:30:58.798,-1
14:30:58.999,-1
14:30:59.201,-1
14:30:59.402,-1
14:30:59.603,-1
14:30:59.805,-1
14:31:00.006,-1
14:31:00.206,-1
14:31:00.407,-1
14:31:00.608,-1
14:31:00.810,-1
14:31:01.011,-1
14:31:01.212,-1
14:31:01.414,-1
14:31:01.615,-1
14:31:01.816,-1
14:31:02.017,-1
14:31:02.218,-1
14:31:02.419,-1
14:31:02.620,-1
14:31:02.823,-1
14:31:03.026,-1
14:31:03.228,-1
14:31:03.429,-1
14:31:03.630,-1
14:31:03.832,-1
14:31:04.033,-1
14:31:04.234,-1
14:31:04.435,-1
14:31:04.636,-1
14:31:04.838,-1
14:31:05.040,-1
14:31:05.242,-1
14:31:05.445,-1
14:31:05.646,-1
14:31:05.847,-1
14:31:06.048,-1
14:31:06.250,-1
14:31:06.451,-1
14:31:06.652,-1
14:31:06.853,-1
14:31:07.055,-1
14:31:07.256,-1
14:31:07.457,-1
14:31:07.658,-1
14:31:07.859,-1
14:31:08.060,-1
14:31:08.261,-1
14:31:08.462,-1
14:31:08.664,-1
14:31:08.867,-1
14:31:09.069,-1
14:31:09.270,-1
14:31:09.473,-1
14:31:09.674,-1
14:31:09.876,-1
14:31:10.078,-1
14:31:10.278,-1
14:31:10.479,-1
14:31:10.680,-1
14:31:10.881,-1
14:31:11.082,-1
14:31:11.284,-1
14:31:11.485,-1
14:31:11.686,-1
