,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN
03:37:17.199,229161.0,0.25,0.1,1000.0,30.0,0.2,2400.0,1000.0,16661.0,290.0
03:37:23.054,92324.0,0.25,0.1,1000.0,30.0,2.6,2600.0,1000.0,10113.0,1390.0
03:37:28.815,70560.0,0.25,0.1,1000.0,30.0,0.2,16400.0,1000.0,19083.0,960.0
03:37:33.523,149689.0,0.25,0.1,1000.0,30.0,3.8,3200.0,1000.0,9054.0,470.0
03:37:38.560,14306.0,0.25,0.1,1000.0,30.0,0.3,1700.0,1000.0,5789.0,1550.0
03:37:43.312,246408.0,0.25,0.1,1000.0,30.0,2.6,1600.0,1000.0,165.0,660.0
03:37:49.132,34642.0,0.25,0.1,1000.0,30.0,4.4,4900.0,1000.0,5139.0,30.0
03:37:54.939,140445.0,0.25,0.1,1000.0,30.0,0.6,5900.0,1000.0,3883.0,1380.0
03:37:59.689,87891.0,0.25,0.1,1000.0,30.0,0.1,2300.0,1000.0,15054.0,190.0
03:38:04.823,113608.0,0.25,0.1,1000.0,30.0,1.2,3100.0,1000.0,7810.0,30.0
03:38:09.556,127832.0,0.25,0.1,1000.0,30.0,3.4,3400.0,1000.0,1089.0,1130.0
03:38:14.806,57756.0,0.25,0.1,1000.0,30.0,1.0,1900.0,1000.0,1055.0,630.0
03:38:19.481,18853.0,0.25,0.1,1000.0,30.0,0.3,4200.0,1000.0,25792.0,570.0
03:38:25.283,66536.0,0.25,0.1,1000.0,30.0,0.1,6900.0,1000.0,20084.0,470.0
03:38:31.000,36584.0,0.25,0.1,1000.0,30.0,0.8,14600.0,1000.0,974.0,670.0
03:38:36.720,28849.0,0.25,0.1,1000.0,30.0,0.1,900.0,1000.0,4745.0,850.0
03:38:41.529,20010.0,0.25,0.1,1000.0,30.0,0.6,8400.0,1000.0,4514.0,530.0
03:38:46.824,22232.0,0.25,0.1,1000.0,30.0,0.3,7400.0,1000.0,8870.0,1340.0
03:38:51.565,139776.0,0.25,0.1,1000.0,30.0,4.2,13700.0,1000.0,3070.0,50.0
03:38:56.817,105204.0,0.25,0.1,1000.0,30.0,0.4,6100.0,1000.0,468.0,1440.0
03:39:01.535,49247.0,0.25,0.1,1000.0,30.0,1.1,4200.0,1000.0,15806.0,1100.0
03:39:06.746,131775.0,0.25,0.1,1000.0,30.0,1.1,5100.0,1000.0,14193.0,850.0
03:39:11.457,87511.0,0.25,0.1,1000.0,30.0,1.9,4000.0,1000.0,16132.0,850.0
