,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG
02:03:09.948,250087.0,0.5,1.5,-7.6,0.25,0.3,0.0,15117.0,690.0,1.0,0.1,50.0,50.0,276.0,0.0
02:03:14.616,14248.0,0.3,1.4,-9.0,0.25,1.8,0.0,4585.0,950.0,1.0,0.1,50.0,50.0,65.0,0.0
02:03:19.704,56658.0,0.7,0.2,3.9,0.25,1.9,0.0,12122.0,820.0,1.0,0.1,50.0,50.0,359.0,0.0
02:03:24.408,227680.0,0.5,0.9,-8.1,0.25,0.6,0.0,687.0,100.0,1.0,0.1,50.0,50.0,313.0,0.0
02:03:29.989,71814.0,0.2,1.2,-6.8,0.25,1.9,0.0,4554.0,840.0,1.0,0.1,50.0,50.0,339.0,0.0
02:03:34.649,194202.0,0.9,0.9,-5.5,0.25,4.7,0.0,1180.0,370.0,1.0,0.1,50.0,50.0,120.0,0.0
02:03:39.904,16956.0,0.2,0.7,5.8,0.25,0.3,0.0,4368.0,390.0,1.0,0.1,50.0,50.0,102.0,0.0
02:03:44.655,2273.0,0.3,0.5,-8.8,0.25,1.2,0.0,1749.0,740.0,1.0,0.1,50.0,50.0,18.0,0.0
02:03:49.913,31644.0,0.7,0.3,-8.1,0.25,2.4,0.0,19567.0,60.0,1.0,0.1,50.0,50.0,564.0,0.0
02:03:54.704,195345.0,0.3,1.7,-9.2,0.25,0.8,0.0,1130.0,470.0,1.0,0.1,50.0,50.0,502.0,0.0
02:03:59.980,29369.0,0.4,1.5,-4.2,0.25,0.6,0.0,7807.0,580.0,1.0,0.1,50.0,50.0,331.0,0.0
02:04:04.698,51492.0,0.5,0.4,-3.5,0.25,0.2,0.0,16618.0,650.0,1.0,0.1,50.0,50.0,108.0,0.0
02:04:09.933,200409.0,1.1,0.5,-6.6,0.25,0.6,0.0,12278.0,80.0,1.0,0.1,50.0,50.0,30.0,0.0
02:04:14.564,28859.0,0.2,0.7,-8.1,0.25,2.4,0.0,4927.0,810.0,1.0,0.1,50.0,50.0,838.0,0.0
02:04:19.700,87492.0,0.9,0.3,-4.8,0.25,2.1,0.0,13355.0,710.0,1.0,0.1,50.0,50.0,288.0,0.0
02:04:24.483,108719.0,0.2,0.3,2.9,0.25,3.1,0.0,4896.0,100.0,1.0,0.1,50.0,50.0,153.0,0.0
02:04:30.107,89207.0,0.7,1.8,-2.5,0.25,1.5,0.0,6211.0,130.0,1.0,0.1,50.0,50.0,329.0,0.0
02:04:34.867,123808.0,0.5,0.4,-3.1,0.25,0.8,0.0,7167.0,210.0,1.0,0.1,50.0,50.0,189.0,0.0
02:04:39.642,194932.0,1.1,0.4,-3.6,0.25,3.1,0.0,2849.0,30.0,1.0,0.1,50.0,50.0,222.0,0.0
02:04:44.846,19292.0,0.7,1.4,-6.5,0.25,1.3,0.0,4020.0,350.0,1.0,0.1,50.0,50.0,570.0,0.0
02:04:49.530,22030.0,1.1,1.1,-3.9,0.25,0.6,0.0,8091.0,190.0,1.0,0.1,50.0,50.0,213.0,0.0
02:04:54.676,192828.0,0.3,0.7,-2.3,0.25,1.3,0.0,17608.0,10.0,1.0,0.1,50.0,50.0,731.0,0.0
02:04:59.449,21999.0,0.2,1.5,-8.9,0.25,2.2,0.0,2349.0,370.0,1.0,0.1,50.0,50.0,350.0,0.0
02:05:05.101,105197.0,0.2,0.4,-2.5,0.25,0.3,0.0,1043.0,190.0,1.0,0.1,50.0,50.0,21.0,0.0
02:05:10.754,51092.0,0.4,0.2,-8.5,0.25,0.6,0.0,9961.0,500.0,1.0,0.1,50.0,50.0,227.0,0.0
02:05:15.515,110974.0,0.7,0.3,3.4,0.25,0.3,0.0,1226.0,280.0,1.0,0.1,50.0,50.0,36.0,0.0
02:05:20.747,32262.0,0.3,0.7,-3.6,0.25,0.6,0.0,17092.0,290.0,1.0,0.1,50.0,50.0,410.0,0.0
02:05:25.414,28684.0,0.4,0.9,-8.4,0.25,1.8,0.0,5128.0,290.0,1.0,0.1,50.0,50.0,285.0,0.0
02:05:31.182,151254.0,0.3,0.7,-9.6,0.25,0.8,0.0,3145.0,80.0,1.0,0.1,50.0,50.0,510.0,0.0
02:05:36.970,54236.0,0.2,0.4,-3.1,0.25,2.5,0.0,15455.0,470.0,1.0,0.1,50.0,50.0,274.0,0.0
02:05:41.726,151718.0,0.5,1.2,1.6,0.25,2.1,0.0,802.0,220.0,1.0,0.1,50.0,50.0,166.0,0.0
02:05:46.930,68051.0,0.3,1.3,-3.7,0.25,1.6,0.0,20195.0,340.0,1.0,0.1,50.0,50.0,782.0,0.0
02:05:51.608,62019.0,0.2,0.9,-3.2,0.25,0.3,0.0,17279.0,560.0,1.0,0.1,50.0,50.0,222.0,0.0
02:05:56.745,98838.0,0.3,0.5,-5.5,0.25,3.1,0.0,2363.0,320.0,1.0,0.1,50.0,50.0,487.0,0.0
02:06:01.457,131449.0,0.9,0.5,4.9,0.25,0.6,0.0,6172.0,420.0,1.0,0.1,50.0,50.0,68.0,0.0
02:06:07.287,97590.0,0.4,0.5,-9.6,0.25,2.5,0.0,16011.0,210.0,1.0,0.1,50.0,50.0,125.0,0.0
02:06:13.089,144080.0,0.2,0.5,-9.9,0.25,2.1,0.0,21514.0,190.0,1.0,0.1,50.0,50.0,160.0,0.0
02:06:18.783,82895.0,0.2,0.7,-5.9,0.25,1.1,0.0,22701.0,770.0,1.0,0.1,50.0,50.0,663.0,0.0
02:06:23.507,14004.0,0.4,0.4,7.2,0.25,0.4,0.0,3654.0,630.0,1.0,0.1,50.0,50.0,392.0,0.0
