,A.LAND1
12:50:25.885,0.774
12:50:26.088,0.774
12:50:26.290,0.774
12:50:26.493,0.774
12:50:26.696,0.668
12:50:26.897,0.684
12:50:27.100,0.642
12:50:27.305,0.589
12:50:27.507,0.589
12:50:27.712,0.589
12:50:27.914,0.589
12:50:28.119,0.589
12:50:28.334,0.589
12:50:28.579,0.589
12:50:28.782,0.589
12:50:28.987,0.458
12:50:29.191,-1.0
12:50:29.394,-1.0
12:50:29.599,-1.0
12:50:29.801,-1.0
12:50:30.005,-1.0
12:50:30.208,-1.0
12:50:30.411,-1.0
12:50:30.613,-1.0
12:50:30.815,-1.0
12:50:31.019,0.6
12:50:31.221,-1.0
12:50:31.427,-1.0
12:50:31.628,-1.0
12:50:31.830,-1.0
12:50:32.049,-1.0
12:50:32.265,-1.0
12:50:32.482,-1.0
12:50:32.684,-1.0
12:50:32.886,-1.0
12:50:33.089,-1.0
12:50:33.290,-1.0
12:50:33.492,-1.0
12:50:33.693,-1.0
12:50:33.894,-1.0
12:50:34.096,-1.0
12:50:34.301,-1.0
12:50:34.503,-1.0
12:50:34.707,-1.0
12:50:34.912,-1.0
12:50:35.113,-1.0
12:50:35.316,0.87
12:50:35.519,0.87
12:50:35.725,0.87
12:50:35.928,0.87
12:50:36.133,0.87
12:50:36.336,0.87
12:50:36.538,0.87
12:50:36.740,0.87
12:50:36.941,0.586
12:50:37.151,0.26
12:50:37.360,0.26
12:50:37.599,0.26
12:50:37.822,0.26
12:50:38.041,0.26
12:50:38.247,0.26
12:50:38.450,0.26
12:50:38.653,0.26
12:50:38.855,0.26
12:50:39.057,0.288
12:50:39.258,1.0
12:50:39.461,1.0
12:50:39.664,1.0
12:50:39.866,1.0
12:50:40.067,1.0
12:50:40.269,1.0
12:50:40.471,1.0
12:50:40.674,1.0
12:50:40.878,1.0
12:50:41.081,1.0
12:50:41.291,0.967
12:50:41.516,0.722
12:50:41.749,0.722
12:50:41.985,0.722
12:50:42.207,0.722
12:50:42.409,0.722
12:50:42.613,0.722
12:50:42.815,0.722
12:50:43.017,0.722
12:50:43.218,-1.0
12:50:43.420,0.577
12:50:43.621,0.577
12:50:43.825,0.577
12:50:44.026,0.577
12:50:44.229,0.577
12:50:44.431,0.577
12:50:44.634,0.577
12:50:44.837,0.577
12:50:45.042,0.577
12:50:45.244,0.277
12:50:45.445,0.345
12:50:45.655,0.345
12:50:45.869,0.345
12:50:46.075,0.345
12:50:46.299,0.345
12:50:46.511,0.345
12:50:46.728,0.345
12:50:46.929,0.345
12:50:47.132,0.559
12:50:47.338,-1.0
12:50:47.540,-1.0
12:50:47.744,-1.0
12:50:47.946,-1.0
12:50:48.148,-1.0
12:50:48.351,-1.0
12:50:48.554,0.722
12:50:48.755,0.767
12:50:48.956,0.722
12:50:49.157,0.711
12:50:49.362,0.711
12:50:49.566,0.711
12:50:49.770,0.711
12:50:49.978,0.711
12:50:50.180,0.711
12:50:50.397,0.711
12:50:50.607,0.711
12:50:50.824,0.711
12:50:51.026,0.622
12:50:51.228,0.928
12:50:51.430,0.928
12:50:51.632,0.928
12:50:51.834,0.928
12:50:52.039,0.928
12:50:52.241,0.928
12:50:52.445,0.928
12:50:52.648,0.928
12:50:52.849,0.928
12:50:53.053,0.93
12:50:53.254,0.926
12:50:53.458,0.926
12:50:53.660,0.926
12:50:53.863,0.926
12:50:54.075,0.926
12:50:54.289,0.926
12:50:54.498,0.926
12:50:54.717,0.926
12:50:54.923,0.928
12:50:55.125,0.876
12:50:55.327,0.879
12:50:55.532,0.879
12:50:55.733,0.879
12:50:55.935,0.879
12:50:56.137,0.879
12:50:56.340,0.879
12:50:56.542,0.879
12:50:56.744,0.879
12:50:56.947,0.886
12:50:57.149,1.0
12:50:57.351,1.0
12:50:57.554,1.0
12:50:57.760,1.0
12:50:57.963,1.0
12:50:58.180,1.0
12:50:58.389,1.0
12:50:58.607,1.0
12:50:58.819,1.0
12:50:59.031,1.0
12:50:59.259,1.0
12:50:59.462,1.0
12:50:59.665,1.0
12:50:59.869,1.0
12:51:00.078,1.0
12:51:00.282,1.0
12:51:00.486,1.0
12:51:00.689,1.0
12:51:00.894,1.0
12:51:01.096,1.0
12:51:01.298,1.0
12:51:01.501,0.822
12:51:01.703,0.944
12:51:01.904,0.944
12:51:02.109,0.944
12:51:02.311,0.944
12:51:02.514,0.944
12:51:02.717,0.944
12:51:02.919,0.944
12:51:03.123,0.944
12:51:03.324,0.944
12:51:03.536,1.0
12:51:03.754,1.0
12:51:03.957,1.0
12:51:04.168,1.0
12:51:04.375,1.0
12:51:04.585,1.0
12:51:04.793,1.0
12:51:05.000,1.0
12:51:05.201,1.0
12:51:05.405,1.0
12:51:05.607,1.0
12:51:05.815,1.0
12:51:06.017,0.989
12:51:06.220,0.989
12:51:06.426,0.989
12:51:06.628,0.989
12:51:06.830,0.989
12:51:07.032,0.989
12:51:07.235,0.989
12:51:07.436,0.989
12:51:07.639,0.989
12:51:07.842,0.978
12:51:08.043,0.989
12:51:08.245,0.989
12:51:08.447,0.989
12:51:08.649,0.989
12:51:08.851,0.989
12:51:09.056,0.989
12:51:09.259,0.989
12:51:09.462,0.989
12:51:09.670,-1.0
12:51:09.872,0.567
12:51:10.075,0.567
12:51:10.286,0.567
12:51:10.489,0.567
12:51:10.696,0.567
12:51:10.897,0.567
12:51:11.099,0.567
12:51:11.302,0.578
12:51:11.503,0.622
12:51:11.706,0.622
12:51:11.910,0.622
12:51:12.115,0.622
12:51:12.318,0.622
12:51:12.520,0.622
12:51:12.725,0.644
12:51:12.927,0.644
12:51:13.128,0.644
12:51:13.330,0.633
12:51:13.533,0.633
12:51:13.734,0.633
12:51:13.937,0.633
12:51:14.138,0.633
12:51:14.341,0.633
12:51:14.543,0.633
12:51:14.744,0.633
12:51:14.946,0.644
12:51:15.148,0.644
12:51:15.358,0.633
12:51:15.568,0.633
12:51:15.802,0.633
12:51:16.006,0.633
12:51:16.229,0.633
12:51:16.435,0.633
12:51:16.638,0.633
12:51:16.839,0.633
12:51:17.043,0.633
12:51:17.245,0.934
12:51:17.448,0.934
12:51:17.650,0.934
12:51:17.852,0.934
12:51:18.054,0.934
12:51:18.256,0.934
12:51:18.458,0.934
12:51:18.662,0.934
12:51:18.865,0.934
12:51:19.069,0.934
12:51:19.272,0.932
12:51:19.479,0.932
12:51:19.695,0.932
12:51:19.903,0.932
12:51:20.108,0.932
12:51:20.313,0.932
12:51:20.521,0.932
12:51:20.727,0.932
12:51:20.930,0.932
12:51:21.135,0.934
12:51:21.336,0.905
12:51:21.538,0.905
12:51:21.742,0.905
12:51:21.946,0.905
12:51:22.149,0.905
12:51:22.352,0.905
12:51:22.555,0.905
12:51:22.758,0.905
12:51:22.964,0.905
12:51:23.166,0.905
12:51:23.370,0.911
12:51:23.581,0.911
12:51:23.785,0.911
12:51:23.989,0.911
12:51:24.216,0.911
12:51:24.442,0.911
12:51:24.652,0.911
12:51:24.854,0.911
12:51:25.055,0.911
12:51:25.257,0.916
12:51:25.459,0.835
12:51:25.663,0.82
12:51:25.866,0.82
12:51:26.069,0.82
12:51:26.270,0.82
12:51:26.472,0.82
12:51:26.674,0.82
12:51:26.876,0.82
12:51:27.080,0.82
12:51:27.282,0.83
12:51:27.483,0.835
12:51:27.686,0.835
12:51:27.904,0.835
12:51:28.109,0.835
12:51:28.328,0.835
12:51:28.534,0.835
12:51:28.737,0.835
12:51:28.941,0.835
12:51:29.145,0.84
12:51:29.347,0.921
12:51:29.550,0.921
12:51:29.752,0.921
12:51:29.954,0.921
12:51:30.162,0.921
12:51:30.365,0.921
12:51:30.567,0.921
12:51:30.770,0.921
12:51:30.972,0.921
12:51:31.174,-1.0
12:51:31.376,-1.0
12:51:31.579,-1.0
12:51:31.787,-1.0
12:51:31.997,-1.0
12:51:32.221,-1.0
12:51:32.447,-1.0
12:51:32.654,-1.0
12:51:32.856,-1.0
12:51:33.068,-1.0
12:51:33.270,-1.0
12:51:33.472,-1.0
12:51:33.673,-1.0
12:51:33.877,-1.0
12:51:34.080,-1.0
12:51:34.284,-1.0
12:51:34.488,-1.0
12:51:34.690,-1.0
12:51:34.895,-1.0
12:51:35.097,-1.0
12:51:35.304,-1.0
