time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,alt,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,VFR_HUD_alt,MODE,EK2_ALT_SOURCE
09:27:34,0.0,1.3333333333333333,-999.6666666666666,1.0,0.0,0.3333333333333333,1500.0,583940.0,-35.3632622,149.1652375,6.0,-1.0,0.0,-1.0,-0.0011607969257359703,0.0009947508030260603,0.02138930434981982,0.00031980773201212287,0.00027428148314356804,0.0013839238866542776,583.9400024414062,AUTO,0.0
09:27:36,2.0,-10.0,-991.5,-120.5,70.5,-89.5,1500.0,587210.0,-35.3632614,149.16524090000001,3275.5,9.0,51.5,-146.0,0.041309066116809845,0.008769292500801384,-0.026579576078802347,-0.12180272862315178,0.07005752809345722,-0.0900028645992279,587.2099609375,AUTO,0.0
09:27:38,-3.5,6.0,-1000.5,57.0,2.5,-17.5,1500.0,590270.0,-35.3632607,149.16524515,6336.0,-4.0,-41.5,-149.0,-0.06127619743347168,0.003272040281444788,-0.10412522405385971,0.05636610649526119,0.001861944852862507,-0.01769427116960287,590.2699890136719,AUTO,0.0
09:27:40,1.0,8.0,-998.5,31.0,-31.5,30.0,1500.0,593375.0,-35.3632635,149.16523395,9439.0,-25.5,-13.5,-152.5,0.06664738059043884,0.011330664157867432,-0.10457336157560349,0.03021143306978047,-0.03288533934392035,0.03077887324616313,593.375,AUTO,0.0
09:27:42,-6.0,-7.0,-1005.5,4.0,45.5,-91.0,1500.0,596445.0,-35.36326165,149.16523784999998,12512.0,36.5,4.5,-151.5,-0.03847358003258705,0.00859509885776788,-0.11695868149399757,0.003208157140761614,0.04554853029549122,-0.09129985421895981,596.4450073242188,AUTO,0.0
09:27:44,0.5,2.5,-998.0,-6.5,-20.5,14.5,1500.0,599585.0,-35.36325965,149.16523495,15648.0,-15.5,-1.5,-152.0,0.021775822155177593,0.02058805525302887,-0.17781341075897217,-0.0077925752848386765,-0.02152859792113304,0.01509136101230979,599.5849914550781,AUTO,0.0
09:27:46,2.0,0.0,-1000.5,-0.5,0.0,-22.5,1500.0,602695.0,-35.36326205,149.1652363,18756.5,-8.0,7.0,-152.0,-0.0033860342809930444,-0.005022929748520255,-0.18180695176124573,-0.001857146737165749,-0.0002960469573736191,-0.022744586691260338,602.6950073242188,AUTO,0.0
09:27:48,0.0,0.0,-1000.0,3.0,3.0,-23.5,1500.0,605815.0,-35.3632623,149.1652365,21877.5,0.0,0.5,-153.0,0.0035572401247918606,0.002235485939309001,-0.23695681989192963,0.00254861731082201,0.0028554253512993455,-0.023560508154332638,605.8150024414062,AUTO,0.0
09:27:50,0.0,0.0,-999.5,-20.5,4.0,-9.5,1500.0,608935.0,-35.3632622,149.16523654999997,25000.5,-1.0,3.5,-152.5,-0.0033379695378243923,0.0038037229096516967,-0.27599532902240753,-0.02186950424220413,0.0031018462032079697,-0.009590090718120337,608.9349975585938,AUTO,0.0
09:27:52,1.0,-0.5,-999.5,-6.5,-0.5,22.5,1500.0,612045.0,-35.3632624,149.16523669999998,28111.0,-2.5,7.5,-152.0,0.007980848429724574,0.0020727477385662496,-0.24181826412677765,-0.008409845642745495,-0.0016504150989931077,0.02266123052686453,612.0449829101562,AUTO,0.0
09:27:54,0.0,0.0,-1001.0,2.5,0.0,17.0,1500.0,615165.0,-35.3632624,149.16523805,31226.5,0.0,4.5,-153.0,-0.0017940523102879524,0.0012483865721151233,-0.20155604928731918,0.002022870205109939,-0.0008886459982022643,0.01765288133174181,615.1649780273438,AUTO,0.0
09:27:56,0.0,0.0,-1000.0,0.0,0.5,13.5,1500.0,618265.0,-35.3632623,149.1652381,34329.5,0.0,0.0,-153.0,0.0009198349143844098,0.0009150612750090659,-0.17195460945367813,-0.0010586408898234367,-6.9390516728162766e-06,0.013900833204388618,618.2649841308594,AUTO,0.0
09:27:58,0.0,0.0,-999.5,0.5,1.0,10.0,1500.0,621385.0,-35.3632622,149.1652378,37447.0,0.0,0.0,-153.0,0.0017150912899523973,0.0012799663818441331,-0.14971965551376343,-0.0006124154897406697,3.769726026803255e-05,0.010470862034708261,621.3849792480469,AUTO,0.0
09:28:00,0.0,0.0,-1000.0,1.5,1.0,8.5,1500.0,624495.0,-35.3632621,149.1652375,40560.0,-0.5,0.0,-153.0,0.0018657614709809422,0.0015894501120783389,-0.1328209713101387,0.0010459928889758885,0.0003230044385418296,0.008633814984932542,624.4949951171875,AUTO,0.0
09:28:02,0.0,0.0,-1000.0,1.0,-0.5,7.0,1500.0,627605.0,-35.363262,149.1652374,43667.5,-1.0,1.0,-153.0,0.001432189776096493,0.001353724393993616,-0.11974948644638062,-0.00014323205687105656,-0.001346952747553587,0.007013781229034066,627.60498046875,AUTO,0.0
09:28:04,0.0,0.0,-993.5,-13.0,10.0,28.5,1500.0,630715.0,-35.363262,149.1652374,46776.5,-1.0,1.0,-152.0,0.001033721913699992,0.0015309281880035996,-0.1073448397219181,-0.01452424400486052,0.009544480766635388,0.028461223701015115,630.7149658203125,AUTO,0.0
09:28:06,0.5,5.0,-967.0,38.0,6.5,-17.5,1500.0,633080.0,-35.36326475,149.16523285,49145.0,-5.0,-14.5,-71.5,0.03383033163845539,-0.054102301597595215,0.2837263494729996,0.037389601580798626,0.005466826260089874,-0.018227092921733856,633.0799865722656,AUTO,0.0
