,A.BRAKE1
18:34:20.988,-1
18:34:21.190,-1
18:34:21.392,-1
18:34:21.593,-1
18:34:21.796,-1
18:34:21.997,-1
18:34:22.199,-1
18:34:22.409,-1
18:34:22.611,-1
18:34:22.815,-1
18:34:23.131,-1
18:34:23.381,-1
18:34:23.588,-1
18:34:23.807,-1
18:34:24.011,-1
18:34:24.305,-1
18:34:24.555,-1
18:34:24.758,-1
18:34:24.962,-1
18:34:25.165,-1
18:34:25.371,-1
18:34:29.164,-1
18:34:29.367,-1
18:34:29.576,-1
18:34:29.778,-1
18:34:29.980,-1
18:34:30.182,-1
18:34:30.384,-1
18:34:30.587,-1
18:34:30.794,-1
18:34:31.006,-1
18:34:31.213,-1
18:34:31.415,-1
18:34:31.620,-1
18:34:31.859,-1
18:34:32.067,-1
18:34:32.272,-1
18:34:32.490,-1
18:34:32.702,-1
18:34:32.934,-1
18:34:33.156,-1
18:34:33.362,-1
18:34:33.565,-1
18:34:33.768,-1
18:34:33.974,-1
18:34:34.178,-1
18:34:34.391,-1
18:34:34.593,-1
18:34:34.802,-1
18:34:35.008,-1
18:34:35.210,-1
18:34:35.416,-1
18:34:35.622,-1
18:34:35.825,-1
18:34:36.027,-1
18:34:36.232,-1
18:34:36.459,-1
18:34:36.667,-1
18:34:36.881,-1
18:34:37.090,-1
18:34:37.317,-1
18:34:37.527,-1
18:34:37.762,-1
18:34:38.018,-1
18:34:38.223,1
18:34:38.439,1
18:34:38.644,1
18:34:38.846,1
18:34:39.051,1
18:34:39.259,1
18:34:39.463,1
18:34:39.666,1
18:34:39.871,1
18:34:40.074,-1
18:34:40.277,-1
18:34:40.478,-1
18:34:40.680,-1
18:34:40.885,-1
18:34:41.092,-1
18:34:41.293,-1
18:34:41.496,-1
18:34:41.698,-1
18:34:41.901,-1
18:34:42.111,-1
18:34:42.339,-1
18:34:42.558,-1
18:34:42.769,-1
18:34:42.985,-1
18:34:43.203,-1
18:34:43.422,-1
18:34:43.626,-1
18:34:43.830,-1
18:34:44.035,-1
18:34:44.243,-1
18:34:44.446,-1
18:34:44.651,-1
18:34:44.853,-1
18:34:45.061,-1
18:34:45.271,-1
18:34:45.478,-1
18:34:45.682,-1
18:34:45.885,-1
18:34:46.090,-1
18:34:46.292,-1
18:34:46.493,-1
18:34:46.696,-1
18:34:46.901,-1
18:34:47.103,-1
18:34:47.307,-1
18:34:47.511,-1
18:34:47.713,-1
18:34:47.915,-1
18:34:48.116,-1
18:34:48.321,-1
18:34:48.524,-1
18:34:48.729,-1
18:34:48.931,-1
18:34:49.133,-1
18:34:49.335,-1
18:34:49.540,-1
18:34:49.744,-1
18:34:49.947,-1
18:34:50.148,-1
18:34:50.351,-1
18:34:50.556,-1
18:34:50.761,-1
18:34:50.968,-1
18:34:51.173,-1
18:34:51.384,-1
18:34:51.589,-1
18:34:51.794,-1
18:34:51.997,-1
18:34:52.208,-1
18:34:52.411,-1
18:34:52.615,-1
18:34:52.817,-1
18:34:53.021,-1
18:34:53.226,-1
18:34:53.428,-1
18:34:53.632,-1
18:34:53.837,-1
18:34:54.041,-1
18:34:54.246,-1
18:34:54.450,-1
18:34:54.653,-1
18:34:54.856,-1
18:34:55.058,-1
18:34:55.261,-1
18:34:55.470,-1
18:34:55.672,-1
18:34:55.876,-1
18:34:56.078,-1
18:34:56.282,-1
18:34:56.520,-1
18:34:56.753,-1
18:34:56.965,-1
18:34:57.229,-1
18:34:57.434,-1
18:34:57.636,-1
18:34:57.844,-1
18:34:58.046,-1
18:34:58.253,-1
18:34:58.463,-1
18:34:58.665,-1
18:34:58.868,-1
18:34:59.070,-1
18:34:59.273,-1
18:34:59.475,-1
18:34:59.678,-1
18:34:59.883,-1
18:35:00.092,-1
18:35:00.294,-1
18:35:00.498,-1
18:35:00.710,-1
18:35:00.936,-1
18:35:01.209,1
18:35:05.012,1
18:35:05.232,1
18:35:05.445,1
18:35:05.703,1
18:35:05.923,1
18:35:06.169,1
18:35:06.375,1
18:35:06.581,1
18:35:06.789,1
18:35:06.990,1
18:35:07.193,1
18:35:07.404,1
18:35:07.608,1
18:35:07.813,1
18:35:08.015,1
18:35:08.218,1
18:35:08.428,-1
18:35:08.635,-1
18:35:08.840,-1
18:35:09.049,-1
18:35:09.259,-1
18:35:09.467,-1
18:35:09.669,-1
18:35:09.874,-1
18:35:10.076,-1
18:35:10.279,-1
18:35:10.483,-1
18:35:10.687,-1
18:35:10.893,-1
18:35:11.097,-1
18:35:11.298,-1
18:35:11.501,-1
