time_stamp,RTL_ALT,MODE,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,EK2_ALT_SOURCE
08:22:40,1500.0,AUTO,584.0199584960938,0.0,1.0,-1000.0,1.0,1.0,1.0,-0.0003016140835825354,0.0014641095185652375,0.021401192992925644,0.00027748773572966456,0.00032495526829734445,0.001408042386174202,584020.0,-35.3632621,149.1652374,26.0,0.0,-1.0,-4.0,0.0
08:22:42,1500.0,AUTO,584.5700073242188,0.0,0.0,-1102.0,-1.0,3.0,2.0,0.0007958717760629952,0.0013275668025016785,0.020899634808301926,-0.0016740008722990751,0.0027375612407922745,0.002196616493165493,584570.0,-35.3632621,149.1652374,576.0,0.0,0.0,-117.0,0.0
08:22:44,1500.0,AUTO,588.0849609375,3.5,-11.0,-997.5,-136.5,2.5,-53.0,-0.016306708566844463,0.01566073438152671,-0.059006212279200554,-0.13766083866357803,0.0016073910519480705,-0.05340094864368439,588085.0,-35.3632611,149.16524355,4089.5,3.5,43.5,-147.0,0.0
08:22:46,1500.0,AUTO,590.5700073242188,-5.0,9.0,-1001.0,61.0,6.0,-4.0,-0.04372222349047661,-0.0036568581126630306,-0.09418302029371262,0.061126284301280975,0.006031440570950508,-0.004908049013465643,590570.0,-35.3632611,149.1652437,6573.0,-3.0,-50.0,-149.0,0.0
08:22:48,1500.0,AUTO,593.6799926757812,2.0,2.0,-994.0,-33.0,-91.0,84.0,0.06831460446119308,-0.004292208235710859,-0.0782911628484726,-0.03417617082595825,-0.09188203513622284,0.08446507900953293,593680.0,-35.3632629,149.1652339,9687.0,-14.0,4.0,-150.0,0.0
08:22:50,1500.0,AUTO,596.760009765625,-3.0,-1.0,-1001.0,22.0,11.0,-36.0,-0.01431819424033165,0.007144332397729158,-0.1226922795176506,0.022268228232860565,0.010453712195158005,-0.03621971607208252,596760.0,-35.3632617,149.1652365,12765.0,11.0,-5.0,-151.0,0.0
08:22:52,1500.0,AUTO,599.8800048828125,0.0,0.0,-999.0,-4.0,-6.0,-7.0,0.010472148656845093,0.007629679050296545,-0.15366780757904053,-0.005212134215980768,-0.007455050013959408,-0.006781637202948332,599880.0,-35.3632611,149.1652351,15880.0,-6.0,2.0,-151.0,0.0
08:22:54,1500.0,AUTO,602.989990234375,0.0,0.0,-1000.0,0.0,0.0,-22.0,0.0015290846349671483,0.0014627990312874317,-0.18281306326389313,-0.0010769611690193415,0.00039921613642945886,-0.02208300493657589,602990.0,-35.3632618,149.1652359,18996.0,-4.0,5.0,-151.0,0.0
08:22:56,1500.0,AUTO,606.1099853515625,0.0,0.0,-1000.0,3.0,2.0,-21.0,0.0031097671017050743,0.002756289439275861,-0.22626076638698578,0.0020801087375730276,0.0016121927183121443,-0.021003583446145058,606110.0,-35.3632619,149.1652363,22115.0,-1.0,3.0,-152.0,0.0
08:22:58,1500.0,AUTO,609.219970703125,0.0,0.0,-995.0,-65.0,11.0,-1.0,-0.006331062875688076,0.0036123162135481834,-0.2640983462333679,-0.06615447252988815,0.010221131145954132,-0.0008779118652455509,609220.0,-35.363262,149.1652366,25228.0,-1.0,2.0,-151.0,0.0
