time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,MODE,RTL_ALT
04:18:50,0.00041312992107123137,0.001597959198988974,0.025951016694307327,0.00017120028496719897,0.00013428760576061904,0.002135342452675104,0.0,1.0,-1000.0,0.0,0.0,0.0,-35.3632621,149.1652374,0.0,-1.0,1.0,0.0,STABILIZE,1500.0
04:18:54,-0.0009887587802950293,0.0010621402179822326,0.02397186867892742,0.00016867692465893924,0.00023957528173923492,0.00198269949760288,0.0,1.0,-1000.0,0.0,1.0,0.0,-35.3632622,149.1652375,0.0,-1.0,1.0,1.0,STABILIZE,1500.0
04:19:00,-0.0010581680107861757,0.000933846109546721,0.022579170763492584,0.00023802812211215496,0.00020394724560901523,0.0015781635884195566,0.0,1.0,-1000.0,0.0,0.0,0.0,-35.3632621,149.1652374,0.0,-1.0,0.0,-1.0,STABILIZE,1500.0
04:19:08,-0.0008260661464494964,0.0010080713933954637,0.020299925779302914,0.00019582192180678248,0.00020328808265427747,0.0013934975722804666,0.0,1.3333333333333333,-1000.0,0.6666666666666666,0.3333333333333333,0.0,-35.3632622,149.1652375,0.0,-1.0,1.6666666666666667,0.0,AUTO,1500.0
04:19:09,-0.000700088955151538,0.0011205423312882583,0.020079856117566425,0.00027687913582970697,0.0002910676412284374,0.001364627464984854,0.0,1.3333333333333333,-1000.0,0.3333333333333333,0.6666666666666666,0.0,-35.3632621,149.1652375,1.0,0.0,0.0,0.0,AUTO,13728.0
04:19:10,-0.0005679835060921808,0.0013054371811449528,0.01993721475203832,0.000309900826929758,0.00027936210002129275,0.001343741741341849,0.0,2.0,-1000.0,0.0,0.3333333333333333,0.6666666666666666,-35.3632621,149.1652375,0.6666666666666666,0.0,0.0,0.0,AUTO,13728.0
04:19:12,0.0027075615556289754,0.00017670460996062806,0.019613907982905705,0.0021900955277184644,-0.00011892849579453468,0.001522091799415648,0.0,0.0,-1133.3333333333333,3.0,0.6666666666666666,1.0,-35.3632621,149.1652375,130.66666666666666,0.0,0.0,-52.333333333333336,AUTO,13728.0
04:19:13,0.027670010303457577,-0.0017421456577721983,0.018949442853530247,0.04600048065185547,-0.007682851515710354,0.002135801090237995,0.0,-1.0,-1014.6666666666666,46.0,-6.666666666666667,1.3333333333333333,-35.363262033333335,149.16523763333333,1558.3333333333333,1.0,8.333333333333334,-145.0,AUTO,192006.0
04:19:14,0.05520674213767052,-0.005569391806299488,0.007211581493417422,0.002318276713291804,0.02086111841102441,-0.031192369759082794,1.0,-5.666666666666667,-997.0,3.0,21.666666666666668,-31.333333333333332,-35.3632617,149.1652393,2705.0,6.333333333333333,36.333333333333336,-147.33333333333334,AUTO,192006.0
04:19:16,-0.06900010754664739,-0.014159676929314932,-0.08247490227222443,0.016585491597652435,-0.016296904301270843,0.005319126454802851,0.0,2.0,-1002.6666666666666,17.0,-15.666666666666666,5.333333333333333,-35.36326123333333,149.16524593333335,5749.666666666667,-4.0,-17.333333333333332,-148.0,AUTO,192006.0
04:19:17,1.1304508613344902e-05,-0.004965543902168672,-0.08449941376845042,0.0644453192750613,0.01537722535431385,0.0039805856843789416,-7.666666666666667,11.333333333333334,-1003.0,65.0,15.333333333333334,3.0,-35.3632614,149.16523966666665,7671.333333333333,1.0,-56.666666666666664,-150.0,AUTO,200.0
04:19:18,0.046393358459075294,0.006241073288644354,-0.08259470760822296,0.050806848953167595,0.019003211831053097,-0.005127288090686004,-5.333333333333333,7.0,-1001.6666666666666,50.666666666666664,19.333333333333332,-5.333333333333333,-35.3632614,149.1652355,8842.333333333334,-1.0,-34.0,-152.0,AUTO,200.0
