time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,RTL_ALT
17:14:26,-35.3632621,149.1652374,43.5,-1.0,0.5,-3.5,0.0,1.0,-1000.0,0.0,0.0,0.0,-6.902802851982415e-05,0.0009366110898554325,0.023276863619685173,0.00023247493663802743,0.00037165742833167315,0.0016797969583421946,STABILIZE,1500.0
17:14:28,-35.3632622,149.1652375,47.0,-1.0,1.5,-2.5,0.0,1.0,-1000.0,0.0,1.0,0.0,6.226830737432465e-05,0.0009550330578349531,0.02242903597652912,0.00021206500241532922,0.0003081640461459756,0.0015599706675857306,STABILIZE,1500.0
17:14:30,-35.3632622,149.16523755,20.5,-1.0,2.5,0.0,0.0,8.0,-990.0,2.5,1.0,1.0,-1.7056812794180587e-05,0.0009773203928489238,0.021787908859550953,0.002394849812844768,0.00032114816713146865,0.0015383755671791732,AUTO,1500.0
17:14:32,-35.3632621,149.1652375,0.0,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,0.0,6.084806227590889e-05,0.001153817167505622,0.02123061940073967,0.0002834684564732015,0.00034937268355861306,0.0014827572740614414,AUTO,1500.0
17:14:33,-35.3632621,149.16523745,0.0,0.0,0.0,1.0,0.0,1.5,-1000.0,0.0,0.0,0.0,0.0003485993292997591,0.0014953830686863512,0.020796356722712517,0.000343031671945937,0.0002818889915943146,0.001473644864745438,AUTO,8897.0
17:14:34,-35.3632621,149.1652374,0.0,0.0,0.0,1.0,0.0,1.5,-1000.0,0.5,1.0,0.5,0.0005564355233218521,0.0017096952069550753,0.020505391992628574,0.00034007831709459424,0.0002853727200999856,0.0014441782841458917,AUTO,8897.0
17:14:36,-35.363262,149.16523765,1699.0,1.5,9.5,-145.0,0.0,-1.0,-1009.0,45.0,-7.0,2.0,0.03282840736210346,-0.0024279949138872325,0.019938720390200615,0.04525702819228172,-0.007928895065560937,0.002760784816928208,AUTO,8897.0
17:14:38,-35.3632609,149.16524565,4743.0,-1.0,27.0,-148.0,4.0,-7.0,-1001.5,-36.0,-19.5,-32.5,-0.03925649635493755,0.011783191934227943,-0.08441230654716492,-0.037051145918667316,-0.02068027202039957,-0.032577007077634335,AUTO,8897.0
17:14:39,-35.3632611,149.16524405,6648.0,-2.0,-45.75,-147.25,-4.25,8.5,-1001.5,58.75,5.0,-1.5,-0.04477277910336852,-0.007774270488880575,-0.09332614950835705,0.0585115784779191,0.004752500390168279,-0.0014883003605064005,AUTO,147028.0
17:14:40,-35.3632613,149.16523945,7800.0,-3.5,-58.0,-149.5,-7.0,12.0,-1003.5,66.5,14.0,2.0,0.0023199908901005983,-0.00021469482453539968,-0.0941380150616169,0.06629174202680588,0.014065641444176435,0.0031005283817648888,AUTO,147028.0
17:14:42,-35.3632625,149.16523515,10915.0,-1.5,23.0,-147.5,3.0,-3.5,-1002.0,-65.5,0.5,-13.5,0.00822681316640228,-0.00557573139667511,-0.08150260522961617,-0.06692523136734962,0.00034747185418382287,-0.013575225602835417,AUTO,147028.0
17:14:44,-35.3632619,149.1652364,14021.0,3.5,-6.5,-151.0,-2.0,0.0,-1000.0,18.0,8.0,-22.0,0.0004929496208205819,0.0037420986918732524,-0.1360585168004036,0.01821856200695038,0.007267047418281436,-0.022399923764169216,AUTO,77392.5
17:14:46,-35.3632616,149.1652354,17133.5,-2.5,3.5,-151.0,0.0,0.0,-999.5,-4.0,-0.5,-11.0,0.009027616586536169,0.005236397963017225,-0.16445393860340118,-0.004992235451936722,-0.0017735455185174942,-0.011357722338289022,AUTO,7757.0
