time_stamp,RTL_ALT,MODE,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro
02:08:03,1500.0,STABILIZE,-35.3632622,149.1652375,22.0,-1.3333333333333333,1.3333333333333333,2.0,-0.0008277047309093177,0.0012189928675070405,0.027211815118789673,0.00020037975627928972,0.0004005923983640969,0.002087466884404421,0.0,1.0,-1000.0,0.0,0.0,0.0
02:08:17,1500.0,STABILIZE,-35.3632622,149.1652376,40.5,-1.0,2.0,1.0,-0.0006374534859787673,0.0009887865162454545,0.022320508025586605,0.0002813288592733443,0.00021933854441158473,0.001483335392549634,0.0,1.0,-1000.0,1.0,1.0,0.0
02:08:18,229428.0,AUTO,-35.3632622,149.16523755,15.0,-1.0,1.75,1.0,-0.0007902076176833361,0.000999307114398107,0.022117361426353455,0.0003421362634981051,0.00028128267149440944,0.001485920714912936,0.0,1.75,-1000.0,0.25,0.5,0.0
02:08:19,229428.0,AUTO,-35.3632621,149.1652374,23.5,0.0,-2.5,-4.0,-0.0006166112434584647,0.0011129425838589668,0.02183713112026453,0.0002091624483000487,0.0002777358458843082,0.001450135256163776,0.0,1.5,-1000.0,0.5,0.0,1.0
02:08:21,225323.0,AUTO,-35.3632621,149.1652375,31.0,0.0,1.0,-2.0,-0.00012627404430531897,0.00166322075529024,0.021318928338587284,0.00039528391789644957,0.0003492474788799882,0.0013967719278298318,0.0,1.0,-1000.0,0.0,0.0,0.0
02:08:23,221218.0,AUTO,-35.36326205,149.16523755,1675.5,1.0,9.5,-147.0,0.03161213546991348,-0.0023682378232479095,0.021309326402843,0.04628630541265011,-0.007321712328121066,0.002993131405673921,0.0,-0.5,-1010.0,46.0,-6.5,2.0
02:08:24,156374.0,AUTO,-35.363261675000004,149.1652394,2818.75,6.25,40.0,-146.75,0.050814333371818066,-0.0011436069617047906,0.00017436081543564796,-0.03234863467514515,0.0260429666377604,-0.03769064485095441,1.25,-7.25,-995.25,-31.5,26.75,-38.0
02:08:25,156374.0,AUTO,-35.36326085,149.16524555,4715.0,3.0,33.0,-148.0,-0.038313498720526695,0.004134765942580998,-0.06735983863472939,-0.07235218398272991,-0.003727544331923127,-0.039694104343652725,3.5,-8.0,-1001.0,-71.0,-3.0,-39.5
02:08:27,145212.0,AUTO,-35.363261449999996,149.1652393,7771.5,-15.5,-64.0,-148.5,-0.005379319656640291,0.009991214144974947,-0.11272347718477249,0.07046065106987953,0.011719302739948034,-0.0012244533281773329,-5.5,13.5,-1003.5,71.0,12.5,-1.5
02:08:29,134050.0,AUTO,-35.36326525,149.1652343,10877.5,3.0,38.0,-147.5,0.05008416064083576,-0.06950997933745384,-0.03403998166322708,-0.0537437004968524,-0.06411829683929682,0.08983972854912281,4.5,-4.5,-996.5,-52.5,-63.0,89.0
02:08:30,243895.0,AUTO,-35.363263350000004,149.16523750000002,12010.5,42.5,31.75,-146.25,-0.024879476753994823,-0.02645230235066265,-0.06560352817177773,-0.08367341780103743,0.09475017711520195,-0.10157842840999365,-3.5,-11.0,-1005.75,-82.5,95.0,-101.25
02:08:31,243895.0,AUTO,-35.36325915,149.16523790000002,13944.5,17.5,-23.5,-151.0,-0.027504969388246536,0.030223889276385307,-0.17784753441810608,0.04594656266272068,0.01599505078047514,-0.0435503963381052,-7.0,0.5,-1001.0,46.0,16.5,-43.5
02:08:33,129889.0,AUTO,-35.36326115,149.165235,17066.0,-23.5,20.0,-149.0,0.024505016393959522,-0.014339838642627,-0.15906190872192383,-0.06002739444375038,-0.04624942922964692,0.046630929224193096,6.0,1.0,-998.5,-59.0,-45.0,46.0
02:08:35,15883.0,AUTO,-35.363262,149.16523705,20174.5,0.0,-3.0,-151.5,-0.005270816967822611,0.000867216513142921,-0.21609462797641754,0.018828350119292736,0.0071956398896873,-0.03536681830883026,-0.5,0.0,-1000.5,19.0,7.5,-35.0
02:08:36,108447.0,AUTO,-35.363262,149.16523660000001,21353.5,-0.5,-3.0,-151.75,0.004384862259030342,0.004444071964826435,-0.23764410987496376,0.008519509749021381,0.0030635441362392157,-0.0233134338632226,-1.0,0.25,-999.5,8.75,3.5,-23.0
02:08:37,108447.0,AUTO,-35.363262,149.16523625000002,23293.5,-2.0,2.5,-151.0,0.0059501666110008955,0.00441583339124918,-0.26023708283901215,-0.002417759853415191,-0.0002459310635458678,-0.015002026222646236,0.0,0.0,-1000.0,-1.5,0.0,-14.5
02:08:39,141285.5,AUTO,-35.36326215,149.1652363,26405.5,-4.5,-0.5,-152.0,0.004167623061221093,0.004592918325215578,-0.28714853525161743,0.028729666955769062,0.0009175302111543715,0.010068711708299816,0.0,1.0,-1000.5,29.0,2.0,9.0
02:08:41,174124.0,AUTO,-35.3632625,149.1652372,29511.0,0.0,9.5,-151.0,0.0019609076261986047,0.0012126906076446176,-0.24215522408485413,-0.007198484148830175,-0.0011472613841760904,0.022660421207547188,1.0,-1.0,-1000.0,-5.5,0.0,22.0
02:08:42,188633.0,AUTO,-35.3632625,149.16523777499998,30680.5,0.0,6.25,-149.75,-0.004732445551780984,0.004016031773062423,-0.220450047403574,-0.02953660345519893,0.027805893347249366,0.07909650774672627,0.0,-1.25,-991.0,-28.75,28.25,78.5
02:08:43,188633.0,AUTO,-35.36326385,149.16523665,32380.5,-33.5,-31.5,-98.0,-0.03059540782123804,0.007831857074052095,0.14206599444150925,0.11371339112520218,-0.1815282702445984,0.10124797560274601,4.0,9.5,-936.5,114.5,-180.0,101.0
