time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,VFR_HUD_alt,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,EK2_ALT_SOURCE
10:14:27,1500.0,0.025636367266997695,-0.0393845452927053,-0.08236133120954037,0.045248497277498245,0.06033249478787184,-0.04160925233736634,AUTO,610.1299743652344,610130.0,-35.363262975,149.165240025,26136.5,23.25,-73.25,-153.75,-14.25,11.75,-1003.0,45.5,60.75,-41.5,0.0
10:14:29,1500.0,0.040648055262863636,0.04127362669844713,-0.1701695237840925,-0.04078251575785024,-0.017352472990751266,-0.013241372403821774,AUTO,613.0971330915179,613097.1428571428,-35.363259657142855,149.16523387142857,29102.14285714286,-7.142857142857143,21.0,-152.57142857142858,1.8571428571428572,-2.7142857142857144,-999.4285714285714,-40.142857142857146,-16.428571428571427,-13.714285714285714,0.0
10:14:32,1500.0,0.008263039402663708,0.0029501304185638824,-0.20075705150763193,0.011468926987921199,0.008136863742644588,0.012768588028848171,AUTO,618.5699869791666,618570.0,-35.363262033333335,149.16523819999998,34578.0,0.6666666666666666,-9.0,-153.66666666666666,-2.0,1.0,-999.3333333333334,12.0,8.666666666666666,12.0,0.0
10:15:14,1500.0,-0.045947104692459106,0.10456266502539317,1.6290282209714253,0.05847918844665401,-0.013071071861001352,0.013937175584336122,RTL,633.9983317057291,633998.3333333334,-35.36326943333333,149.16547094999999,50002.166666666664,32.0,-423.8333333333333,0.0,79.0,62.666666666666664,-994.3333333333334,59.666666666666664,-10.5,14.666666666666666,0.0
10:15:44,1500.0,0.014229723019525409,0.00883522687945515,1.6082273721694946,1.2148210257291794,0.006601418543141335,0.0021041573490947485,RTL,622.7649993896484,622765.0,-35.36326,149.16523815,38770.5,-33.25,-3.0,99.0,5.25,54.0,-995.75,1222.0,9.25,3.75,0.0
10:15:45,1500.0,-0.04300064966082573,0.009001764468848705,1.6074374914169312,-0.9319096207618713,0.014392400160431862,-0.01414682250469923,RTL,621.5499877929688,621550.0,-35.3632631,149.1652382,37555.0,-9.0,-3.0,112.0,6.0,-21.0,-1068.0,-921.0,17.0,-12.0,0.0
10:15:48,1500.0,-0.045378753915429115,0.000998336006887257,1.6076314151287079,-1.2569076269865036,-0.005391918588429689,0.001315639354288578,RTL,618.4574737548828,618457.5,-35.3632664,149.16523784999998,34462.0,42.75,-5.25,97.25,-2.0,-37.0,-981.25,-1252.75,-1.5,3.25,0.0
10:16:00,1500.0,-0.00662653804756701,0.00013686420497833752,1.6065279722213746,0.6041329562664032,-0.0029517599381506444,-0.001409287005662918,RTL,606.4339721679687,606434.0,-35.36326492,149.16523752,22440.2,23.8,-1.0,113.0,-0.4,-9.8,-1022.8,596.8,0.8,0.6,0.0
10:16:14,1500.0,0.024333431478589775,-0.00054385329131037,1.6051878452301025,0.14015204161405564,-0.0023697031661868095,0.006538796331733465,RTL,596.1059814453125,596106.0,-35.363261679999994,149.165238,12111.0,0.8,-5.0,101.4,-2.0,-31.0,-986.6,132.6,1.4,8.2,0.0
10:16:30,1500.0,-0.016428352706134318,-0.0014581082505173981,1.6046499252319335,-0.6983445107936859,-0.0009292866569012403,0.00355342123657465,RTL,591.8619873046875,591862.0,-35.36326316000001,149.1652373,7866.0,10.4,1.0,29.2,-1.0,-19.2,-973.6,-692.6,2.6,5.4,0.0
