time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
11:06:07,-0.00031487122760154307,0.0013604405103251338,0.026266248896718025,0.00034623159444890916,9.336735820397735e-05,0.0021217491012066603,-35.3632622,149.1652376,0.0,-2.0,2.0,2.0,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.0,1500.0
11:06:24,-0.0008751522788467506,0.0009930268473302324,0.021138738219936688,0.0002630320959724486,0.00026172401461129385,0.001408295938745141,-35.3632622,149.1652375,1.0,-1.0,1.0,0.0,AUTO,0.0,2.0,-1000.0,0.0,0.0,0.5,168027.0
11:06:25,-0.0008607647905591875,0.001026623125653714,0.020982880145311356,0.000296102836728096,0.0002968509215861559,0.0013151068706065416,-35.36326215,149.1652375,1.5,-0.5,0.5,0.0,AUTO,0.0,2.0,-1000.0,0.0,0.0,0.5,168027.0
11:06:27,-0.0003371380298631266,0.0014608529745601118,0.020552567206323147,0.0003110548423137516,0.00035188032779842615,0.0014346750103868544,-35.3632621,149.1652374,8.0,0.0,0.0,-1.0,AUTO,0.0,1.0,-1000.0,1.0,0.5,1.0,210249.0
11:06:29,0.007052211090922356,0.00036865202127955854,0.02000505570322275,0.02114419871941209,-0.0011554867960512638,0.0008065944857662544,-35.3632621,149.1652375,634.5,0.0,0.5,-107.0,AUTO,0.0,0.0,-1083.5,22.0,-0.5,0.5,252471.0
11:06:30,0.04069072287529707,-0.00442810557433404,0.020270636770874262,0.04329448379576206,-0.008810887113213539,0.002952731214463711,-35.363261924999996,149.165238025,1995.5,2.75,17.5,-148.0,AUTO,0.0,-2.0,-1005.75,43.5,-7.5,1.75,146093.0
11:06:31,0.018567319959402084,0.006307576783001423,-0.03831480164080858,-0.03694048337638378,0.010907852090895176,-0.056951144710183144,-35.363261300000005,149.16524175,3517.5,5.0,45.0,-147.0,AUTO,3.5,-9.0,-1000.0,-35.5,11.5,-57.0,146093.0
11:06:33,-0.04190943855792284,-0.004689609166234732,-0.09159225225448608,0.05823732912540436,0.004652886418625712,-0.004039081453811377,-35.3632611,149.16524345,6578.0,-2.5,-44.0,-149.0,AUTO,-4.0,7.5,-1001.5,58.5,5.0,-4.0,85092.0
11:06:35,0.044029044918715954,-0.0011593671515583992,-0.08023477345705032,-0.015278436243534088,0.0023963514831848443,0.0015754449414089322,-35.3632623,149.16523465,9682.5,-7.0,-2.0,-150.5,AUTO,0.0,2.0,-999.5,-14.5,2.5,1.5,24091.0
11:06:36,-0.005646055797114968,-0.005881827091798186,-0.08438624069094658,-0.033206638996489346,0.0087065773550421,-0.02633425034582615,-35.3632626,149.16523555,11222.25,3.5,15.0,-149.75,AUTO,1.0,-2.75,-1002.25,-32.0,9.25,-26.0,218237.0
11:06:37,-0.0090413314756006,0.0013175123604014516,-0.11604522913694382,0.012840831186622381,0.0069599340204149485,-0.028375438414514065,-35.3632621,149.16523615,12771.0,5.5,-0.5,-151.5,AUTO,-1.0,-1.0,-1001.0,13.0,7.0,-28.0,218237.0
11:06:39,0.008927952963858843,0.006686841370537877,-0.15415159612894058,-0.0011101464042440057,-0.0011556808894965798,-0.011889163870364428,-35.3632615,149.16523535,15888.5,-2.0,1.0,-152.0,AUTO,0.0,0.0,-999.5,-0.5,0.0,-11.5,194049.5
11:06:41,-0.023246202152222395,0.007733184145763516,-0.1782780960202217,-0.019958968041464686,0.03988707083044574,0.06066916696727276,-35.363261699999995,149.16523575000002,19072.0,-5.0,-2.0,-149.5,AUTO,0.0,0.5,-991.0,-18.5,40.5,60.5,169862.0
11:06:42,-0.01966223889030516,0.021632652264088392,0.01114003430120647,0.07948660780675709,-0.06593847274780273,0.23404900240711868,-35.3632627,149.16523395000002,20607.25,-26.0,-30.5,-127.75,AUTO,0.75,8.25,-961.75,80.0,-64.75,233.5,188433.0
11:06:43,0.051374563947319984,-0.03687153570353985,0.0652199499309063,0.02082760352641344,-0.007070084102451801,-0.029478574637323618,-35.3632645,149.16523145,21658.5,-11.5,-3.5,-89.5,AUTO,0.5,3.5,-964.5,21.5,-6.0,-29.0,188433.0
11:06:45,-0.0016263369470834732,0.009926419705152512,0.04772084020078182,-0.02180488593876362,0.011684149969369173,0.0006723552796756849,-35.3632626,149.16523675000002,22894.0,15.0,32.5,-36.5,AUTO,0.0,-8.5,-976.0,-20.0,12.0,0.5,128132.5
11:06:47,-0.009182571899145842,-0.013894334435462952,0.04015992768108845,0.13791227340698242,-0.07343250885605812,-0.006431746995076537,-35.36326115,149.16523949999998,23053.0,2.5,-5.0,16.5,AUTO,-1.5,10.0,-990.5,139.0,-72.0,-5.5,67832.0
11:06:48,0.048136623576283455,-0.07566620409488678,0.069518000818789,0.11993048619478941,-0.04564019478857517,0.19070497946813703,-35.3632595,149.1652391,22919.75,43.5,14.0,3.75,AUTO,-8.5,-3.0,-1012.0,121.0,-43.75,190.75,91287.0
11:06:49,0.028038054704666138,-0.13348668813705444,0.4664313346147537,-0.18057362735271454,-0.039987534284591675,0.42204769514501095,-35.36325215,149.1652423,22880.5,119.0,62.0,1.0,AUTO,-25.5,-18.0,-1001.5,-179.0,-38.5,422.0,91287.0
11:06:51,0.040316417813301086,-0.14599301666021347,0.5278232395648956,0.18885531462728977,0.041711522499099374,-0.0029256652342155576,-35.3632145,149.16526614999998,22786.5,297.5,166.0,2.5,AUTO,-71.0,-24.0,-1002.5,190.0,42.5,-3.0,116204.5
