time_stamp,MODE,RTL_ALT,LAND_SPEED_HIGH,WPNAV_SPEED_DN,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
13:50:11,GUIDED,1500.0,0.0,150.0,-0.0009096088353544474,0.001315390318632126,0.025197232142090797,0.00022819345467723907,0.00020131010678596794,0.002086613932624459,-35.3632622,149.1652375,3.6,-0.6,0.8,1.6,0.0,1.2,-1000.4,0.0,0.0,0.2
13:50:23,GUIDED,1500.0,0.0,150.0,0.042794244131073356,0.006218686001375318,-0.0160047123208642,-0.050378605257719755,0.018262658501043916,-0.04559467837680131,-35.363261325,149.165240525,3257.0,6.0,48.5,-148.0,2.75,-9.0,-997.0,-49.75,19.0,-46.25
13:50:26,GUIDED,1500.0,0.0,150.0,-0.09261968731880188,0.015165348692486683,-0.1036948636174202,-0.06464645309218515,0.04088373792668184,-0.08386814842621486,-35.36325923333333,149.165249,6208.666666666667,11.0,-4.666666666666667,-148.66666666666666,-1.3333333333333333,-3.6666666666666665,-1003.6666666666666,-64.0,41.0,-84.33333333333333
13:50:42,GUIDED,1500.0,0.0,150.0,0.025107736885547637,-0.026518895477056503,-0.21364911794662475,0.0066607780521735546,-0.14155095517635347,0.11270920187234879,-35.36326518,149.16523780000003,21098.6,-109.6,12.6,-152.4,21.8,15.2,-1012.2,6.8,-140.4,111.4
13:50:48,GUIDED,1500.0,0.0,150.0,0.03557153853277365,0.11729500691095988,-0.26134344935417175,0.06948532164096832,0.04308584580818812,-0.005969977471977472,-35.3632484,149.16521403333334,27775.333333333332,-20.0,-77.33333333333333,-157.66666666666666,-18.25,13.0,-1006.5,68.0,52.0,-8.0
13:51:00,GUIDED,1500.0,0.0,150.0,0.09375816583633423,0.01020738792916139,-0.282514750957489,0.0831579864025116,-0.1221642717719078,0.07260365039110184,-35.36328506666666,149.16523016666667,38504.666666666664,-184.0,36.333333333333336,-149.0,32.333333333333336,29.666666666666668,-1023.0,83.33333333333333,-121.0,72.0
13:51:03,GUIDED,1500.0,0.0,90.0,0.006526589393615723,-0.24079041928052902,-0.12672057002782822,-0.20750271528959274,0.12010002881288528,-0.06784275453537703,-35.363292099999995,149.16525635,41475.5,183.0,146.5,-114.5,-3.6666666666666665,-46.0,-990.0,-178.33333333333334,40.666666666666664,-3.0
13:51:13,LAND,1500.0,370.0,90.0,-0.011938554234802723,-0.002393173975406171,-0.1937177199870348,0.011824932880699635,0.006581245543202385,-0.013470689707901329,-35.3632623125,149.165239425,34167.375,3.125,-13.0,240.625,1.2222222222222223,9.11111111111111,-1000.8888888888889,192.11111111111111,7.222222222222222,-11.88888888888889
13:51:18,LAND,1500.0,340.0,90.0,0.03319102851673961,0.0011229532392462716,-0.2617952600121498,-0.5577450171113014,0.0019783132593147457,5.170895019546151e-05,-35.363263075,149.16523360000002,11844.75,7.0,20.5,87.25,-3.5,-50.0,-1014.25,-568.0,2.0,0.75
13:51:35,LAND,1500.0,450.0,90.0,-0.014970910735428333,0.005806256551295519,-0.31403253972530365,-0.4847097396850586,-0.0003277713622082956,-0.003978924942202866,-35.3632615,149.16523975,5455.5,-7.0,-19.5,33.0,0.5,-43.0,-990.0,-492.5,0.0,-2.5
13:51:37,LAND,1500.0,460.0,90.0,-0.01599122888209032,0.004279551329091191,-0.31483770268304007,-0.20856802378382003,-9.222309537498015e-05,0.001524611675579633,-35.36326154285714,149.16523952857142,4938.0,-6.428571428571429,-19.571428571428573,32.57142857142857,-0.14285714285714285,0.8571428571428571,-1000.1428571428571,-203.57142857142858,0.2857142857142857,2.2857142857142856
13:51:39,LAND,1500.0,340.0,90.0,-0.007323179252645267,0.004899022967687675,-0.3168056607246399,0.3147767335176468,0.0026353271719667,0.0022474952108625856,-35.363261599999994,149.16523921428572,4191.428571428572,-4.857142857142857,-16.857142857142858,32.714285714285715,-0.8571428571428571,17.714285714285715,-1002.8571428571429,317.85714285714283,2.5714285714285716,3.0
13:51:51,LAND,1500.0,400.0,90.0,0.006079513463191688,0.0060721891932189465,-0.32084497809410095,-0.32604604214429855,0.001464286120608449,0.008307313080877066,-35.3632626,149.1652352,749.0,4.0,16.0,33.5,0.0,9.5,-1023.5,-315.0,1.0,9.5
13:51:59,LAND,1500.0,290.0,90.0,0.0008751130611926783,0.010185086447745562,-0.32022745013237,-0.00023532588966190815,0.001604955201037228,0.0006268929573707283,-35.363262830000004,149.1652355,43.0,-5.5,4.3,0.4,0.0,0.0,-1000.0,2.0,1.9,1.6
13:52:01,LAND,1500.0,350.0,90.0,-0.0010224369470961392,0.010071052005514503,-0.3189402371644974,-0.00017546425806358457,0.0015202520589809865,0.0006346395530272275,-35.3632629,149.165234975,27.0,-6.0,0.0,0.0,0.0,0.75,-1000.0,2.0,2.0,2.0
