time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,chan4_raw,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,MODE
15:03:56,1500.0,-0.0005642332835122943,0.001140123582445085,0.021345455199480057,0.00020208716159686446,0.00012152997078374028,0.0013283288571983576,1500.0,0.0,1.0,-1000.0,0.0,1.0,1.0,-35.3632621,149.1652375,12.0,0.0,0.0,-2.0,AUTO
15:03:58,1500.0,-0.00011846444976981729,0.0016988372663035989,0.020851725712418556,0.0003916868008673191,0.00033296243054792285,0.001356811262667179,1500.0,0.0,2.0,-1000.0,0.0,1.0,0.0,-35.3632621,149.1652375,13.0,0.0,0.0,-1.0,AUTO
15:04:00,1500.0,0.031257305294275284,-0.0022776105906814337,0.020241083577275276,0.04535317048430443,-0.0072754449211061,0.0025374216493219137,1500.0,0.0,-1.0,-1009.0,46.0,-6.0,2.0,-35.363262,149.1652376,1660.0,1.0,9.0,-147.0,AUTO
15:04:02,1500.0,-0.03952355682849884,-0.006357382982969284,-0.05668395385146141,-0.06009167432785034,-0.03780745342373848,0.003631412051618099,1500.0,3.0,-6.0,-1001.0,-58.0,-37.0,3.0,-35.3632608,149.1652456,4708.0,5.0,30.0,-149.0,AUTO
15:04:04,1500.0,-0.011633693240582943,0.026089031249284744,-0.1321832835674286,0.07494435459375381,0.013459143228828907,-0.007213801145553589,1500.0,-4.0,21.0,-1004.0,75.0,14.0,-7.0,-35.3632611,149.1652374,7756.0,-27.0,-78.0,-149.0,AUTO
15:04:06,1500.0,-0.05137847363948822,-0.11026988178491592,0.7657626867294312,0.02380749210715294,-0.06591881811618805,0.8540970087051392,1981.0,2.0,1.0,-1011.0,24.0,-65.0,853.0,-35.3632676,149.1652283,10758.0,9.0,2.0,-141.0,AUTO
15:04:08,1500.0,0.0248325914144516,-0.008615362457931042,2.129453420639038,0.07157329469919205,0.011280943639576435,0.3118753135204315,1500.0,-6.0,12.0,-1008.0,72.0,12.0,311.0,-35.363258,149.1652332,13714.0,55.0,28.0,-152.0,AUTO
15:04:10,1500.0,0.05617120489478111,-0.018631869927048683,2.1809098720550537,-0.15638066828250885,0.055650271475315094,-0.1563800424337387,1500.0,5.0,-20.0,-1010.0,-155.0,56.0,-156.0,-35.3632603,149.1652314,16762.0,-108.0,-33.0,-140.0,AUTO
15:04:12,1500.0,-0.020885726436972618,-0.02640386112034321,2.0586540699005127,0.021364856511354446,0.008232224732637405,-0.010703026317059994,1500.0,-9.0,-14.0,-999.0,22.0,8.0,-11.0,-35.3632768,149.1652302,19849.0,-62.0,34.0,-154.0,AUTO
15:04:14,1500.0,-0.07073744386434555,0.05028396472334862,2.0075302124023438,-0.03616689145565033,0.05033775418996811,-0.04490403085947037,1500.0,-13.0,1.0,-1000.0,-35.0,51.0,-45.0,-35.3632824,149.1652416,22963.0,24.0,49.0,-151.0,AUTO
