time_stamp,MODE,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
03:44:00,AUTO,61558.5,-35.3632622,149.1652375,3.0,-1.0,0.0,-1.0,0.0,1.0,-1000.0,1.0,0.0,0.0,-0.0006335123325698078,0.0009829765185713768,0.0215719947591424,0.000278794759651646,0.0002684284409042448,0.0015013592783361673
03:44:02,AUTO,121617.0,-35.3632621,149.1652375,2.0,0.0,0.5,0.5,0.0,1.0,-1000.0,1.0,0.0,0.0,-0.00010278481931891292,0.001248879765626043,0.021020282059907913,0.00031268896418623626,0.0002258748863823712,0.0014171851216815412
03:44:03,AUTO,14483.0,-35.3632621,149.1652375,0.0,0.0,0.25,1.0,0.0,1.0,-1000.0,0.5,0.75,0.0,0.00030244392110034823,0.001521791418781504,0.020693610422313213,0.00032545908470638096,0.0003162142966175452,0.0013970280706416816
03:44:04,AUTO,14483.0,-35.3632621,149.1652375,87.0,0.0,0.5,-34.0,0.0,0.5,-1065.5,3.5,2.0,0.5,0.0021658218174707144,0.0009325442661065608,0.020360266789793968,0.003904285404132679,0.0022036977752577513,0.0018894565873779356
03:44:06,AUTO,119035.0,-35.363261800000004,149.1652387,2310.0,4.5,26.5,-146.0,0.5,-5.0,-1000.5,25.5,1.0,-15.5,0.048551829531788826,-0.006200385396368802,0.006825068267062306,0.025139230070635676,-0.00018342724069952965,-0.014896386303007603
03:44:08,AUTO,223587.0,-35.3632608,149.1652459,4783.0,1.0,28.0,-148.0,4.0,-8.0,-1001.0,-27.0,-13.0,-29.0,-0.03497840836644173,0.004093839321285486,-0.07523389905691147,-0.027800703421235085,-0.013491472229361534,-0.029261872172355652
03:44:09,AUTO,184692.0,-35.363260849999996,149.1652445,6649.75,-4.0,-45.25,-147.25,-4.5,7.5,-1001.75,57.75,5.25,-12.25,-0.051662893034517765,0.0008926512145990273,-0.1046290285885334,0.05767612252384424,0.00464627321343869,-0.01233633328229189
03:44:10,AUTO,184692.0,-35.3632617,149.16523826666665,8204.0,-14.333333333333334,-53.333333333333336,-149.66666666666666,-5.0,12.333333333333334,-1003.3333333333334,67.66666666666667,9.0,0.0,0.013607390535374483,0.009719888214021921,-0.10876457144816716,0.06759100655714671,0.008902744390070438,0.00028358328563626856
03:44:12,AUTO,140795.5,-35.36326355,149.1652365,11524.5,19.5,28.0,-147.5,0.0,-7.0,-1001.5,-82.0,35.0,-34.5,-0.0031173862516880035,-0.036735362373292446,-0.06517650187015533,-0.08323023840785027,0.03512533754110336,-0.033997406251728535
03:44:14,AUTO,96899.0,-35.36325995,149.16523619999998,14631.5,0.5,-13.0,-152.0,-3.0,2.0,-1000.0,29.0,-1.0,-12.5,0.007699598092585802,0.02336658164858818,-0.1768914833664894,0.02860954450443387,-0.0016962392255663872,-0.012506391853094101
03:44:15,AUTO,110542.0,-35.363260325,149.16523525000002,16190.5,-13.75,2.75,-151.0,1.0,1.5,-999.25,-9.0,-14.75,6.0,0.016762012848630548,0.012620078516192734,-0.17564167827367783,-0.0102032870054245,-0.015899176010861993,0.006669771100860089
03:44:16,AUTO,110542.0,-35.363261,149.1652354,17162.0,-14.0,9.0,-151.0,3.0,0.0,-1000.0,-10.0,-10.0,-3.0,0.008650747127830982,0.003131215926259756,-0.1722346693277359,-0.010760584846138954,-0.011092615313827991,-0.0032399441115558147
03:44:18,AUTO,193777.0,-35.3632622,149.1652365,20241.0,-2.5,2.5,-152.0,0.0,0.0,-1000.0,3.5,3.0,-25.5,0.0007857641758164391,-0.0015077945427037776,-0.2092798352241516,0.0030826510628685355,0.0025698152603581548,-0.025432181544601917
03:44:20,AUTO,277012.0,-35.3632622,149.1652365,23359.5,0.0,2.5,-152.0,0.0,0.0,-999.5,-0.5,2.5,-19.5,0.0048560646828264,0.0035170831251889467,-0.2572406679391861,-0.0016746874898672104,0.0018017870606854558,-0.019833858124911785
03:44:21,AUTO,261882.0,-35.3632621,149.165236675,25305.25,-2.25,1.25,-151.5,0.0,0.0,-999.25,-4.75,3.5,2.25,-0.0031023716437630355,0.005238618468865752,-0.27529526501893997,-0.005607442755717784,0.0028161813970655203,0.002697831005207263
03:44:22,AUTO,261882.0,-35.36326215,149.1652366,26471.5,-5.0,0.5,-152.0,0.0,0.0,-999.5,18.5,-1.0,23.5,0.008499754825606942,0.0049095144495368,-0.2643945664167404,0.01828276552259922,-0.002675310359336436,0.024430985562503338
03:44:24,AUTO,159908.5,-35.3632623,149.1652375,29580.5,-0.5,8.5,-152.0,0.0,-1.0,-1000.0,-3.5,1.5,20.0,0.0018198349280282855,0.0019606304704211652,-0.2174692451953888,-0.004858328029513359,0.0011164700263179839,0.0205057542771101
03:44:26,AUTO,57935.0,-35.3632623,149.1652382,32682.5,0.0,1.5,-152.0,0.0,0.0,-999.5,2.5,0.5,14.5,0.0006328138697426766,0.001198117039166391,-0.18336961418390274,0.0020661778980866075,0.00019736980902962387,0.015195594169199467
03:44:27,AUTO,43700.0,-35.3632623,149.165238125,34625.25,0.0,0.0,-152.0,0.0,0.0,-999.75,1.25,1.25,11.5,0.002126819919794798,0.0009305208077421412,-0.1663203313946724,0.000288543407805264,0.0008713840506970882,0.012233728542923927
03:44:28,AUTO,43700.0,-35.3632623,149.165238,35790.5,0.0,0.0,-152.0,0.0,0.0,-1000.0,2.0,0.5,11.5,0.0022080232156440616,0.0010297997505404055,-0.1576598584651947,0.0012056563282385468,0.00010943860979750752,0.012013973202556372
