,A.LAND1
13:04:24.962,-1.0
13:04:25.165,-1.0
13:04:25.374,-1.0
13:04:25.578,-1.0
13:04:25.781,-1.0
13:04:25.984,-1.0
13:04:26.198,-1.0
13:04:26.405,-1.0
13:04:26.610,-1.0
13:04:26.813,-1.0
13:04:27.024,-1.0
13:04:27.231,-1.0
13:04:27.436,-1.0
13:04:27.639,-1.0
13:04:27.844,-1.0
13:04:28.046,-1.0
13:04:28.253,-1.0
13:04:28.457,-1.0
13:04:28.661,-1.0
13:04:28.869,-1.0
13:04:29.071,-1.0
13:04:29.276,-1.0
13:04:29.479,0.773
13:04:29.683,0.778
13:04:29.887,0.783
13:04:30.089,0.787
13:04:30.294,0.787
13:04:30.497,0.771
13:04:30.702,0.574
13:04:30.904,0.229
13:04:31.107,0.231
13:04:31.313,0.291
13:04:31.515,0.337
13:04:31.721,0.36
13:04:31.927,0.36
13:04:32.129,0.36
13:04:32.331,0.36
13:04:32.533,0.36
13:04:32.737,0.36
13:04:32.941,0.36
13:04:33.150,0.36
13:04:33.360,0.36
13:04:33.565,0.36
13:04:33.768,0.36
13:04:33.972,0.36
13:04:34.177,0.366
13:04:34.380,0.366
13:04:34.585,0.366
13:04:34.791,0.366
13:04:34.995,0.366
13:04:35.198,0.366
13:04:35.405,0.366
13:04:35.612,0.366
13:04:35.815,0.366
13:04:36.031,0.366
13:04:36.234,0.512
13:04:36.448,0.512
13:04:36.653,0.4
13:04:36.864,0.365
13:04:37.068,0.341
13:04:39.107,0.353
13:04:39.312,0.3
13:04:39.514,0.329
13:04:39.720,0.335
13:04:39.932,0.335
13:04:40.135,0.335
13:04:40.338,0.335
13:04:40.545,0.335
13:04:40.748,0.335
13:04:40.950,0.335
13:04:41.155,0.335
13:04:41.357,0.335
13:04:41.565,0.335
13:04:41.770,0.335
13:04:41.972,0.335
13:04:42.179,0.521
13:04:42.390,0.252
13:04:42.595,0.314
13:04:42.801,0.286
13:04:43.003,0.167
13:04:43.219,0.091
13:04:43.425,0.091
13:04:43.632,0.0
13:04:43.841,0.0
13:04:44.055,0.0
13:04:44.259,0.0
13:04:44.466,0.0
13:04:44.673,0.0
13:04:44.882,0.0
13:04:45.089,0.0
13:04:45.296,0.0
13:04:45.499,0.0
13:04:45.706,0.0
13:04:45.913,0.0
13:04:46.117,0.0
13:04:46.323,0.0
13:04:46.528,0.0
13:04:46.731,0.0
13:04:46.934,0.0
13:04:47.139,0.0
13:04:47.343,0.0
13:04:47.549,0.0
13:04:47.753,0.0
13:04:47.959,0.0
13:04:48.163,0.0
13:04:48.369,0.0
13:04:48.579,0.0
13:04:48.785,-0.111
13:04:48.988,-0.111
13:04:49.195,-0.111
13:04:49.407,-0.25
13:04:49.627,-0.25
13:04:49.833,-0.25
13:04:50.036,-0.25
13:04:50.241,-0.25
13:04:50.447,-0.25
13:04:50.668,-0.25
13:04:50.888,-0.25
13:04:51.096,-0.25
13:04:51.309,-0.25
13:04:51.512,-0.25
13:04:51.716,-0.25
13:04:51.940,-0.25
13:04:52.169,-0.25
13:04:52.373,-0.25
13:04:52.578,-0.25
13:04:52.783,-0.25
13:04:53.003,-0.25
13:04:53.208,-0.25
13:04:53.433,-0.25
13:04:53.646,-0.25
13:04:53.853,-0.25
13:04:54.074,-0.25
13:04:54.277,-0.25
13:04:54.480,-0.25
13:04:54.682,-0.25
13:04:54.905,-0.25
13:04:55.111,-0.25
13:04:55.358,-0.25
13:04:55.563,-0.25
13:04:55.776,-0.25
13:04:55.982,-0.25
13:04:56.184,-0.25
13:04:56.389,-0.25
13:04:56.592,-0.25
13:04:56.799,-0.25
13:04:57.002,-0.25
13:04:57.209,-0.25
13:04:57.415,-0.25
13:04:57.631,-0.25
13:04:57.839,-0.25
13:04:58.045,-0.25
13:04:58.250,-0.25
13:04:58.454,-0.25
13:04:58.657,-0.25
13:04:58.860,-0.25
13:04:59.067,-0.25
13:04:59.270,-0.25
13:04:59.474,-0.25
13:04:59.680,-0.25
13:04:59.883,-0.25
13:05:00.097,-0.25
13:05:00.299,-0.25
13:05:00.506,-0.25
13:05:00.708,-0.25
13:05:00.928,-0.25
13:05:01.133,-0.25
13:05:01.338,-0.25
13:05:01.541,-0.429
13:05:01.745,-0.429
13:05:01.953,-0.429
13:05:02.163,-0.429
13:05:02.370,-0.429
13:05:02.573,-0.429
13:05:02.788,-0.429
13:05:02.993,-0.429
13:05:03.198,-0.429
13:05:03.405,-0.429
13:05:03.612,-0.429
13:05:03.820,-0.429
13:05:04.024,-0.429
13:05:04.227,-0.429
13:05:04.432,-0.429
13:05:04.636,-0.667
13:05:04.844,-0.667
13:05:05.050,-0.667
13:05:05.253,-0.667
13:05:05.456,-0.667
13:05:05.663,-0.667
13:05:05.868,-0.667
13:05:06.072,-0.667
13:05:06.277,-0.667
13:05:06.482,-0.667
13:05:06.696,-0.667
13:05:06.901,-0.667
13:05:07.117,-0.667
13:05:07.319,-0.667
13:05:07.524,-0.667
13:05:07.730,-0.667
13:05:07.941,-0.667
13:05:08.176,-0.667
13:05:08.388,-0.667
13:05:08.620,-0.667
13:05:08.837,-1.0
13:05:09.041,-1.0
13:05:09.244,-1.0
13:05:09.454,-1.0
13:05:09.687,-1.0
13:05:09.896,-1.0
13:05:10.133,-1.0
13:05:10.359,-1.0
13:05:10.571,-1.0
13:05:10.775,-1.0
13:05:10.989,-1.0
13:05:11.192,-1.0
13:05:13.257,-1.0
13:05:13.465,-1.0
13:05:13.671,-1.0
13:05:13.878,-1.0
13:05:14.081,-1.0
13:05:14.283,-1.0
13:05:14.490,-1.0
13:05:14.693,-1.5
13:05:14.896,-1.5
13:05:15.101,-1.5
13:05:15.314,-2.333
13:05:15.519,-2.333
13:05:15.723,-2.333
13:05:15.927,-2.333
13:05:16.135,-2.333
13:05:16.345,-2.333
13:05:16.548,-2.333
13:05:16.759,-2.333
13:05:16.961,-2.333
13:05:17.169,-2.333
13:05:17.372,-2.333
13:05:17.575,-2.333
13:05:17.778,-2.333
13:05:17.993,-2.333
13:05:18.196,-2.333
13:05:18.405,-2.333
13:05:18.609,-2.333
13:05:18.817,-2.333
13:05:19.022,-2.333
13:05:19.224,-2.333
13:05:19.430,-2.333
13:05:19.633,-2.333
13:05:19.838,-2.333
13:05:20.043,-4.0
13:05:20.248,-4.0
13:05:20.451,-4.0
13:05:20.661,-4.0
13:05:20.863,-4.0
13:05:21.065,-4.0
13:05:21.272,-4.0
13:05:21.477,-4.0
13:05:21.681,-4.0
13:05:21.887,-4.0
13:05:22.090,-4.0
13:05:22.294,-4.0
13:05:22.497,-4.0
13:05:22.702,-4.0
13:05:22.904,-9.0
13:05:23.109,-9.0
13:05:23.312,-9.0
13:05:23.515,-9.0
13:05:23.717,-9.0
13:05:23.921,-9.0
13:05:24.125,-9.0
13:05:24.329,-9.0
13:05:24.533,-9.0
13:05:24.739,-9.0
13:05:24.944,-9.0
13:05:25.148,-9.0
13:05:25.353,-1.0
13:05:25.555,-1.0
13:05:25.763,-1.0
13:05:25.965,-1.0
13:05:26.170,-1.0
13:05:26.377,-1.0
13:05:26.580,-1.0
13:05:26.785,-1.0
13:05:26.991,-1.0
13:05:27.200,-1.0
13:05:27.404,-1.0
13:05:27.612,-1.0
13:05:27.817,-1.0
13:05:28.019,-1.0
13:05:28.225,-1.0
13:05:28.429,-1.0
13:05:28.633,-1.0
13:05:28.844,-1.0
13:05:29.046,-1.0
13:05:29.249,-1.0
13:05:29.451,-1.0
13:05:29.653,-1.0
13:05:29.861,-1.0
13:05:30.068,-1.0
13:05:30.272,-1.0
13:05:30.481,-1.0
