time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,MODE
00:46:39,1500.0,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.0006822542054578662,0.0011871602619066834,0.02494535781443119,0.0002101316349580884,0.00019451681873761117,0.002109220717102289,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,STABILIZE
00:46:41,1500.0,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.001050082966685295,0.0009876997210085392,0.024216948077082634,0.000170474115293473,0.0003272965259384364,0.0018831302877515554,-35.3632621,149.1652375,0.0,-1.0,0.0,0.0,STABILIZE
00:46:51,1500.0,0.0,1.5,-1000.0,0.0,0.5,0.0,-0.0005442876426968724,0.0009870915673673153,0.02117929607629776,0.00018871415522880852,0.00027200847398489714,0.001393808051943779,-35.36326215,149.1652375,9.0,-1.0,1.0,0.0,AUTO
00:46:53,37169.0,0.0,1.0,-1000.0,0.5,0.0,0.0,-0.000247917982051149,0.0014061908004805446,0.020637457258999348,0.0002841226232703775,0.0003150251868646592,0.001393961487337947,-35.3632621,149.1652375,7.5,0.0,0.0,0.0,AUTO
00:46:55,72838.0,0.0,0.0,-1113.0,-4.5,3.0,1.0,0.0023510081227868795,0.0008815970504656434,0.02018093504011631,-0.0059095502365380526,0.0029342202469706535,0.0017479108064435422,-35.3632621,149.1652375,379.5,0.0,0.0,-95.5,AUTO
00:46:57,72838.0,2.0,-10.5,-991.5,-120.5,67.5,-88.5,0.04239494074136019,0.008179594296962023,-0.02739153290167451,-0.12127602100372314,0.06771166622638702,-0.08862370997667313,-35.3632614,149.16524085,3236.5,9.0,51.0,-145.0,AUTO
00:46:58,6837.0,4.5,-8.25,-1005.25,-66.0,-20.0,-44.25,-0.03460593684576452,0.017507651122286916,-0.07597878761589527,-0.06707240827381611,-0.020887999184196815,-0.04456626911996864,-35.363260975,149.16524465,4371.5,-0.25,36.5,-147.0,AUTO
00:46:59,6837.0,-3.0,6.0,-1001.0,57.0,2.0,-2.0,-0.054372550919651985,-0.010438142344355583,-0.08777891471982002,0.056843291968107224,0.0015236609033308923,-0.001793229894246906,-35.36326115,149.16524495,6283.5,-1.5,-40.0,-148.0,AUTO
00:47:01,6837.0,-2.0,5.0,-996.5,3.5,2.5,-0.5,0.06303131952881813,0.009506615810096264,-0.08527369797229767,0.002805100753903389,0.0014806082472205162,-6.926222704350948e-05,-35.36326175,149.1652345,9392.0,-6.5,-10.5,-151.5,AUTO
00:47:03,78087.5,0.0,-0.5,-1000.5,7.5,5.0,-24.5,-0.010771563742309809,-0.004225671640597284,-0.10461751744151115,0.007686129305511713,0.004770735977217555,-0.024511528201401234,-35.3632625,149.1652363,12479.0,1.5,3.0,-151.0,AUTO
00:47:05,149338.0,-1.0,0.0,-999.5,3.0,3.0,-16.0,0.008851577993482351,0.006171748507767916,-0.14857516437768936,0.003002044977620244,0.0027428920147940516,-0.015968430321663618,-35.36326175,149.16523554999998,15594.5,0.5,-0.5,-152.0,AUTO
00:47:07,149338.0,0.0,0.0,-1000.0,-1.0,0.0,-16.0,0.004835112253203988,0.00463420944288373,-0.17825869470834732,-0.0020297054143156856,-0.0008340546337421983,-0.016049235127866268,-35.3632616,149.16523575000002,18709.5,-3.0,6.0,-152.0,AUTO
00:47:08,104208.0,0.0,-0.25,-1000.0,-0.25,0.25,-18.75,0.003038256079889834,0.0037351929931901395,-0.1913837119936943,-0.0009757918014656752,-0.00020184814638923854,-0.018902712501585484,-35.363261650000005,149.16523605,19878.0,-3.0,5.5,-152.0,AUTO
00:47:09,104208.0,0.0,0.0,-1000.0,0.0,1.0,-21.0,0.001974696817342192,0.0035424852976575494,-0.21626175940036774,-0.0005035677459090948,0.0005232879484537989,-0.02088153176009655,-35.3632617,149.16523645,21829.5,-3.0,4.0,-152.0,AUTO
00:47:11,104208.0,0.0,0.0,-996.5,-37.5,4.5,-13.0,-0.002652072347700596,0.002886446309275925,-0.2546461224555969,-0.03929109452292323,0.00395476957783103,-0.013296118471771479,-35.3632619,149.1652367,24945.0,-2.0,2.0,-151.5,AUTO
00:47:13,57170.5,0.5,0.0,-999.5,-5.0,2.0,23.5,0.008867253083735704,0.0011999242124147713,-0.22059737890958786,-0.006274522515013814,0.0015571844996884465,0.024394395761191845,-35.3632624,149.16523675000002,28052.5,-2.0,6.5,-152.0,AUTO
00:47:15,10133.0,0.0,0.0,-1000.0,-0.5,0.5,16.0,-0.0007656120578758419,0.0014514981885440648,-0.1808791384100914,-0.0013363896869122982,-5.285692168399692e-06,0.0168019225820899,-35.3632624,149.16523795,31154.0,0.0,4.5,-152.0,AUTO
00:47:17,10133.0,0.0,0.0,-1000.0,2.0,1.0,14.0,0.0018793435883708298,0.0013272503856569529,-0.15091093629598618,0.0014637992135249078,0.0005113847146276385,0.01450837031006813,-35.3632623,149.165238,34268.5,0.0,0.0,-152.0,AUTO
00:47:18,177247.0,0.0,0.0,-999.75,1.25,1.0,12.0,0.0018781187827698886,0.000969441287452355,-0.1419203132390976,0.00020120543194934726,0.0005612694512819871,0.012693038443103433,-35.36326222500001,149.16523792499999,35433.5,0.0,0.0,-152.0,AUTO
00:47:19,177247.0,0.0,0.0,-1000.5,1.5,1.5,8.5,0.002546328236348927,0.0013393929693847895,-0.12872809916734695,0.0005076953675597906,0.0006498171715065837,0.00888239685446024,-35.3632622,149.16523775000002,37375.5,0.0,0.0,-152.0,AUTO
00:47:21,177247.0,0.0,0.0,-1001.0,2.0,0.0,7.0,0.002811982878483832,0.001469019625801593,-0.11220760270953178,0.0012496364070102572,-0.001043418946210295,0.007055273512378335,-35.3632621,149.16523745,40481.5,-0.5,0.0,-152.0,AUTO
00:47:23,153417.0,0.0,-0.5,-985.5,-47.0,49.5,115.5,-0.004189481376670301,0.008286091033369303,-0.0843077264726162,-0.04795506794471294,0.04880527296336368,0.1156535109039396,-35.363262,149.1652373,43741.0,-1.5,0.5,-149.5,AUTO
00:47:25,129587.0,-0.5,4.5,-968.5,75.0,24.0,-28.0,0.04074593633413315,-0.05149463005363941,0.2789901793003082,0.07414351776242256,0.023310295771807432,-0.02844136580824852,-35.3632648,149.1652325,45970.5,1.0,-6.0,-66.0,AUTO
00:47:27,129587.0,-1.0,-16.0,-965.5,-427.0,12.5,-19.5,-0.009823907166719437,0.013976869639009237,0.21570900827646255,-0.4292205423116684,0.012118787970393896,-0.020474659278988838,-35.3632619,149.16523675000002,46789.5,15.0,27.0,-18.0,AUTO
00:47:28,122609.0,0.5,6.5,-978.75,447.25,-27.0,-51.75,-0.014363187743583694,0.023208928294479847,0.19631825387477875,0.44693699199706316,-0.02843497131834738,-0.05226422939449549,-35.363261225,149.16523850000002,46824.25,4.25,11.75,5.5,AUTO
00:47:29,122609.0,-2.5,-31.0,-1002.5,-697.0,-53.5,-14.0,-0.03883662261068821,-0.059535637497901917,0.17424245923757553,-0.6983922719955444,-0.05544617958366871,-0.015294207260012627,-35.363260999999994,149.16523865,46641.0,23.0,-21.5,11.5,AUTO
00:47:31,122609.0,-42.5,-51.0,-1004.5,-745.5,-54.0,15.5,-0.017598025500774384,-0.1656820848584175,-0.08480679243803024,-0.7464721202850342,-0.055227819830179214,0.015883135376498103,-35.3632445,149.16523339999998,46128.5,191.5,-64.5,44.0,AUTO
00:47:33,168944.0,-85.5,-80.0,-984.5,-123.5,12.5,55.0,0.07459816336631775,-0.13666601479053497,-0.11321499571204185,-0.12318866699934006,0.011398324277251959,0.05506742559373379,-35.363193100000004,149.1652154,44703.5,371.0,-92.0,89.5,AUTO
00:47:35,215279.0,-86.5,-23.0,-997.5,16.5,18.0,-84.0,0.05628053657710552,-0.0888359323143959,-0.12422630563378334,0.013732969760894775,0.018152127042412758,-0.08500861376523972,-35.363121500000005,149.1651948,42685.0,416.0,-84.5,103.0,AUTO
00:47:37,215279.0,-84.0,-2.5,-972.0,565.0,-4.5,-49.5,0.06466040015220642,-0.09752872213721275,-0.13823271542787552,0.5623933859169483,-0.005879735457710922,-0.05030169989913702,-35.363047800000004,149.16517445,40618.0,420.5,-81.5,103.0,AUTO
00:47:38,41181.0,-89.5,-2.75,-989.5,496.25,-6.0,-83.5,0.06441285461187363,-0.09312212839722633,-0.13889764994382858,0.49400189332664013,-0.006892095028888434,-0.08446515537798405,-35.3630196,149.165166625,39858.5,423.0,-83.25,97.75,AUTO
00:47:39,41181.0,-92.5,-43.0,-981.5,743.0,6.5,-15.0,0.11256574466824532,-0.09128404408693314,-0.14556561410427094,0.7427002787590027,0.0063562021241523325,-0.01597458217293024,-35.36297285,149.16515164999998,38595.0,423.0,-79.5,101.0,AUTO
00:47:41,41181.0,-80.5,-75.5,-974.0,-807.0,8.0,-25.0,0.07508288323879242,-0.0777743048965931,-0.15849299728870392,-0.8108691573143005,0.00811285653617233,-0.02539966721087694,-35.36289805,149.16512914999998,36546.5,423.5,-57.5,101.0,AUTO
00:47:43,23011.0,-70.0,-9.0,-1053.5,533.5,47.0,-51.5,0.05639415606856346,0.001574118621647358,-0.16648219525814056,0.5296912640333176,0.04697887413203716,-0.052543872967362404,-35.3628252,149.165112,34578.5,365.0,-58.0,91.0,AUTO
00:47:45,4841.0,-35.5,18.0,-1035.0,1003.5,27.5,-6.0,0.0293118879199028,0.07553280517458916,-0.1760150045156479,1.001059651374817,0.02732750214636326,-0.007436175597831607,-35.36277415,149.1651018,33151.0,186.0,-43.0,45.0,AUTO
00:47:47,4841.0,-10.5,-20.0,-1008.5,-612.5,-19.0,-2.5,0.013624712359160185,0.023916318081319332,-0.17839272320270538,-0.6154879629611969,-0.019795186817646027,-0.0030551059171557426,-35.36275785,149.16509545,32666.0,40.5,-10.5,4.5,AUTO
00:47:48,93257.0,-7.0,19.0,-1012.75,358.5,-9.25,-3.0,0.0307097090408206,0.015376626281067729,-0.18188531696796417,0.35562340542674065,-0.009897513780742884,-0.003937394241802394,-35.3627566,149.16509372500002,32663.0,21.0,1.25,-2.25,AUTO
00:47:49,93257.0,-2.5,-0.5,-991.5,-242.0,-9.0,8.0,0.015345454216003418,-0.0022023606579750776,-0.18877381086349487,-0.24587728269398212,-0.008949412032961845,0.007360656745731831,-35.36275595,149.1650919,32711.0,10.5,16.5,-3.5,AUTO
00:47:51,93257.0,1.5,4.0,-1049.0,213.0,-3.0,7.0,0.012348283547908068,0.011285880580544472,-0.19289611279964447,0.21028664335608482,-0.003869343549013138,0.006454136222600937,-35.36275475,149.1650918,32942.0,3.5,20.5,-39.0,RTL
00:47:53,93257.0,1.0,-1.5,-1042.0,12.5,-2.5,-0.5,-0.0033587514190003276,0.004204459255561233,-0.19657424837350845,0.009589396766386926,-0.0031603852985426784,-0.002155802969355136,-35.3627545,149.1650937,34728.0,-1.0,6.0,-133.0,RTL
00:47:54,224549.0,1.0,-2.25,-1007.0,44.0,-8.75,2.25,0.02225460938643664,-0.0019001795299118385,-0.19682058319449425,0.041060066781938076,-0.009747589007019997,0.0015141396725084633,-35.362754425,149.16509425,35829.25,1.75,10.0,-147.75,RTL
00:47:55,224549.0,3.5,-11.5,-998.5,-128.0,78.0,-118.0,0.01214373647235334,0.02817352768033743,-0.24141108989715576,-0.131669282913208,0.07791494391858578,-0.11943221464753151,-35.3627527,149.1650981,37733.5,18.5,42.5,-146.0,RTL
00:47:57,224549.0,-3.5,10.0,-1001.5,63.0,3.5,-1.0,-0.032352082431316376,0.0044952083844691515,-0.29889853298664093,0.06043708324432373,0.0034775350941345096,-0.0020180254941806197,-35.362752900000004,149.1650986,40797.0,-27.0,-53.0,-149.5,RTL
00:47:59,114225.5,-2.5,0.5,-999.0,-33.5,49.5,-10.0,0.011730652069672942,-0.027353519573807716,-0.24448471516370773,-0.03769460879266262,0.04953546263277531,-0.011307588778436184,-35.362756149999996,149.1650924,43909.0,2.5,-12.0,-150.0,RTL
00:48:01,3902.0,-1.5,-0.5,-1000.0,8.5,0.0,-12.0,0.001092306338250637,0.023042715154588223,-0.3166375756263733,0.006056205835193396,-0.000750665320083499,-0.01404594723135233,-35.36275325,149.1650908,47025.5,-4.5,-8.0,-152.0,RTL
00:48:03,3902.0,2.0,0.0,-1000.0,-4.5,-3.0,-14.0,-0.006203599041327834,0.008523086085915565,-0.3414132297039032,-0.008029084419831634,-0.004424827639013529,-0.01560777984559536,-35.36275345,149.16509185,50141.5,-14.0,1.5,-152.0,RTL
00:48:04,139027.0,1.25,0.0,-1000.5,3.0,-0.75,-19.5,-0.007191162672825158,0.005463973386213183,-0.35734549909830093,0.0001694480306468904,-0.001903206342831254,-0.021344774402678013,-35.362753725000005,149.1650924,51309.5,-12.5,-0.5,-152.0,RTL
00:48:05,139027.0,0.0,0.0,-1000.0,4.5,2.0,-21.5,-0.003273343318141997,0.004047055961564183,-0.3869522362947464,0.002228854224085808,0.0017987770261242986,-0.023226545192301273,-35.3627541,149.16509285,53258.5,-9.0,-3.0,-152.0,RTL
