time_stamp,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,EK2_ALT_SOURCE
13:05:02,1500.0,AUTO,-0.0007570478192064911,0.0014261776814237237,0.02102454099804163,0.00024727359414100647,0.0002954672381747514,0.0014673811965622008,0.0,1.0,-1000.0,0.0,1.0,0.5,583940.0,-35.3632621,149.16523745,0.0,0.0,0.0,0.0,583.9400024414062,0.0
13:05:04,1500.0,AUTO,0.001670038909651339,0.00109723093919456,0.020637592300772667,-0.003155314945615828,0.0028026787331327796,0.0015042496961541474,0.0,0.0,-1110.0,-2.5,3.0,0.5,584335.0,-35.3632621,149.1652375,395.0,0.0,0.0,-95.5,584.3349609375,0.0
13:05:06,1500.0,AUTO,0.04505137354135513,0.006359661463648081,-0.024374959990382195,-0.11344634741544724,0.06657694280147552,-0.08617960661649704,2.5,-10.5,-991.0,-112.5,67.0,-86.0,587225.0,-35.363261449999996,149.16524070000003,3289.5,9.0,50.0,-146.0,587.2249755859375,0.0
13:05:08,1500.0,AUTO,-0.06281525641679764,-0.010824107564985752,-0.0921911746263504,0.05144915543496609,0.00020033179316669703,-0.002943041967228055,-2.5,4.5,-1002.0,51.5,1.0,-2.5,590305.0,-35.3632611,149.1652455,6367.5,-1.5,-34.5,-150.0,590.3049926757812,0.0
13:05:12,1500.0,AUTO,-0.018458235077559948,-0.004490841878578067,-0.10815533250570297,0.003782407147809863,0.0030661943601444364,-0.026919092051684856,0.5,-1.5,-1001.5,4.5,3.0,-26.5,596535.0,-35.3632624,149.1652368,12595.0,2.0,8.0,-152.5,596.5349731445312,0.0
13:05:14,1500.0,AUTO,0.009327332489192486,0.006476808339357376,-0.15494532138109207,0.005395702552050352,0.001701033441349864,-0.012569002341479063,-1.0,0.5,-1000.0,5.5,2.0,-12.5,599670.0,-35.3632617,149.1652358,15734.0,0.5,-3.5,-154.0,599.6699829101562,0.0
13:05:18,1500.0,AUTO,0.002155499067157507,0.00300296803470701,-0.21932081878185272,0.0008469136810163036,0.00027383497217670083,-0.02179353404790163,0.0,0.0,-1000.0,1.0,0.5,-21.5,605925.0,-35.36326175,149.16523635,21993.0,-2.0,4.0,-154.0,605.9249877929688,0.0
13:05:20,1500.0,AUTO,-0.001968499389477074,0.0033002616837620735,-0.25762444734573364,-0.033834950998425484,0.007327825762331486,-0.0070888577029109,0.0,0.0,-997.0,-33.0,8.0,-7.5,609065.0,-35.3632619,149.1652367,25127.5,-2.0,2.0,-153.5,609.0650024414062,0.0
13:05:24,1500.0,AUTO,-0.0007929854036774486,0.0015591508126817644,-0.17724750190973282,-9.39839519560337e-05,-0.0005125149036757648,0.017266778275370598,0.0,-0.5,-1000.5,1.0,0.0,17.0,615305.0,-35.3632624,149.16523784999998,31368.0,0.0,4.5,-154.0,615.3049926757812,0.0
13:05:26,1500.0,AUTO,0.0012576039880514145,0.0012780820252373815,-0.14869393408298492,-0.0018100917804986238,1.5794066712260246e-06,0.013104247860610485,0.0,0.0,-999.5,-1.0,0.5,13.0,618425.0,-35.3632623,149.165238,34485.5,0.0,0.0,-154.0,618.4249877929688,0.0
13:05:28,1500.0,AUTO,0.00239571591373533,0.001455191581044346,-0.1271297186613083,0.001408671698300168,0.0004909536219201982,0.009943428914994001,0.0,0.0,-1000.0,2.0,1.0,9.0,621555.0,-35.3632622,149.1652377,37616.5,0.0,0.0,-154.0,621.5549926757812,0.0
13:05:30,1500.0,AUTO,0.002033684402704239,0.0015784569550305605,-0.11128353327512741,0.0013548266288125888,-6.399786798283458e-05,0.00744476355612278,0.0,0.0,-1000.5,1.5,0.5,7.0,624665.0,-35.3632621,149.1652375,40729.0,-1.0,0.0,-153.0,624.6649780273438,0.0
13:05:32,1500.0,AUTO,0.002086096559651196,0.001399432949256152,-0.09823890775442123,0.00044222839642316103,-0.0007920952048152685,0.0072260654997080564,0.0,0.0,-1000.0,1.5,0.5,7.0,627785.0,-35.363262,149.16523734999998,43847.0,-1.0,0.5,-153.0,627.7849731445312,0.0
13:05:34,1500.0,AUTO,-0.00019112089648842812,0.002706435916479677,-0.08325657248497009,-0.027525397832505405,0.026062905846629292,0.059181455289945006,0.0,0.0,-988.0,-26.5,26.5,59.0,630905.0,-35.363262,149.1652373,46973.5,-1.0,0.5,-152.0,630.9049682617188,0.0
