time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
19:14:50,-0.00044948874953358126,0.0015591169940307736,0.027826199308037758,0.0002804841982045521,0.0002472520185013612,0.0023078851712246737,STABILIZE,0.0,1.0,-1000.0,0.3333333333333333,0.0,0.0,-35.3632621,149.1652374,0.0,-1.0,1.0,0.0,1500.0
19:15:08,-0.0007776470156386495,0.0009942879745115836,0.023368165517846744,0.00029482884565368295,0.0002766451798379421,0.0016384385526180267,AUTO,0.0,1.0,-1000.0,0.6666666666666666,0.0,0.3333333333333333,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,1500.0
19:15:26,0.011489191092550755,0.0028932683635503054,-0.23837588727474213,-0.003511808579787612,-0.004130271729081869,0.026107056066393852,AUTO,0.0,0.0,-999.0,-2.0,-3.0,25.0,-35.3632623,149.1652366,27335.0,-4.0,3.0,-153.0,1500.0
19:15:28,0.00016308181511703879,0.0019271353958174586,-0.19586190581321716,0.000906393164768815,-0.0017388717969879508,0.01876252330839634,AUTO,0.0,0.0,-1001.0,1.0,0.0,18.0,-35.3632623,149.1652377,30446.0,0.0,7.0,-152.0,1500.0
19:15:30,0.0011515476508066058,0.0010044004302471876,-0.16486619412899017,0.0008738968172110617,-0.0009581941994838417,0.013840926811099052,AUTO,0.0,0.0,-1000.0,2.0,0.0,13.0,-35.3632623,149.165238,33567.0,0.0,0.0,-153.0,1500.0
19:15:35,0.0017445151461288333,0.0008471319917589426,-0.14930770993232728,0.00016650707693770527,-2.0524486899375916e-05,0.01217285804450512,AUTO,0.0,0.0,-1000.2,0.8,0.4,11.6,-35.363262260000006,149.16523793999997,35512.6,0.0,0.0,-153.0,1500.0
19:15:37,0.002657828220565404,0.0011347108021644609,-0.13025314467293875,0.0009298742515966296,3.483435804290431e-05,0.008805326984397002,AUTO,0.0,0.0,-1000.2857142857143,1.7142857142857142,0.5714285714285714,8.428571428571429,-35.36326218571429,149.16523765714285,38555.71428571428,0.0,0.0,-153.0,1500.0
19:15:39,0.002211873341972629,0.001774823060259223,-0.11404264221588771,-0.0003341424065486838,-5.53111118885378e-05,0.0083338578697294,AUTO,0.0,0.0,-999.6666666666666,0.5,0.8333333333333334,7.833333333333333,-35.363262049999996,149.16523746666667,41944.666666666664,-0.5,0.6666666666666666,-153.0,1500.0
19:15:41,0.002122829272411764,0.0013118542730808258,-0.1017754077911377,3.230537986382842e-05,0.0002600687788799405,0.006266711186617613,AUTO,0.0,0.0,-999.6,1.2,1.2,6.0,-35.363262,149.1652374,45022.2,-1.0,1.0,-153.0,1500.0
19:15:43,-0.028096788950885337,0.023718330640501033,0.10730811767280102,-0.009690048483510813,-0.035994586845239006,0.26174417076011497,AUTO,2.0,4.166666666666667,-960.3333333333334,-8.666666666666666,-35.0,261.5,-35.36326258333333,149.16523653333334,47922.5,-16.833333333333332,-17.333333333333332,-127.66666666666667,1500.0
19:15:45,0.03795179910957813,-0.03960345918312669,0.2811898961663246,0.030320727615617216,0.036500887013971806,-0.03136457595974207,AUTO,-1.5,0.5,-973.5,31.75,37.25,-30.5,-35.3632646,149.1652326,49530.75,9.5,6.75,-54.75,1500.0
19:15:47,-0.011142591596581042,0.024799549486488104,0.20529581606388092,-0.5798073783516884,0.04594333324348554,-0.001850674394518137,AUTO,-0.5,-38.5,-939.0,-582.5,46.5,-1.5,-35.3632612,149.16523790000002,50176.0,7.0,18.0,1.0,1500.0
19:15:48,-0.001623276504687965,-0.03671963792294264,0.18512139841914177,0.33129030279815197,-0.04704638570547104,-0.018727629212662578,AUTO,-3.25,15.25,-1013.5,332.5,-45.5,-17.75,-35.36326085,149.165237525,50024.75,8.25,-3.25,6.0,1500.0
19:15:50,0.021026301197707653,-0.1251681757469972,0.059547798708081245,0.14732801417509714,-0.020857842134622235,-0.025257211333761614,AUTO,-29.166666666666668,-3.6666666666666665,-1007.5,148.83333333333334,-19.5,-24.666666666666668,-35.36325073333333,149.16523375,49950.833333333336,130.83333333333334,-3.5,-1.1666666666666667,1500.0
19:15:52,0.020959429442882538,-0.16136092568437257,0.03992930427193642,-0.023499360928932827,-0.019244052469730377,-0.01039557073575755,AUTO,-60.666666666666664,-35.0,-999.3333333333334,-22.0,-18.333333333333332,-9.333333333333334,-35.36321091666667,149.16522923333335,49944.333333333336,311.6666666666667,-12.0,0.0,1500.0
19:15:54,0.024165856031080086,-0.17979596679409346,0.02425994041065375,0.024746589362621307,-0.07546600699424744,-0.010107826751967272,AUTO,-93.5,-38.333333333333336,-986.6666666666666,26.166666666666668,-74.33333333333333,-9.166666666666666,-35.36314588333334,149.16522403333332,49949.833333333336,445.5,-37.833333333333336,2.5,1500.0
19:15:56,0.04781425309677919,-0.1055622985586524,0.00590763620857615,-0.08128430756429832,-0.13788668687144914,0.00027574347526145476,AUTO,-107.5,-49.5,-960.6666666666666,-79.83333333333333,-136.83333333333334,0.8333333333333334,-35.36305518333333,149.16521458333332,50034.333333333336,512.5,-51.833333333333336,-5.666666666666667,1500.0
19:15:58,0.06235063914209604,-0.03799747644613186,0.005954382048609356,0.030470261389079194,0.2528516414264838,-0.008458016052221259,AUTO,-128.16666666666666,-59.5,-1031.5,31.666666666666668,253.5,-7.333333333333333,-35.36295345,149.16520326666665,49964.666666666664,594.8333333333334,-61.0,-24.833333333333332,1500.0
