time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro
14:23:46,1500.0,-0.000701216806191951,0.001057322253473103,0.0250762440264225,0.00013656506780534983,0.00026905580307357013,0.0021200452465564013,-35.36326215,149.1652375,0.0,-1.0,0.5,-0.5,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.0
14:23:59,255737.0,-0.0007807182264514267,0.0010027863706151645,0.020953018218278885,0.0002776459053469201,0.00019627124614392719,0.001423765633565684,-35.3632622,149.1652375,1.5,-1.0,0.5,-1.0,AUTO,0.0,1.6666666666666667,-1000.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
14:24:00,255737.0,-0.0007611348410136998,0.0009970369283109903,0.02083532325923443,0.00021462328732013702,0.00012950447853654623,0.0013735592365264893,-35.3632622,149.1652375,6.0,-1.0,1.0,0.0,AUTO,0.0,1.0,-1000.0,1.0,0.0,0.0
14:24:02,269278.0,-0.00015491889977662746,0.0014203614555299282,0.02030915083984534,0.00036800615877533954,0.0002591136144474149,0.00135217832090954,-35.3632621,149.1652375,25.0,0.0,0.3333333333333333,-1.6666666666666667,AUTO,0.0,1.3333333333333333,-1000.0,0.3333333333333333,0.3333333333333333,0.0
14:24:04,282819.0,0.0018299006624147296,0.00029573551728390157,0.019788453355431557,-0.004366392735391855,0.0034628959838300943,0.001908391248434782,-35.3632621,149.1652375,239.0,0.0,1.0,-77.0,AUTO,0.0,0.0,-1129.0,-3.0,4.0,1.0
14:24:05,156101.0,0.03570177173241973,-0.003302551369415596,0.01994605828076601,0.04444517567753792,-0.008221033494919538,0.002934509248007089,-35.363262,149.165237775,1802.5,1.75,14.0,-146.5,AUTO,0.25,-1.25,-1010.0,44.75,-7.0,2.0
14:24:06,156101.0,0.05820239335298538,-0.003883637604303658,-0.012613493017852306,-0.025790246203541756,0.044782239478081465,-0.05412474391050637,-35.3632616,149.1652398,2951.0,8.5,45.0,-147.0,AUTO,1.0,-7.5,-995.0,-25.5,45.5,-54.5
14:24:08,161408.5,-0.066993722692132,-0.00016631117614451796,-0.0964185893535614,0.051786016672849655,-0.002143175690434873,-0.017147245351225138,-35.3632608,149.16524564999997,5989.0,-2.0,-30.0,-148.0,AUTO,-2.0,3.5,-1001.5,52.0,-1.5,-17.0
14:24:10,166716.0,0.05980943329632282,0.012256449088454247,-0.10099463164806366,0.06192508526146412,-0.0019086900283582509,0.004401639453135431,-35.3632627,149.16523475,9086.5,-19.5,-22.5,-152.0,AUTO,-0.5,8.0,-1002.0,62.0,-1.5,3.5
14:24:11,81568.0,-0.0012385579757392406,-0.03159302822314203,-0.05985707510262728,-0.07358377985656261,0.04389266576617956,-0.0364754656329751,-35.36326345,149.16523585000002,11015.25,14.5,23.0,-147.75,AUTO,0.75,-5.75,-1001.75,-72.0,44.25,-36.5
14:24:12,81568.0,-0.025862841866910458,0.0036355676129460335,-0.1092812791466713,0.006676081335172057,0.030728189274668694,-0.06649314612150192,-35.36326205,149.16523705,12166.5,23.0,3.5,-150.0,AUTO,-3.5,-4.5,-1003.0,7.5,31.0,-66.0
14:24:14,53965.0,0.0150105026550591,0.01404418470337987,-0.16279948502779007,-0.00011606724001467228,-0.011222655419260263,0.002524753101170063,-35.363260499999996,149.16523515,15283.0,-8.0,-1.5,-151.0,AUTO,0.0,1.0,-999.0,0.5,-10.5,1.5
14:24:16,26362.0,0.0006133412316557951,-0.0008766697719693184,-0.17848268896341324,-0.0031296026427298784,0.000379787728888914,-0.02103173639625311,-35.36326185,149.165236,18390.0,-6.0,7.5,-151.0,AUTO,1.5,0.0,-1000.0,-1.5,0.5,-21.0
14:24:17,114249.0,-0.04181875614449382,0.02818710496649146,-0.06648225616663694,0.0396775365807116,-0.01570996269583702,0.263663774356246,-35.363262524999996,149.165235125,20279.5,-18.5,-25.5,-135.5,AUTO,0.0,5.5,-966.25,40.5,-14.75,262.5
14:24:18,114249.0,0.03463374078273773,-0.02961737383157015,0.07193715125322342,0.09845416620373726,-0.07978169247508049,-0.012193617410957813,-35.3632642,149.16523235,21229.5,-26.5,-29.5,-104.0,AUTO,0.5,9.5,-957.0,98.5,-78.0,-12.0
14:24:20,126529.0,0.009122349321842194,0.004557122883852571,0.04154072143137455,-0.029825586825609207,0.022751593962311745,0.0022541997022926807,-35.36326345,149.16523515,22683.0,19.5,39.5,-44.0,AUTO,0.5,-10.0,-978.0,-28.5,23.5,1.5
14:24:22,138809.0,-0.040719082579016685,0.022939398884773254,0.03459836170077324,0.0961553743109107,-0.030486373230814934,-0.003646776167443022,-35.3632612,149.16524005000002,23068.5,-2.0,-1.0,15.5,AUTO,0.0,-9.0,-954.5,96.0,-29.5,-3.5
14:24:23,158511.0,-0.03417726047337055,-0.033121715765446424,0.030852720607072115,0.10739141702651978,-0.02642697189003229,-0.006502759293653071,-35.3632611,149.16523654999997,22855.5,9.25,-43.25,7.25,AUTO,-8.25,10.25,-1014.5,108.5,-24.75,-6.25
