time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE
21:45:16,1500.0,-35.3632622,149.1652375,5.5,-1.0,0.0,-1.5,0.0,1.0,-1000.0,1.0,0.0,0.5,-0.00037691608304157853,0.0009550381219014525,0.021402684040367603,0.00014263630146160722,0.00014142933650873601,0.0015799426473677158,AUTO
21:45:20,1500.0,-35.3632621,149.16523745,114.0,0.0,0.5,-51.0,0.0,-0.5,-1137.5,-4.5,1.0,1.5,0.0053003281354904175,-0.00034770849015330896,0.020378935150802135,-0.005377769470214844,0.0007714258972555399,0.002463119220919907,AUTO
21:45:22,1500.0,-35.363261699999995,149.1652393,2675.5,6.5,37.0,-147.5,1.0,-5.5,-996.0,17.5,2.5,-17.5,0.0581840593367815,-0.008420199854299426,0.00634792260825634,0.01693478529341519,0.00210037874057889,-0.01735822018235922,AUTO
21:45:24,1500.0,-35.3632607,149.16524615,5711.0,-1.0,-18.5,-147.0,-1.0,2.0,-1004.0,31.5,-1.5,-27.5,-0.07588561624288559,0.004018104984425008,-0.09506634622812271,0.0315091242082417,-0.002352436422370374,-0.027728453278541565,AUTO
21:45:26,1500.0,-35.36326285,149.1652352,8794.5,-24.0,-33.0,-150.5,-2.5,12.0,-1002.5,65.5,0.5,3.0,0.049316151067614555,0.01395746460184455,-0.10612849146127701,0.06537039950489998,1.9456958398222923e-05,0.003608121653087437,AUTO
21:45:28,1500.0,-35.3632626,149.1652371,11875.5,37.0,14.0,-147.5,-4.0,-7.5,-1006.5,-24.5,65.0,-95.5,-0.029009299352765083,-0.004736105329357088,-0.08551368862390518,-0.025484103709459305,0.06478191912174225,-0.09574628248810768,AUTO
21:45:30,1500.0,-35.3632596,149.16523525,14999.5,-10.0,-6.5,-150.0,-0.5,2.0,-998.0,8.0,-13.0,5.5,0.016867756843566895,0.021966278553009033,-0.17051056027412415,0.00812363950535655,-0.01427905960008502,0.006305540795437992,AUTO
21:45:32,1500.0,-35.363261800000004,149.16523595,18114.5,-10.0,8.5,-150.0,2.5,0.0,-1001.0,-2.0,-0.5,-19.0,0.0004371550530777313,-0.003108978387899697,-0.1704375445842743,-0.0032220673747360706,-0.0021641008788719773,-0.01911356672644615,AUTO
21:45:34,1500.0,-35.3632622,149.1652364,21242.5,0.0,1.0,-151.0,0.0,0.0,-1000.0,4.0,4.5,-24.5,0.0034776299726217985,0.0015443498268723488,-0.22216909378767014,0.0038168043829500675,0.004002824192866683,-0.02467567753046751,AUTO
21:45:36,1500.0,-35.3632621,149.16523654999997,24368.0,-1.0,4.0,-151.0,0.0,0.0,-1000.0,0.0,1.5,-19.5,0.0037910130340605974,0.0038584800204262137,-0.2642306983470917,-0.0006370161718223244,0.0012097416911274195,-0.019661715254187584,AUTO
21:45:38,1500.0,-35.3632623,149.1652365,27643.0,-3.5,6.0,-151.0,0.0,0.0,-999.5,-3.0,-0.5,25.0,0.011197112035006285,0.0026916267815977335,-0.24657730758190155,-0.004643742460757494,-0.0017932443879544735,0.025228111073374748,AUTO
21:45:40,1500.0,-35.3632624,149.16523784999998,30753.5,0.0,6.5,-151.0,0.0,-0.5,-1000.0,-1.0,-0.5,18.5,-0.000927586923353374,0.0018536642310209572,-0.20430026203393936,-0.002302844717632979,-0.0012544715718831867,0.01932412665337324,AUTO
21:45:42,1500.0,-35.3632623,149.1652381,33874.0,0.0,0.0,-152.0,0.0,0.0,-1000.0,1.5,1.0,13.5,0.001212235540151596,0.000952601432800293,-0.17290998250246048,0.0013052370632067323,-0.00011378672206774354,0.013884817250072956,AUTO
21:45:44,1500.0,-35.3632622,149.16523784999998,36990.5,0.0,0.0,-152.0,0.0,0.0,-1000.0,1.5,0.5,10.5,0.0020934150088578463,0.0008640503510832787,-0.14957882463932037,0.0008468553423881531,-2.544268500059843e-05,0.011362963356077671,AUTO
21:45:46,1500.0,-35.36326215,149.1652376,40106.0,0.0,0.0,-152.0,0.0,0.0,-1000.5,0.5,1.0,8.0,0.0025734846713021398,0.0014002019888721406,-0.13192210346460342,-0.00020244251936674118,8.490838808938861e-05,0.008123541250824928,AUTO
21:45:52,1500.0,-35.3632645,149.1652336,48943.0,-17.0,-28.0,-81.5,2.0,8.5,-959.5,77.5,-41.0,16.0,0.01991553930565715,-0.04987245239317417,0.28895504772663116,0.07655496522784233,-0.04257182125002146,0.015195478918030858,AUTO
21:46:00,1500.0,-35.36324765,149.16526735,49995.5,24.5,38.5,0.0,-7.5,-23.5,-1001.5,69.0,-30.5,-36.5,0.0010411259718239307,0.04287615418434143,0.9930578768253326,0.07070733606815338,-0.031797029078006744,-0.03718340862542391,BRAKE
21:46:04,1500.0,-35.36324345,149.16527165000002,48623.5,11.5,0.5,175.5,-2.0,-10.0,-937.0,1053.0,7.0,0.0,0.03337942250072956,-0.0006948753725737333,0.9534437358379364,1.0583921372890472,0.006600753404200077,-0.0007055756286717951,ALT_HOLD
21:46:08,1500.0,-35.36323965,149.16528855,46096.0,92.5,48.0,0.0,-21.0,-25.5,-1000.0,-427.0,-104.5,-52.0,-0.04454984329640865,-0.09963342547416687,1.0994506478309631,-0.427226260304451,-0.10644907876849174,-0.052943237125873566,AUTO
21:46:10,1500.0,-35.3632173,149.16532415,46215.0,158.0,161.0,-17.5,-49.0,-58.5,-1004.5,-470.0,130.0,15.5,0.04916059039533138,0.15403439104557037,1.0843725204467773,-0.466350294649601,0.12880834564566612,0.01641841698437929,BRAKE
