time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,RTL_ALT
04:33:14,-0.0003429370990488678,0.0009084750199690461,0.024994688108563423,0.00028667337028309703,0.00021473265951499343,0.0018450133502483368,-35.3632621,149.1652375,26.0,-1.0,2.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,50800.0
04:33:16,-0.0008734450675547123,0.0009354292415082455,0.02399681694805622,0.0003310379106551409,0.0002479039249010384,0.0018289771396666765,-35.3632621,149.1652375,19.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.0,1.0,STABILIZE,50800.0
04:33:22,-0.0006856436084490269,0.0009642068471293896,0.022223610430955887,0.0002933518262580037,0.00028443714836612344,0.001492425799369812,-35.3632622,149.1652375,10.5,-1.0,1.0,-1.0,0.0,2.0,-1000.0,0.5,0.5,0.5,AUTO,50800.0
04:33:24,-0.00032836249738465995,0.0013469497207552195,0.02161542885005474,0.00028977321926504374,0.00023704883642494678,0.0014256714493967593,-35.3632621,149.1652374,26.0,0.0,0.0,-2.5,0.0,1.5,-1000.0,0.0,0.0,1.0,AUTO,32888.5
04:33:26,0.0012388020986691117,0.0009304208215326071,0.02104717679321766,-0.0007757579733151942,0.002227508113719523,0.0013679538387805223,-35.3632621,149.1652375,446.0,0.0,0.0,-101.5,0.0,0.0,-1110.0,0.0,2.5,1.0,AUTO,14977.0
04:33:28,0.037561806850135326,0.01086185457825195,-0.029961892403662205,-0.1319308839738369,0.06747395545244217,-0.09656278789043427,-35.3632614,149.16524095,3323.0,8.5,53.0,-145.0,2.5,-10.0,-992.0,-130.5,67.5,-96.0,AUTO,14977.0
04:33:29,-0.05996530596166849,-0.01371831283904612,-0.04725577658973634,-0.11844826210290194,0.06430926616303623,-0.10195621568709612,-35.3632598,149.165246425,5220.5,23.25,15.75,-147.0,-1.5,-9.0,-994.5,-117.5,65.0,-102.25,AUTO,20842.0
04:33:30,-0.10192426294088364,0.041798943653702736,-0.1502571403980255,0.0516569409519434,0.021604874171316624,-0.09729227423667908,-35.363258450000004,149.16524550000003,6353.5,4.0,-51.0,-145.5,-7.0,4.0,-1003.0,52.0,21.5,-97.0,AUTO,20842.0
04:33:32,0.05518920160830021,0.050870925188064575,-0.20432405173778534,0.08968467265367508,-0.022650137543678284,0.004227111989166588,-35.363267949999994,149.16522745,9367.5,-101.0,-52.5,-149.5,5.5,25.5,-1007.5,89.5,-21.0,3.5,AUTO,20842.0
04:33:34,0.047330113127827644,-0.16284970939159393,-0.0020082073751837015,-0.008348705247044563,0.012292667292058468,0.04276683187345043,-35.36327755,149.16523089999998,12451.0,68.5,60.5,-142.0,-3.5,-15.5,-985.0,-7.5,13.0,42.5,AUTO,20842.0
04:33:35,-0.06736404728144407,0.0013918316690251231,-0.2179243564605713,-0.009714718908071518,0.08619002532213926,-0.15095767751336098,-35.3632637,149.165236375,14255.75,131.0,-1.0,-148.0,-19.75,-24.0,-1022.25,-9.0,86.25,-150.5,AUTO,105691.0
04:33:36,-0.058455368503928185,0.045979781076312065,-0.30002766847610474,0.030104742385447025,0.06217893585562706,-0.06403332948684692,-35.3632559,149.16523435,15425.0,85.5,-52.5,-154.0,-22.0,-9.0,-1005.5,30.5,62.5,-64.0,AUTO,105691.0
04:33:38,0.05245036445558071,0.09923214092850685,-0.34568148851394653,0.07319628819823265,-0.02859360445290804,0.0013170207384973764,-35.36325665,149.16522295,18557.5,-92.0,-2.5,-147.0,9.5,15.5,-999.0,73.5,-27.0,1.0,AUTO,105691.0
04:33:40,-0.19782815873622894,-0.14936380088329315,-0.05658154934644699,-0.10586542636156082,0.22276423871517181,0.25186604261398315,-35.363270400000005,149.16523975,21487.0,26.5,54.0,-126.5,7.0,-16.0,-952.5,-105.0,223.0,251.0,AUTO,89308.5
04:33:42,0.0512012355029583,0.02517825085669756,-0.04813763126730919,0.014977483078837395,-0.0050596739165484905,-0.0038337152218446136,-35.36326225,149.16523389999998,22707.5,23.5,-12.0,-19.0,-6.5,2.5,-976.5,15.5,-4.0,-3.5,AUTO,72926.0
04:33:44,-0.037934308871626854,-0.001249538385309279,-0.05787510983645916,-0.22232849430292845,-0.03532610088586807,-0.006952558644115925,-35.3632615,149.165236,22580.0,-8.5,6.5,14.0,3.0,-25.5,-1014.5,-222.0,-34.0,-6.5,AUTO,72926.0
04:33:45,-0.06480333302170038,-0.03634367184713483,-0.17980653885751963,0.2318444848060608,-0.02883319230750203,-0.40029973385389894,-35.363262175,149.165232525,22502.0,2.75,-61.5,-0.75,-10.0,20.5,-1012.25,232.75,-27.75,-399.75,AUTO,169259.0
04:33:46,-0.05906826630234718,-0.08300591260194778,-0.6531126201152802,-0.2864157296717167,-0.02344003412872553,-0.7219246625900269,-35.363262,149.16522565,22513.0,12.0,-110.5,-2.5,-28.5,-3.5,-1001.0,-284.5,-22.5,-722.0,AUTO,169259.0
