time_stamp,MODE,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
03:02:52,AUTO,87347.0,-3.353077105809158e-05,0.0009512316707211236,0.022095151245594025,0.00034753795868406695,0.00027555268025025725,0.0014735600755860407,-35.3632622,149.16523743333332,15.0,-1.0,1.0,-3.0,0.0,1.3333333333333333,-1000.0,1.0,0.0,0.6666666666666666
03:02:53,AUTO,87347.0,4.416295041664853e-05,0.0010151891910936683,0.021781195886433125,0.0004030910786241293,0.0002725087106227875,0.0014929164317436516,-35.3632621,149.16523745,10.0,-0.5,1.0,-2.0,0.0,1.5,-1000.0,0.5,0.0,1.0
03:02:55,AUTO,117961.5,0.0007599624223075807,0.0015000803978182375,0.021032928489148617,0.00034578569466248155,0.000259594147792086,0.0013819268788211048,-35.3632621,149.1652374,4.5,0.0,0.5,0.5,0.0,1.0,-1000.0,1.0,0.5,1.0
03:02:57,AUTO,148576.0,0.016456386423669755,-0.00020007416605949402,0.02027484867721796,0.02374942519236356,-0.0026898756623268127,0.0019737661350518465,-35.36326205,149.1652374,1105.5,0.5,3.5,-131.5,0.0,0.0,-1049.0,23.5,-2.0,1.0
03:02:58,AUTO,215761.0,0.053917224518954754,-0.005285933963023126,0.010405890177935362,0.014382819645106792,0.011675103334710002,-0.02030135487439111,-35.3632618,149.16523875000001,2582.25,5.0,31.5,-146.5,1.0,-4.5,-998.0,14.75,12.5,-20.75
03:02:59,AUTO,215761.0,-0.025610526092350483,0.01379921194165945,-0.060413798317313194,-0.10560664348304272,0.018970865290611982,-0.0630198959261179,-35.3632611,149.16524320000002,4090.5,4.0,37.0,-145.0,3.5,-9.0,-1001.5,-104.5,20.0,-62.5
03:03:01,AUTO,218522.0,0.0006300183013081551,0.0056707237381488085,-0.10342734307050705,0.06459146365523338,0.006301326444372535,-0.0011358204064890742,-35.36326175,149.1652388,7225.5,-12.5,-50.5,-148.5,-5.5,11.5,-1002.5,65.0,6.5,-1.5
03:03:03,AUTO,221283.0,0.012563940603286028,-0.03172595705837011,-0.05567178688943386,-0.06187128182500601,0.021723316982388496,-0.015581056475639343,-35.36326365,149.1652344,10323.0,11.0,15.0,-147.5,0.5,-2.5,-999.5,-61.0,22.5,-16.0
03:03:04,AUTO,112983.0,-0.016798127442598343,0.006228507147170603,-0.10578219592571259,-0.00884135509841144,0.023865604307502508,-0.053605987690389156,-35.363262075,149.1652354,11788.5,19.75,1.0,-149.5,-3.5,-3.5,-1001.25,-8.0,24.0,-53.25
03:03:05,AUTO,112983.0,0.00014478527009487152,0.017070036381483078,-0.14177563041448593,0.0477873757481575,0.004272714955732226,-0.019329685252159834,-35.3632609,149.16523445,13344.0,3.5,-12.5,-151.0,-4.0,1.0,-1002.0,47.5,4.5,-19.0
03:03:07,AUTO,199260.0,0.0018819109536707401,0.0014055755455046892,-0.1563953161239624,-0.032235998660326004,-0.00030087269260548055,-0.01989020500332117,-35.3632614,149.1652353,16537.0,-4.5,20.0,-150.0,3.0,-3.0,-1000.5,-31.0,0.0,-19.5
03:03:09,AUTO,285537.0,0.0024176793231163174,0.002900577848777175,-0.210897795855999,0.00851006607990712,0.0010488262341823429,-0.02248807344585657,-35.36326175,149.16523675000002,19727.0,-3.0,0.0,-152.0,0.0,0.0,-999.5,9.0,1.0,-22.0
03:03:10,AUTO,9802.0,0.006476860027760267,0.0030993890250101686,-0.22986407577991486,0.0005689718818757683,-0.00023751470143906772,-0.01858767308294773,-35.3632619,149.16523654999997,21289.0,-3.0,0.75,-152.0,0.0,0.0,-999.75,1.5,0.25,-18.25
03:03:11,AUTO,9802.0,0.005410050041973591,0.0022329968633130193,-0.24692759662866592,-0.001453363714972511,-2.2764084860682487e-05,-0.01777648087590933,-35.36326205,149.1652365,22853.0,-2.5,2.5,-152.0,0.0,0.0,-999.5,-0.5,0.5,-17.5
