time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro
21:14:57,1500.0,-35.3632621,149.1652375,46.0,-1.0,0.0,-1.0,STABILIZE,-0.0015164341020863503,0.0009693305473774672,0.026578068267554045,0.00023001206864137203,0.0003458030114416033,0.0019642069819383323,0.0,1.5,-1000.0,0.0,0.0,0.0
21:14:59,1500.0,-35.363262175,149.1652375,61.75,-1.0,0.0,-2.0,STABILIZE,-0.0012802155106328428,0.001012162130791694,0.026058153249323368,0.00029324238130357116,0.00025450951943639666,0.0019074620504397899,0.0,1.2,-1000.0,0.0,0.4,0.8
21:15:06,1500.0,-35.3632622,149.1652375,60.166666666666664,-1.0,1.3333333333333333,0.0,STABILIZE,-0.001014660217333585,0.0009858316276222467,0.024116325378417968,0.00031773044029250743,0.00028606547275558116,0.0016032293438911437,0.0,1.1666666666666667,-1000.0,0.3333333333333333,0.16666666666666666,0.16666666666666666
21:15:11,1500.0,-35.3632622,149.1652375,33.6,-1.0,0.6,0.2,STABILIZE,-0.0012498061172664166,0.0009931727312505246,0.023027092218399048,0.0035463976091705263,0.0002985278144478798,0.0014427472138777374,0.0,3.4,-997.0,4.0,0.4,1.0
21:15:13,1500.0,-35.36326218333334,149.1652375,15.333333333333334,-0.8333333333333334,0.0,0.0,AUTO,-0.0011088357811483245,0.0010201929253526032,0.02275866021712621,0.0002666647390772899,0.0002368308681373795,0.0014286525547504425,0.0,1.1666666666666667,-1000.0,0.5,0.3333333333333333,0.5
21:15:15,1500.0,-35.36326209999999,149.16523745,18.833333333333332,0.0,-0.16666666666666666,-1.1666666666666667,AUTO,-0.000865747919306159,0.0013746656865502398,0.02242099866271019,0.0002747071460665514,0.0002800567405453573,0.001402401636975507,0.0,1.6666666666666667,-999.8333333333334,0.8333333333333334,0.5,0.8333333333333334
21:15:16,1500.0,-35.3632621,149.16523746000001,164.2,0.0,0.0,-44.6,AUTO,0.0010246061079669743,0.0007461564615368843,0.0219952754676342,0.0004969050176441669,-0.0010589482844807208,0.0009075226087588816,0.0,0.4,-1090.6,1.0,-0.4,0.4
21:15:20,1500.0,-35.36326186,149.16523838,2290.2,3.4,22.8,-150.0,AUTO,0.04380594901740551,-0.004928189609199762,0.016152768023312093,0.029698464274406432,-0.00032566459849476815,-0.009777802182361484,0.2,-3.4,-1002.8,30.2,0.6,-10.2
21:15:21,1500.0,-35.363261050000006,149.16524375,4145.5,2.5,46.5,-149.0,AUTO,-0.02295187022536993,0.019909463822841644,-0.061803918331861496,-0.059418369084596634,-0.016526924446225166,-0.052898017689585686,4.5,-10.0,-1009.5,-58.5,-15.0,-52.5
21:15:24,1500.0,-35.36326198333334,149.1652356,9562.5,-6.833333333333333,-15.333333333333334,-152.5,AUTO,0.04246010320882002,0.001290395448449999,-0.08466327314575513,-0.0033815428614616394,-0.006007109807493786,0.010058364016003907,-1.8333333333333333,5.0,-999.0,-2.5,-5.166666666666667,9.666666666666666
21:15:32,1500.0,-35.3632618,149.1652364,22262.0,-2.0,3.5,-153.0,AUTO,0.0014824778772890568,0.0030974384862929583,-0.22426003217697144,0.0009735649218782783,0.000816929095890373,-0.019841467030346394,0.0,0.0,-1000.0,2.0,1.5,-19.5
21:15:44,1500.0,-35.363263100000005,149.165235925,40123.75,-26.75,-28.75,-92.0,BRAKE,-0.034317498677410185,0.024597613242804073,0.20178575813770294,0.06063889525830746,-0.12119845021516085,0.23347190534695983,2.2,5.6,-924.6,11.4,-59.4,280.4
21:15:46,1500.0,-35.36326426666667,149.16523341666667,40861.333333333336,13.333333333333334,15.666666666666666,-16.0,ALT_HOLD,0.029658233126004536,-0.025001163866060477,0.22080876678228378,-0.002827708919843038,0.03573464509099722,-0.029841964443524677,-1.3333333333333333,-1.6666666666666667,-977.5,-0.8333333333333334,36.166666666666664,-29.0
21:15:48,1500.0,-35.36326184285715,149.16523762857145,40206.28571428572,5.0,7.142857142857143,116.28571428571429,AUTO,-0.009349959237234933,0.014529760727392775,0.17389971017837524,-0.05218471799577985,-0.009659451698618276,-0.023783891580283774,1.5714285714285714,-5.285714285714286,-894.0,-51.0,-8.142857142857142,-23.0
21:16:08,1500.0,-35.3632535,149.1652515,49971.0,94.0,166.0,0.0,BRAKE,0.04242224246263504,-0.166244775056839,0.9909631013870239,0.23043280839920044,-0.046648766845464706,0.6591483950614929,-30.0,0.0,-1014.0,233.0,-45.0,660.0
21:16:10,1500.0,-35.3632416,149.1652764,50019.666666666664,36.666666666666664,92.66666666666667,2.0,BRAKE,0.02575646589199702,0.03006934995452563,1.025684118270874,0.5380620335539182,-0.05078797539075216,-0.015319591077665487,-16.333333333333332,17.333333333333332,-1001.6666666666666,540.6666666666666,-49.333333333333336,-14.0
21:16:12,1500.0,-35.363237857142856,149.16528484285715,49982.71428571428,10.285714285714286,36.285714285714285,-0.42857142857142855,ALT_HOLD,0.01160630930514474,0.007453620367284332,1.0239630596978324,-0.01666815791811262,0.0005008032063155302,-0.010062457860580512,-8.428571428571429,-6.285714285714286,-999.2857142857143,-16.0,1.2857142857142858,-8.571428571428571
21:16:15,1500.0,-35.363233775,149.16529035,47336.75,3.5,1.75,181.75,AUTO,0.02952449698932469,-0.0007494147139368579,1.0119635462760925,0.3775216042995453,-0.001763647742336616,0.0054668133379891515,-3.6,-41.8,-997.0,-88.8,0.8,7.0
