,A.LAND1
21:09:46.376,-1.0
21:09:46.577,-1.0
21:09:46.778,-1.0
21:09:46.979,-1.0
21:09:47.180,-1.0
21:09:47.381,-1.0
21:09:47.582,-1.0
21:09:47.782,-1.0
21:09:47.985,-1.0
21:09:48.185,-1.0
21:09:48.386,-1.0
21:09:48.587,-1.0
21:09:48.788,-1.0
21:09:48.989,-1.0
21:09:49.189,-1.0
21:09:49.390,-1.0
21:09:49.591,-1.0
21:09:49.792,-1.0
21:09:49.993,-1.0
21:09:50.193,-1.0
21:09:50.394,-1.0
21:09:50.595,-1.0
21:09:50.796,-1.0
21:09:50.997,-1.0
21:09:51.198,-1.0
21:09:51.398,-1.0
21:09:51.599,-1.0
21:09:51.800,-1.0
21:09:52.001,-1.0
21:09:52.202,-1.0
21:09:52.402,-1.0
21:09:52.603,-1.0
21:09:52.804,-1.0
21:09:53.005,-1.0
21:09:53.205,-1.0
21:09:53.406,-1.0
21:09:53.607,-1.0
21:09:53.808,-1.0
21:09:54.008,-1.0
21:09:54.209,-1.0
21:09:54.410,-1.0
21:09:54.610,-1.0
21:09:54.811,-1.0
21:09:55.012,-1.0
21:09:55.213,-1.0
21:09:55.414,-1.0
21:09:55.614,-1.0
21:09:55.815,-1.0
21:09:56.017,-1.0
21:09:56.218,-1.0
21:09:56.419,-1.0
21:09:56.620,-1.0
21:09:56.821,-1.0
21:09:57.021,-1.0
21:09:57.222,-1.0
21:09:57.423,-1.0
21:09:57.624,-1.0
21:09:57.825,-1.0
21:09:58.026,-1.0
21:09:58.226,-1.0
21:09:58.427,-1.0
21:09:58.628,-1.0
21:09:58.828,-1.0
21:09:59.029,-1.0
21:09:59.230,-1.0
21:09:59.431,-1.0
21:09:59.632,-1.0
21:09:59.833,-1.0
21:10:00.034,-1.0
21:10:00.235,-1.0
21:10:00.436,-1.0
21:10:00.637,-1.0
21:10:00.838,-1.0
21:10:01.039,-1.0
21:10:01.240,-1.0
21:10:01.440,-1.0
21:10:01.641,-1.0
21:10:01.842,-1.0
21:10:02.043,-1.0
21:10:02.244,-1.0
21:10:02.444,-1.0
21:10:02.645,-1.0
21:10:02.846,-1.0
21:10:03.047,-1.0
21:10:03.248,-1.0
21:10:03.448,-1.0
21:10:03.649,-1.0
21:10:03.850,-1.0
21:10:04.051,-1.0
21:10:04.252,-1.0
21:10:04.453,-1.0
21:10:04.655,-1.0
21:10:04.855,-1.0
21:10:05.056,-1.0
21:10:05.257,-1.0
21:10:05.458,-1.0
21:10:05.659,-1.0
21:10:05.861,-1.0
21:10:06.062,-1.0
21:10:06.263,-1.0
21:10:06.464,-1.0
21:10:06.664,-1.0
21:10:06.865,-1.0
21:10:07.066,-1.0
21:10:07.268,-1.0
21:10:07.469,-1.0
21:10:07.670,-1.0
21:10:07.871,-1.0
21:10:08.074,-1.0
21:10:08.275,-1.0
21:10:08.477,-1.0
21:10:08.678,-1.0
21:10:08.879,-1.0
21:10:09.080,-1.0
21:10:09.280,-1.0
21:10:09.481,-1.0
21:10:09.682,-1.0
21:10:09.883,-1.0
21:10:10.084,-1.0
21:10:10.285,-1.0
21:10:10.486,-1.0
21:10:10.687,-1.0
21:10:10.888,-1.0
21:10:11.089,-1.0
21:10:11.290,-1.0
21:10:11.490,-1.0
21:10:11.691,-1.0
21:10:11.893,-1.0
21:10:12.094,-1.0
21:10:12.295,-1.0
21:10:12.496,-1.0
21:10:12.697,-1.0
21:10:12.897,-1.0
21:10:13.098,-1.0
21:10:13.299,-1.0
21:10:13.500,-1.0
21:10:13.700,-1.0
21:10:13.902,-1.0
21:10:14.103,-1.0
21:10:14.303,-1.0
21:10:14.504,-1.0
21:10:14.705,-1.0
21:10:14.906,-1.0
21:10:15.107,-1.0
21:10:15.308,-1.0
21:10:15.508,-1.0
21:10:15.709,-1.0
21:10:15.911,-1.0
21:10:16.112,-1.0
21:10:16.313,-1.0
21:10:16.514,-1.0
21:10:16.714,-1.0
21:10:16.915,-1.0
21:10:17.116,-1.0
21:10:17.317,-1.0
21:10:17.517,-1.0
21:10:17.718,-1.0
21:10:17.919,-1.0
21:10:18.119,-1.0
21:10:18.321,-1.0
21:10:18.522,-1.0
21:10:18.724,-1.0
21:10:18.925,-1.0
21:10:19.126,-1.0
21:10:19.327,-1.0
21:10:19.528,-1.0
21:10:19.730,-1.0
21:10:19.931,-1.0
21:10:20.131,-1.0
21:10:20.332,-1.0
21:10:20.533,-1.0
21:10:20.735,-1.0
21:10:20.936,-1.0
21:10:21.137,-1.0
21:10:21.338,-1.0
21:10:21.538,-1.0
21:10:21.739,-1.0
21:10:21.941,-1.0
21:10:22.141,-1.0
21:10:22.342,-1.0
21:10:22.543,-1.0
21:10:22.743,-1.0
21:10:22.944,-1.0
21:10:23.609,-1.0
21:10:23.810,-1.0
