time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,chan4_raw
17:00:11,1500.0,-35.3632622,149.1652375,8.0,0.0,0.0,0.0,-0.0008866714488249272,0.0011140512651763856,0.02120339125394821,0.00037536979652941227,0.0002864717971533537,0.0013788252836093307,AUTO,0.0,1.5,-1000.0,0.5,0.0,0.0,1500.0
17:00:13,1500.0,-35.3632622,149.1652375,10.0,0.0,0.0,0.0,-0.00041134502680506557,0.0016549138235859573,0.020775624550879,0.00030685108504258096,0.00032047234708443284,0.0013897606986574829,AUTO,0.0,1.0,-1000.0,1.0,0.0,0.5,1500.0
17:00:15,1500.0,-35.36326205,149.16523755,1479.5,0.5,6.0,-145.0,0.024311798624694347,-0.001098921857192181,0.020234152674674988,0.046561792492866516,-0.0070148438680917025,0.0021275467588566244,AUTO,0.0,-0.5,-1016.0,47.0,-6.0,1.5,1500.0
17:00:17,1500.0,-35.363260749999995,149.16524520000002,4533.0,11.0,37.0,-149.0,-0.027274363674223423,-0.01752116298303008,-0.036149267107248306,-0.02340909535996616,-0.015314463526010513,-0.0064577385783195496,AUTO,2.5,-9.0,-1003.0,-22.5,-14.5,-7.0,1500.0
17:00:19,1500.0,-35.36326095,149.16524034999998,7600.5,-34.0,-66.0,-148.5,-0.020429349970072508,0.031003668904304504,-0.1513313129544258,0.07266241684556007,0.005401994567364454,-0.014786539133638144,AUTO,-4.5,14.5,-1002.5,73.0,5.5,-14.5,1500.0
17:00:21,1500.0,-35.363267300000004,149.16522965000001,10692.5,19.5,-36.0,-151.5,0.00857567135244608,-0.09527215361595154,0.025151902809739113,0.06578327156603336,0.006691768299788237,0.09113705158233643,AUTO,-5.0,7.5,-999.5,65.5,7.5,90.5,1756.0
17:00:23,1500.0,-35.36325865,149.1652288,13631.5,35.5,41.5,-149.5,0.0433078408241272,-0.060019684955477715,1.6013203859329224,0.11923625506460667,-0.041388221085071564,0.31183162331581116,AUTO,-9.5,4.0,-1004.5,119.5,-41.0,311.0,1500.0
17:00:25,1500.0,-35.36326215,149.165241,16699.5,-67.0,36.0,-151.5,0.066551823168993,0.037082577124238014,1.6293580532073975,0.008742249570786953,0.016450771130621433,-0.03518022131174803,AUTO,-1.5,-16.5,-998.5,9.5,17.0,-35.0,1500.0
17:00:27,1500.0,-35.3632797,149.1652397,19741.0,-101.0,-35.5,-150.5,-0.02965410891920328,0.015604941872879863,1.5241459012031555,-0.11057635396718979,-0.07115845754742622,-0.016841902397572994,AUTO,18.5,-16.0,-1010.0,-109.0,-70.0,-16.5,1500.0
17:00:29,1500.0,-35.363279399999996,149.1652368,22772.5,142.5,9.5,-134.0,-0.16448164731264114,-0.03241428267210722,1.497657299041748,0.07395247742533684,0.03895615879446268,-0.009931492153555155,AUTO,-17.0,21.0,-994.0,74.0,39.0,-9.5,1500.0
17:00:31,1500.0,-35.3632422,149.16523139999998,25588.5,180.0,-96.0,-153.5,0.05865085497498512,0.08986063301563263,1.5077661871910095,0.12435456365346909,0.03235959727317095,0.022993053309619427,AUTO,-13.0,47.5,-1021.5,124.5,32.5,22.0,1500.0
17:00:33,1500.0,-35.363237749999996,149.1652012,28624.5,-137.5,-94.5,-139.5,0.05885326233692467,-0.1763952076435089,1.7077025175094604,-0.3184925615787506,-0.3939949572086334,0.5397347956895828,AUTO,42.0,-16.0,-1026.0,-317.0,-392.5,539.0,1880.0
17:00:35,1500.0,-35.36325825,149.16523115,31189.5,-14.0,216.5,-143.0,-0.001974237209651619,0.10560023784637451,0.06342566013336182,-0.08107193931937218,-0.13280729949474335,0.7755476534366608,AUTO,-28.0,39.5,-1015.0,-79.5,-131.5,775.5,1880.0
17:00:37,1500.0,-35.36325255,149.165265,34271.0,57.0,-11.0,-154.5,0.20246057212352753,-0.14417126029729843,-2.4286526441574097,0.06271325796842575,-0.07144776359200478,0.011749442666769028,AUTO,13.0,6.5,-995.5,63.0,-69.5,11.0,1500.0
17:00:39,1500.0,-35.36325015,149.16522965000001,37011.0,-54.5,-223.5,-139.5,0.010426766006276011,-0.06462068296968937,-2.609743595123291,-0.05348781310021877,0.04528560768812895,-0.08091164007782936,AUTO,-9.5,-52.5,-1012.5,-52.0,46.0,-80.5,1500.0
17:00:41,1500.0,-35.363268149999996,149.16519714999998,40123.5,-110.5,-26.0,-158.0,-0.1055275984108448,0.05925368331372738,-2.7269198894500732,0.012925214832648635,0.06614327803254128,-0.017701053526252508,AUTO,-24.5,-14.5,-1004.5,13.5,67.0,-17.5,1500.0
17:00:43,1500.0,-35.3632749,149.16521665,43142.5,79.0,155.0,-137.5,0.010924090805929154,0.13854585587978363,-2.7563211917877197,0.0776563510298729,-0.035652343183755875,0.02253729396034032,AUTO,4.5,33.0,-999.0,78.0,-34.0,22.5,1500.0
17:00:45,1500.0,-35.36325535,149.16524235,46165.5,51.0,35.5,-160.0,-0.006188187398947775,-0.12864791601896286,-2.5070055723190308,-0.025739584118127823,-0.02579635474830866,0.011590406589675695,AUTO,17.0,10.0,-1002.5,-24.0,-24.0,11.5,1500.0
17:00:47,1500.0,-35.363264,149.16523815,49086.5,-84.5,-38.0,-118.5,0.030668457970023155,0.07131532579660416,-1.837312936782837,0.025431414134800434,0.11438831314444542,0.8851095139980316,AUTO,-21.5,7.0,-956.0,27.0,115.5,885.0,1765.0
