time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,chan4_raw,RTL_ALT
16:59:53.402,STABILIZE,-35.3632621,149.1652375,0,0.0005071431514807045,0.0015683937817811966,0.02782314456999302,0.0002789559948723763,0.00032033055322244763,0.0024199835024774075,0,1,-1000,0,0,0,-2,2,1,1500,1500.0
16:59:53.603,STABILIZE,-35.3632621,149.1652375,0,0.0005071431514807045,0.0015683937817811966,0.02782314456999302,0.0002789559948723763,0.00032033055322244763,0.0024199835024774075,0,1,-1000,0,0,0,-2,2,1,1500,1500.0
16:59:53.804,STABILIZE,-35.3632621,149.1652375,0,0.0005071431514807045,0.0015683937817811966,0.02782314456999302,0.0002789559948723763,0.00032033055322244763,0.0024199835024774075,0,1,-1000,0,0,0,-2,2,1,1500,1500.0
16:59:54.005,STABILIZE,-35.3632621,149.1652375,0,0.0005071431514807045,0.0015683937817811966,0.02782314456999302,0.0002789559948723763,0.00032033055322244763,0.0024199835024774075,0,1,-1000,0,0,0,-2,2,1,1500,1500.0
16:59:54.206,STABILIZE,-35.3632621,149.1652375,0,0.0005071431514807045,0.0015683937817811966,0.02782314456999302,0.0002789559948723763,0.00032033055322244763,0.0024199835024774075,0,1,-1000,0,0,0,-2,2,1,1500,1500.0
16:59:54.407,STABILIZE,-35.3632622,149.1652375,0,0.0005071431514807045,0.0015683937817811966,0.02782314456999302,0.0002789559948723763,0.00032033055322244763,0.0024199835024774075,0,1,-1000,0,0,0,-1,1,-1,1500,1500.0
16:59:54.608,STABILIZE,-35.3632622,149.1652375,0,0.0005071431514807045,0.0015683937817811966,0.02782314456999302,0.0002789559948723763,0.00032033055322244763,0.0024199835024774075,0,1,-1000,0,0,0,-1,1,-1,1500,1500.0
16:59:54.809,STABILIZE,-35.3632622,149.1652375,0,0.0005071431514807045,0.0015683937817811966,0.02782314456999302,0.0002789559948723763,0.00032033055322244763,0.0024199835024774075,0,1,-1000,0,0,0,-1,1,-1,1500,1500.0
16:59:55.010,STABILIZE,-35.3632622,149.1652375,0,-0.00013770406076218933,0.0010917909676209092,0.025511564686894417,0.00015397160314023495,0.00025445266510359943,0.002089505083858967,0,1,-1000,0,0,0,-1,1,-1,1500,1500.0
16:59:55.211,STABILIZE,-35.3632622,149.1652375,0,-0.00013770406076218933,0.0010917909676209092,0.025511564686894417,0.00015397160314023495,0.00025445266510359943,0.002089505083858967,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
16:59:55.412,STABILIZE,-35.3632622,149.1652375,0,-0.0002591389056760818,0.0010365628404542804,0.0252319797873497,0.00020437719649635255,0.0002168868959415704,0.002090719062834978,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
16:59:55.613,STABILIZE,-35.3632622,149.1652375,0,-0.0002591389056760818,0.0010365628404542804,0.0252319797873497,0.00020437719649635255,0.0002168868959415704,0.002090719062834978,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
16:59:55.814,STABILIZE,-35.3632622,149.1652375,0,-0.0002591389056760818,0.0010365628404542804,0.0252319797873497,0.00020437719649635255,0.0002168868959415704,0.002090719062834978,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
16:59:56.017,STABILIZE,-35.3632622,149.1652375,0,-0.0002591389056760818,0.0010365628404542804,0.0252319797873497,0.00020437719649635255,0.0002168868959415704,0.002090719062834978,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
16:59:56.221,STABILIZE,-35.3632622,149.1652375,0,-0.0002591389056760818,0.0010365628404542804,0.0252319797873497,0.00020437719649635255,0.0002168868959415704,0.002090719062834978,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
16:59:56.422,STABILIZE,-35.3632622,149.1652375,0,-0.00013704560115002096,0.0009791463380679488,0.02476666308939457,0.00026391411665827036,0.00027063157176598907,0.0018590230029076338,0,1,-1000,0,0,0,-1,2,1,1500,1500.0
16:59:56.623,STABILIZE,-35.3632622,149.1652375,0,-0.00013704560115002096,0.0009791463380679488,0.02476666308939457,0.00026391411665827036,0.00027063157176598907,0.0018590230029076338,0,1,-1000,1,0,0,-1,2,1,1500,1500.0
16:59:56.825,STABILIZE,-35.3632622,149.1652375,0,-0.00029587041353806853,0.0009520113235339522,0.024522103369235992,0.0002514254883863032,0.00023463659454137087,0.0017512027407065034,0,1,-1000,1,0,0,-1,2,1,1500,1500.0
16:59:57.026,STABILIZE,-35.3632622,149.1652375,0,-0.00029587041353806853,0.0009520113235339522,0.024522103369235992,0.0002514254883863032,0.00023463659454137087,0.0017512027407065034,0,1,-1000,0,0,1,-1,2,1,1500,1500.0
