time_stamp,MODE,RTL_ALT,LAND_SPEED_HIGH,WPNAV_SPEED_DN,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
10:59:37,GUIDED,1500.0,0.0,150.0,-1.3455872704071226e-05,0.001505983081491043,0.028499444015324116,0.00028263492276892066,0.00027371300287389505,0.0023909417213872075,-35.36326209999999,149.1652374,0.0,-0.5,1.1666666666666667,2.5,0.0,1.0,-1000.0,0.0,0.0,0.0
10:59:39,GUIDED,1500.0,0.0,150.0,-0.00027132319311411787,0.0014893215515517763,0.02703036367893219,0.00022509960191590444,0.00026732467813417315,0.0022466893174818586,-35.36326215714286,149.16523750000002,0.2857142857142857,-1.7142857142857142,1.0,0.5714285714285714,0.0,1.1428571428571428,-1000.5714285714286,0.14285714285714285,0.14285714285714285,0.0
10:59:41,GUIDED,1500.0,0.0,150.0,-0.00041143416698711616,0.0013761040560590725,0.025832576987644035,0.0002077588578686118,0.0002906188359096025,0.0020453206379897892,-35.3632622,149.1652375,2.3333333333333335,0.0,0.0,0.0,0.0,1.0,-1000.0,0.0,0.16666666666666666,0.16666666666666666
10:59:43,GUIDED,1500.0,0.0,150.0,0.0008324663773843591,0.001256834346956263,0.024786544032394886,0.0007013812525353084,-0.0012769999690741922,0.0019344826384137075,-35.36326218333334,149.1652375,19.5,0.0,0.0,-9.666666666666666,0.0,0.8333333333333334,-1045.0,0.5,-1.3333333333333333,0.0
10:59:45,GUIDED,1500.0,0.0,150.0,0.03031885577365756,-0.0024853318269985416,0.024453553992013138,0.04005819341788689,-0.007008332720336814,0.002699383010622114,-35.36326198333333,149.16523788333333,1697.5,1.8333333333333333,12.666666666666666,-143.5,0.16666666666666666,-1.6666666666666667,-1021.8333333333334,40.166666666666664,-6.0,1.3333333333333333
10:59:47,GUIDED,1500.0,0.0,150.0,-0.041627516659597553,0.002376265552205344,-0.06338012591004372,-0.06410134180138509,-0.009258214384317398,-0.02604064529684062,-35.36326076666666,149.16524513333334,4749.333333333333,5.333333333333333,26.5,-148.33333333333334,2.6666666666666665,-6.666666666666667,-1004.6666666666666,-63.166666666666664,-8.5,-26.666666666666668
10:59:49,GUIDED,1500.0,0.0,150.0,-0.015489544641847411,0.02148147067055106,-0.12255984917283058,0.07140692199269931,0.012529316591098905,-0.009962328059676414,-35.36326101666666,149.16523835,7811.333333333333,-20.166666666666668,-70.33333333333333,-149.66666666666666,-6.333333333333333,14.833333333333334,-1003.5,71.5,12.5,-10.5
10:59:51,GUIDED,1500.0,0.0,150.0,0.0806677049646775,-0.018677123822271824,-0.09464039963980515,-0.024108931111792724,-0.06476254109293222,0.05779063352383673,-35.36326726666667,149.16523135,10770.666666666666,-34.5,35.5,-149.5,9.5,1.3333333333333333,-999.6666666666666,-23.666666666666668,-64.0,56.333333333333336
10:59:53,GUIDED,1500.0,0.0,150.0,-0.08919733092188835,-0.021613801689818503,-0.14579415917396546,-0.04376482367515564,0.06978836245834827,-0.1138817198574543,-35.36326396,149.16524144,13618.4,63.2,2.0,-149.2,-9.8,-11.4,-1008.4,-43.2,69.8,-114.6
10:59:55,GUIDED,1500.0,0.0,150.0,0.0017389329586876556,0.06836224400571414,-0.2571176609822682,0.07829483598470688,0.026067731103726795,-0.008743659825995564,-35.363260114285715,149.16522564285717,16772.285714285714,-41.42857142857143,-86.28571428571429,-151.14285714285714,-9.857142857142858,20.285714285714285,-1005.1428571428571,78.28571428571429,26.142857142857142,-9.714285714285714
10:59:57,GUIDED,1500.0,0.0,150.0,0.13441752145687738,-0.0005602690895708898,-0.24318808565537134,0.01596655308579405,-0.11831582337617874,0.05700700016071399,-35.36327416666666,149.16522321666665,19787.5,-82.83333333333333,102.16666666666667,-143.33333333333334,27.333333333333332,-0.3333333333333333,-1001.6666666666666,16.5,-117.33333333333333,56.0
10:59:59,GUIDED,1500.0,0.0,150.0,-0.0593110826642563,-0.12064229945341746,-0.23792965213457742,-0.1576888437072436,0.10996273656686147,-0.13124733014653125,-35.36326808333334,149.16525475,22449.833333333332,164.0,117.83333333333333,-138.5,-4.666666666666667,-48.333333333333336,-1027.5,-156.5,110.16666666666667,-131.66666666666666
11:00:01,GUIDED,1500.0,0.0,150.0,-0.11430474867423375,0.0946298345612983,-0.45821213722229004,0.07078103100260098,0.12226002663373947,-0.006820471258834004,-35.363241583333334,149.16524783333332,25448.0,44.0,-146.66666666666666,-148.33333333333334,-36.166666666666664,3.5,-1012.0,70.83333333333333,122.5,-7.833333333333333
11:00:03,GUIDED,1500.0,0.0,150.0,0.09199010580778122,0.04148680344223976,-0.35787081718444824,0.07063324749469757,-0.16426365077495575,0.10221292078495026,-35.3632736,149.1652253,28976.0,-255.0,69.0,-136.0,43.5,41.5,-1034.0,57.5,-167.0,110.5
11:00:05,GUIDED,1500.0,0.0,150.0,-0.0241724643856287,-0.256224125623703,-0.19253964722156525,-0.22425249218940735,0.12367956340312958,-0.10142842680215836,-35.36329,149.165258,31974.0,147.0,148.0,-126.0,6.0,-45.0,-1000.0,-223.0,124.0,-101.0
11:00:07,GUIDED,1500.0,0.0,150.0,-0.12598322331905365,0.11178223788738251,-0.44750455021858215,0.03664841875433922,0.15229904651641846,-0.005315643269568682,-35.3632522,149.1652488,34631.0,116.0,-188.0,-154.0,-52.0,-9.0,-1034.0,37.0,152.0,-5.0
