time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
20:28:01,-0.00032755588472355157,0.000915504788281396,0.02288081869482994,0.0003139748005196452,0.00016741378931328654,0.0017172719235531986,-35.3632621,149.1652375,25.0,-1.0,2.0,0.0,STABILIZE,0.0,2.0,-1000.0,1.0,0.0,0.0,1500.0
20:28:13,-0.0005415865161921829,0.0011365223326720297,0.02004600316286087,0.0003152351710014045,0.0002273384016007185,0.001468340982683003,-35.3632621,149.1652375,4.0,0.0,0.0,0.0,AUTO,0.0,1.0,-1000.0,1.0,1.0,0.5,1500.0
20:28:15,-8.104396329144947e-06,0.0016812573303468525,0.019589483737945557,0.00038671246147714555,0.00034229177981615067,0.0012932574027217925,-35.3632621,149.1652375,1.0,0.0,0.0,0.0,AUTO,0.0,1.5,-1000.0,0.5,0.5,1.0,1500.0
20:28:17,0.028262807987630367,-0.0016470943810418248,0.019352775067090988,0.04616972245275974,-0.0076186612714082,0.0025399101432412863,-35.36326205,149.1652376,1584.0,0.5,8.0,-145.5,AUTO,0.0,-0.5,-1012.0,46.5,-6.5,2.0,1500.0
20:28:19,-0.03969231806695461,0.04910445027053356,-0.13007572293281555,-0.024138303007930517,-0.02112510520964861,-0.08196107670664787,-35.3632612,149.16524535000002,4631.5,-16.5,31.5,-148.0,AUTO,6.0,-5.0,-1002.5,-23.0,-20.0,-81.5,1500.0
20:29:55,0.0019451262429356574,0.0006919979903614148,-0.17582023441791533,-0.00461426789406687,0.0015005951863713562,0.018828881531953813,-35.3632625,149.16523752,30021.4,0.2,6.8,-152.0,AUTO,0.0,-1.0,-1000.0,-3.0,1.8,18.6,1500.0
20:30:13,0.0021537127904593945,0.0012710001901723444,-0.1281786561012268,0.0006852502701804042,-0.00031858455622568727,0.011511828750371933,-35.3632622,149.1652379,35212.0,0.0,0.0,-153.0,AUTO,0.0,0.0,-1000.0,1.0,0.0,11.5,1500.0
20:30:27,0.002822734027480086,0.0016652822184065978,-0.11244197189807892,0.003951018288110693,0.0014267000369727612,0.009048232498268286,-35.3632621,149.16523766666668,37750.0,0.0,0.0,-153.0,AUTO,0.0,0.0,-1000.3333333333334,4.666666666666667,2.3333333333333335,8.333333333333334,1500.0
20:31:24,0.029157493263483047,-0.055398911237716675,0.31119006872177124,-0.16888557374477386,0.0022252590861171484,-0.02661878429353237,-35.3632647,149.1652327,47630.0,-6.0,-15.0,-28.0,BRAKE,0.0,15.0,-937.0,-162.0,3.0,-26.0,1500.0
20:31:26,-0.00404803061180494,0.005702362326039954,0.24570904130285437,-0.5164897368204865,0.018137915165756236,-0.03150727614675733,-35.3632627,149.16523483636362,47508.09090909091,10.727272727272727,12.818181818181818,54.0,ALT_HOLD,-2.272727272727273,-26.727272727272727,-931.6363636363636,-516.8181818181819,19.454545454545453,-30.454545454545453,1500.0
20:31:27,0.003868071468208324,-0.0021948010703040795,0.17947921698743646,0.4317744157531045,-0.002153620388443497,-0.016263805562630296,-35.36326322727273,149.1652338090909,43270.545454545456,-7.818181818181818,1.5454545454545454,124.9090909090909,AUTO,2.090909090909091,28.545454545454547,-1069.8181818181818,436.8181818181818,-0.8181818181818182,-15.454545454545455,1500.0
20:31:28,-0.009893331657319019,-0.00540467716443042,0.14178984612226486,-0.22131059101472297,-0.0011932082124985754,-0.011689121214052042,-35.36326473333333,149.16523481666664,42091.5,4.5,-7.333333333333333,-36.833333333333336,AUTO,0.0,-2.2,-1050.0,-165.2,-0.8,-9.4,1500.0
20:31:29,0.022795475990278646,-0.0056536433403380215,0.1218144129961729,0.02338904574571643,-0.0028813384924433194,-0.004306325150537305,-35.363264612500004,149.1652339125,44017.0,4.5,3.125,-125.5,AUTO,-0.75,0.25,-1026.125,24.25,-1.875,-3.5,1500.0
20:31:30,-0.023279886692762375,0.01285736138621966,0.06986171628038089,-0.2056922217210134,-0.008481076608101526,-0.06250147397319476,-35.36326403333333,149.1652387,47024.333333333336,0.6666666666666666,52.0,-142.0,AUTO,4.333333333333333,-11.666666666666666,-999.3333333333334,-203.66666666666666,-7.666666666666667,-61.666666666666664,1500.0
20:31:31,0.01471523754298687,-0.006293888669461012,0.08844494819641113,0.15866196155548096,-0.024105993720392387,0.027246113400906324,-35.363264066666666,149.16523085000003,49294.166666666664,-3.8333333333333335,-62.333333333333336,-80.0,AUTO,-5.833333333333333,13.666666666666666,-952.1666666666666,159.66666666666666,-23.0,28.0,1500.0
20:31:32,0.025145218358375132,0.002826913201715797,0.08189736306667328,0.3182581290602684,0.01712283305823803,0.0035980126122012734,-35.3632641,149.16522790000002,50189.333333333336,3.3333333333333335,43.0,-8.333333333333334,AUTO,3.25,26.75,-964.5,325.0,17.75,3.75,1500.0
20:31:33,0.007792302252103885,-0.0015158950506399076,0.07465709994236629,1.0182230472564697,-0.05694746598601341,0.00040063199897607166,-35.3632639,149.1652329,50115.333333333336,-0.3333333333333333,26.0,16.333333333333332,AUTO,4.666666666666667,33.666666666666664,-1012.6666666666666,1020.6666666666666,-55.666666666666664,0.3333333333333333,1500.0
20:31:34,0.03744042773083176,-0.014746345741593319,0.5184423920253048,-0.08456939199696416,0.05100998308752542,0.271434853435494,-35.36325911111111,149.16524385555556,49975.666666666664,47.333333333333336,75.22222222222223,-0.7777777777777778,BRAKE,-9.777777777777779,-6.222222222222222,-1011.4444444444445,218.33333333333334,44.888888888888886,289.3333333333333,1500.0
20:31:35,0.0016992941268351085,0.0015371227821257586,0.6878659665584564,-0.06676806285977363,-0.00834089721320197,-0.0030029748411228257,-35.363252247058824,149.16526015882357,48376.17647058824,5.9411764705882355,18.176470588235293,91.52941176470588,AUTO,0.6470588235294118,-23.352941176470587,-984.0588235294117,-263.8235294117647,-6.823529411764706,-2.411764705882353,1500.0
20:31:36,-0.045476822182536125,-0.052670748283465706,0.868039200703303,0.5009866567949454,-0.046331782514850296,0.2453670889760057,-35.36325255,149.16527543333333,44789.5,62.5,38.166666666666664,21.5,AUTO,-9.166666666666666,8.166666666666666,-1061.0,505.5,-44.833333333333336,245.5,1500.0
