time_stamp,EK2_ALT_SOURCE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,alt,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
09:10:40,0.0,0.0013709638733416796,0.007277601980604231,-0.09513999707996845,0.06636636517941952,0.00957898108754307,-0.0002560600114520639,592.1799926757812,-5.0,12.0,-1003.25,66.0,9.75,-1.0,AUTO,592180.0,-35.363261525,149.1652383,8277.0,-11.25,-55.25,-147.75,1500.0
09:10:42,0.0,0.0360896272584796,-0.022760788910090923,-0.05826311856508255,-0.061425461620092395,-0.02152262404561043,0.03001970760524273,594.74599609375,2.0,-0.6,-998.0,-61.0,-20.6,29.4,AUTO,594746.0,-35.3632635,149.1652337,10839.8,-4.4,13.8,-146.0,1500.0
09:10:51,0.0,0.00011981216569741567,0.003760482960691055,-0.2634718716144562,0.004753792813668649,0.0016257371801960592,-0.0046461949435373144,609.4449869791666,0.0,0.3333333333333333,-999.6666666666666,4.666666666666667,2.1666666666666665,-5.166666666666667,AUTO,609445.0,-35.36326210000001,149.16523636666668,25539.166666666668,-2.5,-0.8333333333333334,-153.0,1500.0
09:11:06,0.0,0.0021837789099663496,0.001832746947184205,-0.11022868454456329,0.0005094606894999743,0.0003517672652378678,0.007886767387390137,627.3999877929688,0.0,0.0,-1000.0,1.0,0.6,7.6,AUTO,627400.0,-35.363262039999995,149.16523733999998,43495.8,-0.8,1.0,-153.0,1500.0
09:11:26,0.0,0.07891496643424034,-0.11624913290143013,-2.9894434213638306,0.010161342099308968,0.03667485062032938,-0.0019507779215928167,633.9199829101562,-134.83333333333334,-68.5,-983.6666666666666,9.666666666666666,37.166666666666664,-1.3333333333333333,AUTO,633920.0,-35.363746866666666,149.16518551666664,50014.666666666664,-674.0,-60.833333333333336,-2.0,1500.0
09:12:06,0.0,0.00654556043446064,0.0011064950376749039,-3.030358076095581,0.010802497155964375,-0.0023732460103929043,8.558854460716248e-06,633.8900146484375,0.0,-20.0,-991.0,5.0,0.0,0.0,RTL,633890.0,-35.3632588,149.1652393,49987.0,1.0,-13.0,-1.0,1500.0
09:12:21,0.0,0.0016757009783759714,0.00479675242677331,-3.031904411315918,-1.033855353295803,-0.006222127191722393,0.0016803348204120993,626.68798828125,-0.8,-58.6,-1032.8,-1040.0,-2.8,2.8,RTL,626688.0,-35.36326258,149.1652376,42782.8,5.0,0.4,105.8,1500.0
09:12:23,0.0,-0.007383294723695144,0.004445826692972332,-3.031883656978607,-1.0614053010940552,0.003663096926175058,0.0011728510144166648,624.9449768066406,-0.75,-21.25,-1012.0,-1050.0,6.75,2.5,RTL,624945.0,-35.363262575,149.16523842499998,41037.5,4.25,-4.75,99.0,1500.0
09:12:24,0.0,0.022661041002720594,0.006844750023446977,-3.033366024494171,0.0036932844668626785,0.002369926718529314,-0.0031349766068160534,623.510009765625,1.75,-47.5,-963.0,-8.5,5.5,-1.75,RTL,623510.0,-35.3632626,149.1652385,39603.5,3.5,-6.0,97.75,1500.0
09:12:36,0.0,0.04508803337812424,0.0064955661073327065,-3.032816982269287,0.7549798727035523,0.0036673789843916895,0.0042177106253802775,611.6819946289063,2.4,-5.2,-990.6,748.0,6.4,5.4,RTL,611682.0,-35.3632628,149.16524156,27777.4,5.0,-32.8,102.2,1500.0
