time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,VFR_HUD_alt,EK2_ALT_SOURCE
13:38:30,1500.0,0.06133843809366226,-0.10848067700862885,1.1596186399459838,0.02211378514766693,0.035137794353067874,0.008716383250430226,626468.0,-35.362498800000004,149.16659548,42522.8,91.0,250.2,-58.2,AUTO,-53.6,-28.0,-1013.6,23.2,36.6,9.2,626.4679809570313,0.0
13:40:30,1500.0,0.007703755516558886,-0.02075822614133358,-1.3058712244033814,-0.010008582565933465,-0.005664181150496006,-0.03062177784740925,629742.0,-35.363875820000004,149.16592432000002,45797.0,38.4,-92.8,-103.8,AUTO,-14.2,-11.8,-993.2,-3.4,-1.8,-27.0,629.7419799804687,0.0
