time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,MODE
12:55:24,226616.0,0.0003986042720498517,0.0015584511565975845,0.027595503255724907,0.0001678861299296841,0.00027205182414036244,0.0022410107776522636,0.0,1.0,-1000.0,0.0,0.0,0.0,-35.3632621,149.1652374,0.0,-1.0,1.0,0.0,STABILIZE
12:55:38,226616.0,-0.0012209228589199483,0.0009822563151828945,0.02243833802640438,0.00030138561851345,0.0002533776860218495,0.0015475783729925752,0.0,1.5,-1000.0,0.0,0.0,0.0,-35.3632622,149.1652375,0.0,-1.0,1.0,1.0,AUTO
12:55:39,1494.0,-0.001133838901296258,0.0009985499491449445,0.022244575899094343,0.00028463797934819013,0.0002761312498478219,0.0015331993636209518,0.0,1.0,-1000.0,0.0,0.5,0.0,-35.36326215,149.1652375,6.0,-0.5,0.25,0.25,AUTO
12:55:40,1494.0,-0.00098820507992059,0.0011011400492861867,0.022104480303823948,0.00031121462234295905,0.00024131129612214863,0.0015526919160038233,0.0,1.5,-1000.0,0.0,0.5,0.5,-35.3632621,149.1652375,6.5,0.0,0.0,0.0,AUTO
12:55:42,1494.0,-0.0005566364852711558,0.001663876639213413,0.021650072187185287,0.00033899807021953166,0.0002630686794873327,0.0014950055629014969,0.0,1.0,-1000.0,1.0,0.0,0.5,-35.3632621,149.1652375,11.5,0.0,0.0,0.0,AUTO
12:55:43,252085.0,0.0039922498690430075,0.0009302391663368326,0.021335570607334375,0.011265683540841565,0.0005720700864912942,0.0007904681260697544,0.0,0.0,-1093.0,11.75,0.5,0.0,-35.3632621,149.1652375,585.75,0.0,0.75,-108.25,AUTO
12:55:44,252085.0,0.027851478196680546,-0.001985608018003404,0.02101235557347536,0.04603842459619045,-0.00784134166315198,0.0023753163404762745,0.0,-0.5,-1012.5,46.0,-6.5,1.5,-35.363262,149.1652376,1591.0,1.0,8.0,-146.5,AUTO
12:55:46,252085.0,-0.03625160921365023,-0.016918559093028307,-0.038376426324248314,-0.051391780376434326,0.018169023096561432,-0.038424798753112555,2.0,-9.0,-1000.5,-50.0,19.0,-39.0,-35.36326065,149.16524545,4656.5,12.0,31.5,-149.0,AUTO
12:55:47,300000.0,-0.05395529139786959,0.025365028530359268,-0.13067619502544403,0.058685123920440674,0.004395476484205574,-0.036749484948813915,-4.25,7.25,-1001.5,59.0,4.5,-36.75,-35.363259975,149.16524422499998,6573.5,-12.0,-45.25,-149.0,AUTO
12:55:48,300000.0,-0.005290121422149241,0.02800371404737234,-0.14582321792840958,0.07146072760224342,0.0022018025047145784,-0.009104067692533135,-2.0,15.5,-1003.5,72.0,2.0,-9.0,-35.3632614,149.16523965,7726.0,-34.5,-58.5,-150.5,AUTO
12:55:50,300000.0,0.05220971442759037,-0.07432514056563377,-0.021472237538546324,0.035502009093761444,-0.022188701666891575,0.06119118630886078,0.0,-1.0,-998.5,35.5,-21.5,60.5,-35.363267199999996,149.1652334,10846.0,14.0,11.0,-151.5,AUTO
12:55:51,45487.0,-0.01944577321410179,0.004071183619089425,-0.08476360980421305,-0.08360789972357452,0.10305055975914001,-0.124808294698596,-11.0,-16.5,-1010.0,-82.25,103.25,-124.5,-35.3632612,149.165237525,12742.0,69.0,31.5,-148.5,AUTO
12:55:52,45487.0,-0.04901705123484135,0.05023103021085262,-0.17204485088586807,0.007986769429408014,0.03699659835547209,-0.08388886973261833,-8.0,-7.5,-1006.0,8.5,37.0,-84.0,-35.363257149999995,149.1652389,13904.5,37.5,-3.0,-154.0,AUTO
