time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
05:23:35,-0.0010239121038466692,0.000951927388086915,0.0227197352796793,3.743398701772094e-05,0.0003108812961727381,0.001676300074905157,0.0,2.0,-1000.0,0.0,1.0,0.0,STABILIZE,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,1500.0
05:23:49,-0.0008537283865734935,0.001090597128495574,0.02001424226909876,0.0003829693887382746,0.0003059610608033836,0.0012391849304549396,0.0,2.0,-1000.0,1.0,0.5,0.5,AUTO,-35.3632621,149.1652375,0.0,0.0,0.0,0.0,1500.0
05:23:51,-2.6714021259977017e-05,0.0016247976454906166,0.01963395345956087,0.00031515173031948507,0.00029220234137028456,0.0012318709050305188,0.0,1.0,-1000.0,1.0,0.5,0.5,AUTO,-35.3632621,149.16523745,0.0,0.0,0.0,1.0,1500.0
05:23:52,0.0027417644487286452,0.0006472278637374984,0.019543759990483522,0.0037476173165487126,-0.002027908732998185,0.0017375820316374302,0.0,0.25,-1084.75,4.25,-1.0,1.0,AUTO,-35.3632621,149.165237425,53.5,0.0,0.25,-26.0,21408.0
05:23:53,0.015321904793381691,0.0003013557579834014,0.019218022003769875,0.04656488075852394,-0.0068135447800159454,0.0015470001380890608,0.0,0.0,-1032.0,47.0,-5.5,1.0,AUTO,-35.36326205,149.1652375,1173.5,0.0,2.5,-139.5,21408.0
05:23:55,-0.027283175848424435,0.01021462120115757,-0.060924407094717026,-0.03704443201422691,-0.04108508862555027,-0.02369274664670229,4.0,-8.5,-1009.0,-36.0,-40.0,-23.5,AUTO,-35.36326095,149.1652444,4205.5,3.0,42.0,-147.5,21408.0
05:23:57,-0.0239114323630929,0.008015666622668505,-0.11545884609222412,0.06617191806435585,0.00952846510335803,-0.006559245986863971,-6.0,12.0,-1002.5,66.5,9.5,-6.0,AUTO,-35.363261,149.1652418,7277.5,-12.0,-59.5,-149.5,21408.0
05:23:58,0.02696191016002558,0.014104997273534536,-0.11539879254996777,0.06829693168401718,0.004975127667421475,0.001376203857944347,-3.0,12.5,-1003.5,68.5,5.25,1.0,AUTO,-35.363262199999994,149.16523705,8441.25,-22.0,-47.5,-152.25,56994.0
05:23:59,0.05231868289411068,-0.04914296232163906,-0.05582949332892895,-0.019201822578907013,-0.09803608059883118,0.11706651002168655,5.0,-0.5,-1000.0,-18.0,-96.5,116.5,AUTO,-35.363264799999996,149.16523435,10394.0,-9.5,19.5,-150.5,56994.0
05:24:01,-0.019625116139650345,0.02650607470422983,-0.15978484600782394,0.04092624597251415,0.017791904509067535,-0.04971594549715519,-7.5,-1.5,-1002.0,41.5,18.0,-49.0,AUTO,-35.36325995,149.16523719999998,13474.0,20.5,-14.5,-153.0,56994.0
05:24:03,0.013151438441127539,0.007504316745325923,-0.16607949882745743,-0.01662568561732769,-0.015302572399377823,0.005485004105139524,3.5,1.0,-999.5,-15.0,-13.5,5.0,AUTO,-35.3632604,149.16523504999998,16600.5,-18.0,8.0,-152.0,133722.5
05:24:05,-0.0478877667337656,0.0024135259445756674,-0.18713313341140747,-0.10410270467400551,0.0549100274220109,0.08186689577996731,0.5,0.5,-984.5,-102.5,55.5,81.5,AUTO,-35.363262250000005,149.16523635,19863.0,-6.0,-6.0,-148.5,210451.0
05:24:07,0.060692233964800835,-0.03326642420142889,0.03618619404733181,-0.029164867475628853,0.028284267522394657,-0.013937977142632008,0.0,-1.5,-968.5,-27.5,29.0,-13.5,AUTO,-35.3632652,149.1652311,22068.5,3.5,14.5,-66.0,210451.0
05:24:08,0.028003174113109708,-0.007422541966661811,0.0330683970823884,-0.04465969651937485,0.03327973000705242,0.0005636300847982056,0.25,-9.0,-977.0,-43.25,34.0,0.25,AUTO,-35.363264275000006,149.16523322499998,22479.5,18.0,37.25,-46.0,14693.0
05:24:09,-0.009330720640718937,0.01547294296324253,0.029918904416263103,-0.01293059135787189,0.0025622736429795623,-0.0017812007572501898,0.0,-7.5,-974.0,-12.0,3.0,-1.5,AUTO,-35.36326205,149.16523805,22884.0,12.5,28.5,-17.5,14693.0
05:24:11,-0.040920184925198555,0.010018443688750267,0.022472094744443893,-0.27914596907794476,-0.007009319378994405,-0.005869413958862424,-2.5,-11.0,-1018.5,-279.0,-5.5,-5.5,AUTO,-35.3632622,149.16523705,22689.0,-18.0,-41.5,7.0,14693.0
05:24:13,-0.06120346114039421,-0.08403307944536209,-1.0110589265823364,0.31118061393499374,-0.051813943311572075,-0.7198538482189178,-33.5,16.5,-997.0,311.5,-50.5,-719.5,AUTO,-35.3632679,149.16521765,22625.5,-48.5,-137.0,0.5,14693.0
05:24:14,-0.016376148909330368,-0.1473033782094717,-1.547020971775055,-0.07213117368519306,-0.05098111415281892,-0.6812423020601273,-53.5,-17.0,-1001.25,-71.0,-49.5,-680.5,AUTO,-35.363272175,149.165202875,22583.75,-71.0,-204.5,2.75,154348.0
05:24:15,0.05639252811670303,-0.1745196208357811,-1.8872071504592896,-0.05168220400810242,-0.03144749067723751,0.10042282566428185,-72.5,-50.0,-998.5,-50.5,-29.5,99.5,AUTO,-35.3632828,149.16516554999998,22486.0,-110.0,-335.0,5.5,154348.0
05:24:17,0.0699022077023983,-0.1564752757549286,-1.8634288907051086,0.02180558629333973,-0.004816936445422471,-0.00362003930422361,-106.0,-61.5,-992.0,22.5,-3.5,-3.0,AUTO,-35.3633079,149.16507074999998,22308.0,-154.0,-500.0,6.5,154348.0
