time_stamp,RTL_ALT,EK2_ALT_SOURCE,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro
17:31:09,1500.0,0.0,AUTO,0.0015674101741751656,0.00047723844545544125,0.020279339514672756,3.794289659708738e-05,-0.000311262090690434,0.0011785355600295588,584135.0,-35.36326215,149.1652374,159.75,0.0,0.0,-50.5,584.1349792480469,0.0,0.0,-1102.0,0.5,0.25,1.0
17:31:12,1500.0,0.0,AUTO,-0.03137782030639106,0.01527886069379747,-0.0957751524235521,-0.1048069532428469,-0.01775063973452364,-0.04764480172057769,589047.1428571428,-35.363260714285715,149.16524898571427,5072.714285714285,-0.7142857142857143,53.857142857142854,-147.0,589.0471278599331,6.714285714285714,-11.285714285714286,-1002.4285714285714,-103.85714285714286,-16.857142857142858,-47.42857142857143
17:31:19,1500.0,0.0,AUTO,-0.053848166950047016,0.03895129868760705,-0.13854254223406315,-0.020220675854943693,0.060542027465999126,-0.10166631639003754,600582.5,-35.363254,149.16524514999998,16608.25,103.25,48.25,-156.0,600.5824890136719,-12.25,-27.0,-1012.5,-19.25,60.75,-101.25
17:31:24,1500.0,0.0,AUTO,-0.0790192186832428,-0.06131164915859699,-0.1980171874165535,-0.03684834286104888,0.12839997000992298,-0.1685452088713646,609782.5,-35.363266374999995,149.165238675,25808.75,137.5,-41.0,-138.5,609.7824859619141,-26.25,-15.25,-1015.5,-36.0,128.5,-168.0
17:31:48,1500.0,0.0,AUTO,0.03480470060215642,0.029610054877897102,-0.30711808303991955,0.018169164114321273,-0.002556647639721632,0.1615359652787447,633423.3333333334,-35.36331228333333,149.16515486666668,49446.166666666664,-26.666666666666668,-7.833333333333333,-141.0,633.423329671224,-0.5,7.666666666666667,-976.8333333333334,20.833333333333332,-1.6666666666666667,162.33333333333334
17:31:58,1500.0,0.0,AUTO,0.04949681051075459,0.04096099236048758,1.0756762266159057,-0.11658924296498299,0.05958978540729731,0.013503680191934108,626662.0,-35.36324434000001,149.16523702,42684.2,44.8,23.4,117.6,626.6619750976563,-16.2,-50.0,-1030.4,-122.8,61.2,14.4
17:32:00,1500.0,0.0,AUTO,0.013883781308929125,0.008861966586361328,1.0867219765981038,0.03160239259401957,-0.03516262552390496,-0.017748695526582498,625323.3333333334,-35.363241333333335,149.16523985,41347.666666666664,-11.5,6.833333333333333,37.166666666666664,625.3233133951823,-1.3333333333333333,19.166666666666668,-1041.5,39.166666666666664,-33.666666666666664,-16.0
17:32:09,1500.0,0.0,ALT_HOLD,-0.019941281294450164,-0.0016296458343276754,1.0448679029941559,-1.1671348810195923,-0.013610789086669683,0.027029971592128277,622707.5,-35.36312965,149.16543554999998,38729.5,224.25,202.75,192.0,622.7074890136719,-73.75,-47.25,-1008.75,-1159.5,-11.25,28.0
17:32:24,1500.0,0.0,AUTO,-0.00032093131449073553,0.004759379848837853,1.055137538909912,-0.3389399334788322,-0.07831616550683976,0.019425711408257485,610520.0,-35.3629005,149.16578608,26542.8,72.6,46.4,50.4,610.5199829101563,-18.6,-0.4,-1082.4,-331.6,-75.6,21.8
17:32:30,1500.0,0.0,AUTO,0.05203238608581679,-0.07843157649040222,1.0732756171907698,0.0034091219838176456,0.008094401464664511,-0.001362909745824124,613015.7142857143,-35.36283542857143,149.16591908571428,29040.428571428572,186.57142857142858,333.2857142857143,-81.85714285714286,613.0156947544643,-72.71428571428571,-40.857142857142854,-991.8571428571429,4.428571428571429,10.285714285714286,0.42857142857142855
17:32:48,1500.0,0.0,AUTO,0.054024675861001015,0.1428982187062502,1.1812260448932648,-0.6757934093475342,0.07758720964193344,0.21572819678112864,616472.5,-35.362462175,149.166690875,32497.0,70.5,76.75,131.5,616.4724884033203,-24.75,1.25,-1118.0,-666.0,80.25,217.25
17:32:50,1500.0,0.0,AUTO,0.04474366006130973,0.04224168974906206,1.254541317621867,0.40588725327203673,0.05012861214345321,0.0024431676914294562,615545.0,-35.36245846666667,149.16669356666668,31569.0,-28.333333333333332,-12.166666666666666,1.6666666666666667,615.5449727376302,0.5,24.0,-1032.8333333333333,410.6666666666667,52.833333333333336,4.166666666666667
17:33:20,1500.0,0.0,AUTO,0.014306908783813318,-0.0013868452418440331,0.9997581044832865,0.020333314314484596,-0.006453126358489196,0.00046617529975871247,622536.6666666666,-35.362389,149.16690986666666,38562.333333333336,-23.0,25.333333333333332,-140.0,622.5366414388021,0.0,-5.333333333333333,-1019.3333333333334,23.333333333333332,-3.0,2.3333333333333335
17:33:28,1500.0,0.0,ALT_HOLD,-0.07939414254256658,-0.0006202227668836713,1.0198121581758772,0.5028744430414268,-0.00754406229991998,-0.0016369006064321315,632270.0,-35.36236711428572,149.16688238571427,48292.142857142855,79.42857142857143,-196.14285714285714,111.85714285714286,632.270002092634,2.142857142857143,85.71428571428571,-843.7142857142857,510.57142857142856,-4.428571428571429,1.0
17:33:38,1500.0,0.0,ALT_HOLD,0.03128110012039542,-0.0016970401862636208,1.9860925197601318,1.2135109782218934,0.0029637217987328766,-0.015849438309669495,630394.0,-35.36238734,149.16696874,46420.4,-15.2,119.6,189.8,630.3939819335938,-33.2,34.4,-976.0,1216.0,6.0,-13.0
