time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,RTL_ALT,MODE
05:42:07,-0.0008206075872294605,0.0010785447084344923,0.02563575468957424,0.00022939738119021058,0.0002785232209134847,0.0020599213894456625,0.0,1.0,-1000.0,0.0,1.0,0.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,1500.0,STABILIZE
05:42:13,-0.0006141295889392495,0.000954840041231364,0.023453468456864357,0.00034998299088329077,0.0003592822467908263,0.0017211975064128637,0.0,1.0,-1000.0,0.0,1.0,0.0,-35.3632621,149.1652375,0.0,-1.0,1.0,-1.0,1500.0,STABILIZE
05:42:15,-0.0007226343732327223,0.0009662319207563996,0.022887684404850006,0.00026325747603550553,0.0003078966401517391,0.0016815508715808392,0.0,1.0,-1000.0,0.0,0.0,0.0,-35.3632622,149.1652375,0.0,-1.0,0.0,-2.0,1500.0,STABILIZE
05:42:19,-0.0006180164928082377,0.000980808981694281,0.021769789047539234,0.000280125968856737,0.0002780663489829749,0.0015409647021442652,0.0,1.5,-1000.0,0.0,0.5,0.0,-35.3632622,149.1652375,5.0,-1.0,1.0,0.0,1500.0,AUTO
05:42:20,-0.00048704547225497663,0.0011974337394349277,0.02144800964742899,0.00025949240080080926,0.0002843857364496216,0.0014740558108314872,0.0,1.25,-1000.0,0.25,0.5,0.0,-35.3632621,149.1652375,4.5,0.0,0.0,0.0,182484.0,AUTO
05:42:21,-0.0003191843570675701,0.001398012915160507,0.02123174536973238,0.0002711645793169737,0.00022608612198382616,0.0015044992323964834,0.0,1.5,-1000.0,0.5,0.5,1.0,-35.3632621,149.1652375,3.5,0.0,0.0,0.0,182484.0,AUTO
05:42:23,0.002651369315572083,0.0006414586896426044,0.020771206356585026,-0.00665599899366498,0.003173945937305689,0.0013328328495845199,0.0,0.0,-1119.5,-5.5,3.5,1.0,-35.3632621,149.1652375,307.5,0.0,0.0,-86.5,182484.0,AUTO
05:42:24,0.039864165242761374,-0.004351051495177671,0.020276273600757122,0.043284254148602486,-0.008975714794360101,0.0029563790594693273,0.5,-2.0,-1006.25,43.75,-7.75,2.0,-35.363261924999996,149.16523805,1971.0,2.5,17.0,-146.75,182384.0,AUTO
05:42:25,0.050156569108366966,0.003121023066341877,-0.021459275856614113,-0.08489738404750824,0.06213347613811493,-0.07845686189830303,2.0,-10.5,-991.5,-83.5,62.5,-78.5,-35.363261449999996,149.16524055,3121.0,9.0,48.5,-145.5,182384.0,AUTO
05:42:27,-0.05875003710389137,-0.014834122266620398,-0.08187906071543694,0.05363387055695057,0.0028665874851867557,0.001340157090453431,-2.5,5.5,-1001.5,54.0,3.0,0.5,-35.36326135,149.16524514999998,6164.0,-1.0,-37.0,-148.0,182384.0,AUTO
05:42:28,0.01912402326706797,-5.832247552461922e-05,-0.0810564998537302,0.06454878114163876,0.01543324370868504,0.004467749851755798,-7.25,11.0,-1003.25,64.5,15.5,3.75,-35.3632613,149.16523767500001,8094.0,0.75,-52.25,-150.75,141584.0,AUTO
05:42:29,0.06223205849528313,0.01156468503177166,-0.08104205504059792,0.03508133674040437,0.0261674914509058,-0.017217189189977944,-3.5,6.0,-999.5,35.0,26.0,-17.5,-35.36326135,149.1652342,9269.0,-3.0,-18.0,-152.0,141584.0,AUTO
05:42:31,-0.017115085385739803,-0.008789369836449623,-0.09987141564488411,0.0024556011194363236,-0.0006041855085641146,-0.020211578346788883,2.0,-1.5,-1001.5,3.0,0.0,-20.0,-35.363262649999996,149.16523675,12353.5,-1.5,9.0,-151.0,141584.0,AUTO
