time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
17:28:07,1500.0,-35.3632622,149.1652375,72.0,-1.0,2.0,0.0,0.0,1.0,-1000.0,0.0,0.0,1.0,STABILIZE,-0.0007443474605679512,0.0009666532860137522,0.02348562516272068,0.00013085507089272141,0.00029921019449830055,0.0017517900560051203
17:28:13,1500.0,-35.3632622,149.1652375,4.5,-1.0,1.0,1.0,0.0,1.0,-1000.0,0.0,0.5,0.5,AUTO,-0.0011697426089085639,0.0010056771570816636,0.022022636607289314,0.00027360464446246624,0.00035670571378432214,0.0014808928244747221
17:28:14,158986.0,-35.3632621,149.1652375,3.0,0.0,0.0,0.75,0.0,1.25,-1000.0,0.25,1.0,0.75,AUTO,-0.0011258786544203758,0.0010990434675477445,0.021872850134968758,0.00025402534811291844,0.00025984829699154943,0.0015214394952636212
17:28:15,158986.0,-35.3632621,149.1652374,15.5,0.0,-1.5,-3.0,0.0,1.5,-1000.0,0.5,0.5,0.5,AUTO,-0.0009083482145797461,0.0013834625133313239,0.021620758809149265,0.00030706520192325115,0.0002493382489774376,0.0014222742174752057
17:28:17,158986.0,-35.3632621,149.1652374,345.5,0.0,0.0,-91.0,0.0,0.0,-1119.0,0.0,4.5,0.5,AUTO,0.000170473907928681,0.0007064906531013548,0.02110301796346903,-0.00039615441346541047,0.004178715869784355,0.0013462861825246364
17:28:18,100852.0,-35.363262075,149.16523745,1284.5,0.25,4.5,-141.0,0.0,-0.25,-1035.0,41.0,-4.0,1.25,AUTO,0.01822779281064868,-0.0005836515847477131,0.020897972863167524,0.0409904676489532,-0.005177065322641283,0.0016799403456388973
17:28:19,100852.0,-35.3632615,149.16524025,3181.5,8.5,49.5,-146.5,1.5,-11.0,-991.0,-91.5,59.5,-77.5,AUTO,0.049291543662548065,0.0036966288462281227,-0.01984124816954136,-0.09246693458408117,0.059458816424012184,-0.0775919109582901
17:28:21,100852.0,-35.363261,149.1652453,6234.0,-1.5,-35.5,-149.0,-3.0,5.5,-1001.0,54.0,0.0,-8.0,AUTO,-0.06553990207612514,-0.00604177825152874,-0.09032880142331123,0.05418331362307072,-0.000784168834798038,-0.008389457128942013
17:28:22,200.0,-35.3632612,149.165240925,7384.75,-4.25,-59.0,-149.75,-6.5,11.0,-1002.5,65.5,12.0,-0.5,AUTO,-0.01961664587724954,-0.0004888226831099018,-0.09461608156561852,0.06521540135145187,0.011799593921750784,-0.0002164523466490209
17:28:23,200.0,-35.363262250000005,149.16523389999998,9339.5,-14.5,-21.0,-153.0,-2.0,9.0,-1001.5,61.0,1.5,4.0,AUTO,0.062273552641272545,0.011759351007640362,-0.09090250357985497,0.060812126845121384,0.0005351058207452297,0.005115698324516416
17:28:25,200.0,-35.363262250000005,149.1652372,12418.0,14.0,7.0,-150.5,-0.5,-4.5,-1003.5,9.5,17.0,-51.0,AUTO,-0.030738304369151592,-0.0005341086653061211,-0.10967200249433517,0.009693381027318537,0.01674080640077591,-0.05158678814768791
17:28:26,300000.0,-35.363261449999996,149.16523695,13589.75,7.5,-9.5,-151.75,-3.0,0.0,-1000.75,31.25,9.75,-30.75,AUTO,-0.011628924396063667,0.008250508923083544,-0.1412287801504135,0.031136156525462866,0.009385022334754467,-0.030668708961457014
17:28:27,300000.0,-35.363261,149.16523545,15535.0,-3.5,-4.5,-151.0,-0.5,1.0,-999.0,1.5,-3.0,-5.0,AUTO,0.012169611174613237,0.010282842442393303,-0.1606040894985199,0.0008825813420116901,-0.0043165606912225485,-0.005290198838338256
