time_stamp,lat,lon,relative_alt,vx,vy,vz,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro
04:55:49,-35.3632621,149.1652375,0.0,-1.0,0.0,0.0,99962.0,-0.0010491542052477598,0.0009250766888726503,0.02434970997273922,0.0003208790731150657,0.00021613965509459376,0.0018037340487353504,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.0
04:55:59,-35.3632622,149.1652375,2.6666666666666665,-1.0,1.0,0.0,174426.0,-0.001076726436925431,0.0009881032941242058,0.021817148352662723,0.00029562107132126886,0.0002573262706088523,0.0014712334765742223,AUTO,0.0,1.0,-1000.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
04:56:01,-35.3632621,149.1652375,0.0,0.0,0.0,0.0,174426.0,-0.0004774825453447799,0.0012831368949264288,0.021358928332726162,0.00036780047230422497,0.00033565034391358495,0.0014330589910969138,AUTO,0.0,1.6666666666666667,-1000.0,0.0,0.0,0.6666666666666666
04:56:02,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,215111.0,-0.00014391863320876533,0.0016495557113861044,0.021017436559001606,0.00040630872050921124,0.0002738491748459637,0.0014158590929582715,AUTO,0.0,1.3333333333333333,-1000.0,0.6666666666666666,1.0,0.3333333333333333
04:56:03,-35.3632621,149.16523746666667,117.33333333333333,0.0,0.0,-47.333333333333336,215111.0,0.0029745836897442737,0.00015275931218639016,0.02083255226413409,0.0015827176781992118,-0.0012395878632863362,0.0019172133761458099,AUTO,0.0,0.0,-1132.6666666666667,2.0,-0.6666666666666666,1.3333333333333333
04:56:05,-35.36326176666667,149.16523913333333,2664.6666666666665,6.0,34.333333333333336,-148.33333333333334,83332.0,0.055187370628118515,-0.00666779326274991,0.009790565197666487,0.009353730827569962,0.013459988869726658,-0.02278449518295626,AUTO,1.0,-5.666666666666667,-997.0,10.0,14.333333333333334,-23.333333333333332
04:56:07,-35.363261200000004,149.16524603333332,5717.333333333333,-4.333333333333333,-13.666666666666666,-149.0,83332.0,-0.06910613427559535,-0.011619880329817533,-0.08504021912813187,-0.0005066078156232834,-0.02691510187772413,0.010254841802331308,AUTO,0.6666666666666666,1.0,-1001.3333333333334,0.0,-26.0,10.0
04:56:08,-35.3632614,149.16524003333333,7647.333333333333,0.6666666666666666,-57.333333333333336,-151.0,207409.0,-0.003096020237232248,-0.0057154787161077065,-0.08596865336100261,0.0648021250963211,0.01480421299735705,0.004109199546898405,AUTO,-7.666666666666667,10.666666666666666,-1003.0,65.0,15.0,3.6666666666666665
04:56:09,-35.3632614,149.16523583333333,8824.0,-1.0,-36.666666666666664,-153.0,207409.0,0.0442084614187479,0.005263135729668041,-0.08378393451372783,0.05400088926156362,0.016761944939692814,-0.0016045149726172288,AUTO,-5.333333333333333,7.666666666666667,-1002.3333333333334,54.0,17.0,-2.0
04:56:11,-35.3632625,149.16523606666667,11916.666666666666,-4.333333333333333,13.0,-151.33333333333334,206507.0,-0.011001853737980127,-0.006612306305517753,-0.09496348599592845,-0.01327783455296109,-0.006092174289127191,-0.012364081883182129,AUTO,2.6666666666666665,-1.6666666666666667,-1002.0,-12.333333333333334,-5.0,-12.0
04:56:13,-35.36326209999999,149.16523593333332,15187.666666666666,3.6666666666666665,-4.0,-153.0,206507.0,0.006555358879268169,0.0031738459365442395,-0.14236332972844443,0.009026394536097845,0.006874777531872193,-0.020135909939805668,AUTO,-2.0,0.0,-1000.0,9.333333333333334,7.333333333333333,-20.0
04:56:14,-35.363261666666666,149.16523543333335,17136.0,0.0,2.3333333333333335,-153.0,224234.0,0.008683216758072376,0.0070449851142863435,-0.16393119096755981,-0.0023997113457880914,-0.0005577769867765406,-0.013230777656038603,AUTO,-0.3333333333333333,0.0,-1000.0,-1.6666666666666667,0.3333333333333333,-13.0
04:56:15,-35.3632616,149.16523556666664,18310.0,-1.6666666666666667,5.333333333333333,-153.0,224234.0,0.006183341921617587,0.005876578701039155,-0.17408892015616098,-0.0028542207243541875,-0.0013567903467143576,-0.013397584358851114,AUTO,0.0,0.0,-999.6666666666666,-1.6666666666666667,-0.3333333333333333,-13.0
04:56:17,-35.363263133333334,149.16523303333335,21262.666666666668,-30.333333333333332,-31.333333333333332,-119.33333333333333,10555.0,0.004367419363309939,0.00294232073550423,0.07053045307596524,0.11287705351909001,-0.12666983405749002,0.10520180749396484,AUTO,1.6666666666666667,8.333333333333334,-956.6666666666666,113.33333333333333,-125.33333333333333,105.0
04:56:19,-35.3632637,149.1652342,22957.333333333332,17.333333333333332,38.666666666666664,-54.666666666666664,10555.0,0.017148725998898346,-0.0029795715430130563,0.0539651724199454,-0.03500702418386936,0.028783488397796948,0.0013903588405810297,AUTO,0.0,-9.333333333333334,-976.6666666666666,-33.666666666666664,29.0,0.6666666666666666
04:56:20,-35.3632618,149.16523856666666,23459.333333333332,10.0,24.0,-25.333333333333332,203520.0,-0.010283632514377436,0.01437159813940525,0.05000993236899376,-0.0033134454861283302,0.0014995784731581807,-0.0018026402685791254,AUTO,0.3333333333333333,-5.333333333333333,-974.3333333333334,-2.3333333333333335,2.3333333333333335,-1.3333333333333333
04:56:21,-35.36326126666666,149.16523986666667,23559.666666666668,2.3333333333333335,8.666666666666666,-0.6666666666666666,203520.0,-0.021721348787347477,0.01778090527902047,0.04712776467204094,0.11675219765553872,0.005564262780050437,-0.003625071762750546,AUTO,0.0,9.333333333333334,-961.0,118.0,6.666666666666667,-3.3333333333333335
