,A.LAND1
11:58:29.593,-1.0
11:58:29.795,-1.0
11:58:29.998,-1.0
11:58:30.200,-1.0
11:58:30.402,-1.0
11:58:30.607,-1.0
11:58:30.808,-1.0
11:58:31.011,-1.0
11:58:31.213,-1.0
11:58:31.415,-1.0
11:58:31.616,-1.0
11:58:31.818,-1.0
11:58:32.024,-1.0
11:58:32.225,-1.0
11:58:32.428,-1.0
11:58:32.630,-1.0
11:58:32.831,-1.0
11:58:33.034,-1.0
11:58:33.238,-1.0
11:58:33.440,-1.0
11:58:33.643,-1.0
11:58:33.845,-1.0
11:58:34.048,-1.0
11:58:34.250,-1.0
11:58:34.452,-1.0
11:58:34.654,-1.0
11:58:34.855,-1.0
11:58:35.057,-1.0
11:58:35.259,-1.0
11:58:35.462,-1.0
11:58:35.666,-1.0
11:58:35.867,-1.0
11:58:36.070,-1.0
11:58:36.274,-1.0
11:58:36.476,-1.0
11:58:36.680,-1.0
11:58:36.883,-1.0
11:58:37.086,-1.0
11:58:37.289,-1.0
11:58:37.490,-1.0
11:58:37.692,-1.0
11:58:37.895,-1.0
11:58:38.099,-1.0
11:58:38.301,-1.0
11:58:38.505,-1.0
11:58:38.709,-1.0
11:58:38.910,-1.0
11:58:39.112,-1.0
11:58:39.315,-1.0
11:58:39.517,-1.0
11:58:39.719,-1.0
11:58:39.927,-1.0
11:58:40.130,-1.0
11:58:40.332,-1.0
11:58:40.535,-1.0
11:58:40.737,-1.0
11:58:40.941,-1.0
11:58:41.143,-1.0
11:58:41.346,-1.0
11:58:41.547,-1.0
11:58:41.749,-1.0
11:58:41.951,-1.0
11:58:42.155,-1.0
11:58:42.356,-1.0
11:58:42.557,-1.0
11:58:42.758,-1.0
11:58:42.962,-1.0
11:58:43.165,-1.0
11:58:43.367,-1.0
11:58:43.569,-1.0
11:58:43.771,-1.0
11:58:43.972,-1.0
11:58:44.174,-1.0
11:58:44.376,-1.0
11:58:44.578,-1.0
11:58:44.781,-1.0
11:58:44.982,-1.0
11:58:45.185,-1.0
11:58:45.389,-1.0
11:58:45.590,-1.0
11:58:45.792,-1.0
11:58:46.000,-1.0
11:58:46.203,-1.0
11:58:46.406,-1.0
11:58:46.607,-1.0
11:58:46.810,-1.0
11:58:47.012,-1.0
11:58:47.213,-1.0
11:58:47.417,-1.0
11:58:47.618,-1.0
11:58:47.820,-1.0
11:58:48.021,-1.0
11:58:48.223,-1.0
11:58:48.426,-1.0
11:58:48.629,-1.0
11:58:48.832,-1.0
11:58:49.035,-1.0
11:58:49.237,-1.0
11:58:49.444,-1.0
11:58:49.646,-1.0
11:58:49.847,-1.0
11:58:50.049,-1.0
11:58:50.252,-1.0
11:58:50.455,-1.0
11:58:50.657,-1.0
11:58:50.860,-1.0
11:58:51.063,-1.0
11:58:51.267,-1.0
11:58:51.469,-1.0
11:58:51.671,-1.0
11:58:51.872,-1.0
11:58:52.075,-1.0
11:58:52.277,-1.0
11:58:52.479,-1.0
11:58:52.683,-1.0
11:58:52.887,-1.0
11:58:53.090,-1.0
11:58:53.292,-1.0
11:58:53.496,-1.0
11:58:53.699,-1.0
11:58:53.901,-1.0
11:58:54.103,-1.0
11:58:54.305,-1.0
11:58:54.508,-1.0
11:58:54.709,-1.0
11:58:54.914,-1.0
11:58:55.117,-1.0
11:58:55.318,-1.0
11:58:55.520,-1.0
11:58:55.722,-1.0
11:58:55.925,-1.0
11:58:56.127,-1.0
11:58:56.329,-1.0
11:58:56.531,-1.0
11:58:56.735,-1.0
11:58:56.936,-1.0
11:58:57.139,-1.0
11:58:57.341,-1.0
11:58:57.542,-1.0
11:58:57.744,-1.0
11:58:57.946,-1.0
11:58:58.147,-1.0
11:58:58.350,-1.0
11:58:58.552,-1.0
11:58:58.754,-1.0
11:58:58.955,-1.0
11:58:59.157,-1.0
11:58:59.361,-1.0
11:58:59.563,-1.0
11:58:59.765,-1.0
11:58:59.969,-1.0
11:59:00.170,-1.0
11:59:00.373,-1.0
11:59:00.574,-1.0
11:59:00.775,-1.0
11:59:00.978,-1.0
11:59:01.181,-1.0
11:59:01.383,-1.0
11:59:01.586,-1.0
11:59:01.789,-1.0
11:59:01.993,-1.0
11:59:02.195,-1.0
11:59:02.398,-1.0
11:59:02.603,-1.0
11:59:02.805,-1.0
11:59:03.007,-1.0
11:59:03.209,-1.0
11:59:03.411,-1.0
11:59:03.615,-1.0
11:59:03.816,-1.0
11:59:04.020,-1.0
11:59:04.222,-1.0
11:59:04.424,-1.0
11:59:04.626,-1.0
11:59:04.830,-1.0
11:59:05.034,-1.0
11:59:05.238,-1.0
11:59:05.440,-1.0
11:59:05.641,-1.0
11:59:05.843,-1.0
11:59:06.046,-1.0
11:59:06.247,-1.0
11:59:06.449,-1.0
11:59:06.652,-1.0
11:59:06.856,-1.0
11:59:07.058,-1.0
11:59:07.262,-1.0
11:59:07.466,-1.0
11:59:07.668,-1.0
11:59:07.870,-1.0
11:59:08.073,-1.0
11:59:08.276,-1.0
11:59:08.478,-1.0
11:59:08.679,-1.0
11:59:08.887,-1.0
11:59:09.089,-1.0
11:59:09.291,-1.0
11:59:09.498,-1.0
11:59:09.699,-1.0
11:59:09.909,1.0
11:59:10.112,1.0
11:59:10.317,1.0
11:59:10.519,1.0
11:59:10.721,1.0
11:59:10.927,1.0
11:59:11.129,1.0
11:59:11.330,1.0
11:59:11.533,1.0
11:59:11.735,1.0
11:59:11.937,1.0
11:59:12.142,1.0
11:59:12.348,1.0
11:59:12.550,1.0
11:59:12.753,1.0
11:59:12.955,1.0
11:59:13.157,1.0
11:59:13.359,1.0
11:59:13.564,0.835
11:59:13.765,-1.0
11:59:13.967,-1.0
11:59:14.170,-1.0
11:59:14.374,-1.0
11:59:14.576,-1.0
11:59:14.777,-1.0
11:59:14.979,-1.0
11:59:15.182,-1.0
11:59:15.384,-1.0
11:59:15.588,-1.0
11:59:15.789,-1.0
11:59:15.994,-1.0
11:59:16.205,-1.0
11:59:16.409,-1.0
11:59:16.611,-1.0
11:59:16.813,-1.0
11:59:17.017,-1.0
11:59:17.219,-1.0
11:59:17.423,-1.0
11:59:17.625,-1.0
11:59:17.827,-1.0
11:59:18.029,-1.0
11:59:18.234,-1.0
11:59:18.437,-1.0
11:59:18.643,-1.0
11:59:18.847,-1.0
11:59:19.048,-1.0
11:59:19.250,-1.0
11:59:19.452,-1.0
11:59:19.656,0.76
11:59:19.857,0.76
11:59:20.059,0.76
11:59:20.265,0.76
11:59:20.467,0.76
11:59:20.671,0.76
11:59:20.874,0.76
11:59:21.079,0.76
11:59:21.285,0.76
11:59:21.491,-1.0
11:59:21.693,0.345
11:59:21.894,0.345
11:59:22.097,0.345
11:59:22.299,0.345
11:59:22.504,0.345
11:59:22.707,0.345
11:59:22.912,0.345
11:59:23.114,0.345
11:59:23.316,1.0
11:59:23.520,-1.0
11:59:23.722,-1.0
11:59:23.925,-1.0
11:59:24.128,-1.0
11:59:24.332,-1.0
11:59:24.534,-1.0
11:59:24.736,-1.0
11:59:24.937,-1.0
11:59:25.139,-1.0
11:59:25.341,-1.0
11:59:25.544,-1.0
11:59:25.747,-1.0
11:59:25.949,-1.0
11:59:26.152,-1.0
11:59:26.355,-1.0
11:59:26.559,-1.0
11:59:26.761,-1.0
11:59:26.964,-1.0
11:59:27.167,-1.0
11:59:27.371,-1.0
11:59:27.574,-1.0
11:59:27.776,-1.0
11:59:27.977,-1.0
11:59:28.180,-1.0
11:59:28.381,-1.0
11:59:28.583,-1.0
11:59:28.785,-1.0
11:59:28.988,-1.0
11:59:29.190,0.821
11:59:29.393,0.821
11:59:29.595,0.334
11:59:29.797,0.248
11:59:30.001,0.248
11:59:30.206,0.248
11:59:30.409,0.248
11:59:30.611,0.248
11:59:30.816,0.248
11:59:31.019,0.248
11:59:31.221,0.248
11:59:31.424,0.248
11:59:31.628,0.324
11:59:31.830,0.578
11:59:32.032,0.578
11:59:32.233,0.578
11:59:32.439,0.578
11:59:32.641,0.578
11:59:32.845,0.578
11:59:33.051,0.578
11:59:33.256,0.578
11:59:33.461,0.578
11:59:33.668,0.285
11:59:33.869,0.289
11:59:34.072,0.289
11:59:34.275,0.289
11:59:34.477,0.289
11:59:34.680,0.289
11:59:34.881,1.0
11:59:35.083,1.0
11:59:35.285,1.0
11:59:35.487,1.0
11:59:35.689,-1.0
11:59:35.890,-1.0
11:59:36.093,-1.0
11:59:36.295,-1.0
11:59:36.511,-1.0
11:59:36.713,-1.0
11:59:36.915,-1.0
11:59:37.117,-1.0
11:59:37.319,-1.0
11:59:37.521,-1.0
11:59:37.722,-1.0
11:59:37.924,-1.0
11:59:38.125,-1.0
11:59:38.327,-1.0
11:59:38.530,-1.0
11:59:38.734,-1.0
11:59:38.936,-1.0
11:59:39.138,-1.0
11:59:39.340,-1.0
11:59:39.542,-1.0
11:59:39.744,-1.0
11:59:39.947,-1.0
11:59:40.152,-1.0
11:59:40.353,-1.0
11:59:40.556,-1.0
11:59:40.758,-1.0
11:59:40.961,-1.0
11:59:41.164,-1.0
11:59:41.368,-1.0
11:59:41.573,-1.0
