time_stamp,RTL_ALT,MODE,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
07:15:47,1500.0,STABILIZE,-35.3632621,149.1652375,0.0,-1.0,1.5,1.0,0.0,1.0,-1000.0,1.0,0.0,0.0,-0.0009733943443279713,0.0009053490357473493,0.025450739078223705,0.00027738718199543655,0.00023199088172987103,0.0019171134335920215
07:15:51,1500.0,STABILIZE,-35.3632621,149.1652375,0.0,-1.0,0.5,-1.0,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.0007879740733187646,0.0009226000693161041,0.02420886978507042,0.0002726371167227626,0.00018977667787112296,0.0017641055746935308
07:15:55,1500.0,AUTO,-35.3632622,149.1652375,3.0,-1.0,2.0,-1.0,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.0003923053154721856,0.0009763951529748738,0.02266693115234375,0.0003463923349045217,0.00024643336655572057,0.001576160779222846
07:15:56,300000.0,AUTO,-35.3632621,149.1652375,20.25,-0.25,-0.25,-4.75,0.0,1.0,-1000.0,0.5,0.25,0.5,-0.00030391837572096847,0.0010441870836075395,0.022445769514888525,0.0002998310519615188,0.0002882993285311386,0.0015141614130698144
07:15:57,300000.0,AUTO,-35.3632621,149.1652375,28.0,0.0,0.5,-3.5,0.0,1.0,-1000.0,0.0,0.0,0.0,-3.699107401189394e-05,0.0012631323770619929,0.02210317924618721,0.00028751540230587125,0.00033840557443909347,0.001557944982778281
07:15:59,300000.0,AUTO,-35.3632621,149.1652375,126.0,0.0,1.0,-38.0,0.0,0.5,-1065.5,0.5,2.5,0.5,0.0012723486725008115,0.0009698869325802661,0.021462181583046913,0.0004423178907018155,0.0019502508512232453,0.0018893813248723745
07:16:00,78885.0,AUTO,-35.363262075,149.1652375,930.0,0.25,2.5,-129.0,0.0,0.0,-1060.5,29.5,-2.0,0.5,0.011269266891758889,0.0003821767822955735,0.021095559932291508,0.02953038568375632,-0.0027008175893570296,0.0013246660528238863
07:16:01,78885.0,AUTO,-35.363261800000004,149.16523875000001,2383.0,4.5,29.5,-147.0,0.0,-4.5,-998.5,9.0,15.0,-25.5,0.05023470148444176,-0.005635689478367567,0.004905098117887974,0.008168412372469902,0.014720292994752526,-0.025018208660185337
07:16:03,78885.0,AUTO,-35.3632608,149.1652459,5407.5,-0.5,-2.0,-147.0,0.5,-2.0,-1001.0,-18.0,-4.5,-26.0,-0.059884797781705856,0.002277014400533517,-0.08820339292287827,-0.018591608852148056,-0.0053732432425022125,-0.026251827366650105
07:16:04,2855.0,AUTO,-35.363261050000006,149.16524262500002,6929.5,-7.5,-54.75,-147.5,-5.75,11.0,-1001.5,63.5,7.75,-5.75,-0.03244349011220038,0.0025409012741874903,-0.10707790777087212,0.06322304904460907,0.007586916210129857,-0.006028569958289154
07:16:05,2855.0,AUTO,-35.363262250000005,149.16523654999997,8477.0,-17.5,-41.5,-150.0,-5.0,14.0,-1003.0,66.0,5.5,1.5,0.03402709774672985,0.010845930315554142,-0.10715014860033989,0.06609147787094116,0.004806847660802305,0.0025893279525917023
07:16:07,2855.0,AUTO,-35.36326315,149.16523665,11564.0,25.0,20.5,-147.0,-0.5,-7.0,-1003.5,-53.5,64.0,-63.5,-0.015471564373001456,-0.023931433097459376,-0.07385271228849888,-0.05391806008992717,0.0642398800700903,-0.06344426237046719
07:16:08,201662.0,AUTO,-35.363260724999996,149.1652372,13109.5,18.75,-10.0,-150.5,-5.5,-1.5,-1001.75,35.25,19.25,-49.0,-0.018194461008533835,0.017708462895825505,-0.14752791821956635,0.03488463442772627,0.019261554582044482,-0.049265739507973194
07:16:09,201662.0,AUTO,-35.36325995,149.1652357,14673.0,-3.5,-9.0,-150.5,-1.5,2.0,-999.0,17.0,-3.0,-9.0,0.012125176610425115,0.021856503561139107,-0.1720021292567253,0.016661155212204903,-0.003716064151376486,-0.008649662602692842
07:16:11,201662.0,AUTO,-35.36326155,149.16523575,17776.0,-11.0,5.0,-149.0,2.0,0.0,-998.0,-70.5,-3.0,-16.5,-0.018852764973416924,-0.000453622720669955,-0.174733005464077,-0.07184007670730352,-0.003626768011599779,-0.0167034228798002
07:16:12,200.0,AUTO,-35.363262725,149.16523455,19253.5,-22.75,-30.0,-129.75,0.25,7.25,-963.0,73.25,-28.0,242.75,-0.03954983956646174,0.021727133076637983,-0.03949986305087805,0.0728072221390903,-0.028962956741452217,0.24353992566466331
07:16:13,200.0,AUTO,-35.3632646,149.16523145000002,20368.5,-13.5,-10.0,-87.5,0.0,4.5,-962.0,44.5,-21.0,-18.5,0.05156197398900986,-0.0332762636244297,0.045136984437704086,0.04352218843996525,-0.02173978090286255,-0.018637172877788544
07:16:15,200.0,AUTO,-35.3632628,149.16523645,21571.0,16.0,36.0,-33.0,0.5,-9.0,-977.0,-15.5,15.0,2.0,0.0008109402842819691,0.010449931491166353,0.027929971925914288,-0.01592695014551282,0.014970900723710656,0.0020742450724355876
07:16:16,300000.0,AUTO,-35.36326155,149.16523937500003,21796.25,5.75,17.75,-5.75,0.0,-3.25,-959.5,-31.0,15.5,-4.0,-0.020602551521733403,0.01796270487830043,0.024895104579627514,-0.03191570658236742,0.014646693773102015,-0.004135364491958171
07:16:17,300000.0,AUTO,-35.36326155,149.16523935,21694.5,-9.0,-16.0,16.5,-0.5,6.0,-999.0,-88.0,-19.5,-4.5,-0.037987422198057175,0.01754230447113514,0.02177323494106531,-0.08908046782016754,-0.02054703002795577,-0.005006636260077357
07:16:19,300000.0,AUTO,-35.363264900000004,149.16523015,21530.0,-33.0,-74.5,0.0,-9.5,2.0,-998.5,-466.5,9.0,-479.5,-0.07744330912828445,-0.003683522343635559,-0.24688523076474667,-0.4679979681968689,0.008183818310499191,-0.4798628203570843
07:16:20,163816.0,AUTO,-35.363269075,149.16521855,21504.5,-61.0,-138.75,2.25,-34.25,16.0,-999.5,-25.5,4.25,-741.25,-0.07290703803300858,-0.07142363861203194,-0.9881267547607422,-0.02650638297200203,0.0035648565244628116,-0.7415451556444168
07:16:21,163816.0,AUTO,-35.36327575,149.1651996,21465.5,-81.5,-191.5,3.0,-50.0,-28.5,-1003.5,-251.5,11.5,-554.5,0.0034482497721910477,-0.08332675322890282,-1.693009853363037,-0.2526430655270815,0.011011687107384205,-0.5546654760837555
07:16:23,163816.0,AUTO,-35.36329125,149.165151,21361.0,-93.5,-229.5,6.5,-50.0,-43.5,-1004.5,-119.5,-1.5,14.5,0.028532281517982483,-0.05137532390654087,-1.9342591762542725,-0.11994948983192444,-0.002284115180373192,0.015236349077895284
07:16:24,253839.0,AUTO,-35.36329925,149.16512595,21289.5,-94.0,-227.25,6.5,-49.75,-30.5,-1002.75,-37.5,31.0,2.75,0.02784159267321229,-0.04387014405801892,-1.9374020993709564,-0.03877328708767891,0.030441083945333958,0.0030160141177475452
07:16:25,253839.0,AUTO,-35.36330715,149.16510255,21234.5,-82.5,-200.0,4.5,-43.0,-22.5,-1003.5,307.5,43.0,-6.5,0.03865537978708744,0.0016637491062283516,-1.9373573064804077,0.30696340277791023,0.04267248883843422,-0.006433812668547034
07:16:27,253839.0,AUTO,-35.3633179,149.16507335,21146.5,-15.0,-70.5,2.5,-13.0,-7.0,-1008.5,24.0,-28.0,-12.0,0.03039320930838585,0.05322702042758465,-1.9365187883377075,0.02277141809463501,-0.029327290481887758,-0.012311424128711224
