time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,alt,lat,lon,relative_alt,vx,vy,vz,MODE,EK2_ALT_SOURCE
13:48:24,0.007049395819194615,0.004256861750036478,-0.14368093758821487,0.006303918664343655,0.005636038025841117,-0.018341257702559233,599.2949829101562,-1.25,0.0,-999.75,6.75,5.75,-18.25,1500.0,599295.0,-35.36326195,149.165235825,15341.0,2.75,-3.25,-153.0,AUTO,0.0
13:48:36,0.002386802031348149,0.0014011315458143752,-0.11202885210514069,0.0006844321809088191,-0.00040750886546447873,0.0095369645083944,624.4099731445312,0.0,0.0,-1000.0,1.6666666666666667,0.3333333333333333,9.0,1500.0,624410.0,-35.3632621,149.1652375,40450.333333333336,0.0,0.0,-153.0,AUTO,0.0
13:48:43,0.03062872588634491,-0.0946006290614605,0.20546456426382065,0.9259952902793884,0.05070880986750126,-0.022826343774795532,624.1749877929688,19.0,46.0,-1157.0,922.0,51.5,-22.0,1500.0,624175.0,-35.36329955,149.16519395,40218.5,-90.5,-60.5,72.5,AUTO,0.0
13:49:11,0.05622476041316986,-0.21059208810329438,1.0383405685424805,0.021434083953499793,-0.00483941650018096,-0.026309386640787125,625.6599731445312,-108.2,-47.0,-1005.8,19.2,-3.2,-24.8,1500.0,625660.0,-35.36307504,149.16555708,41704.0,297.6,412.0,-26.0,AUTO,0.0
13:49:23,0.028155396071573097,-0.11414491261045139,1.1201739311218262,-0.022213909775018692,-0.08371393817166488,-0.004380580974005473,619.8082987467448,-34.666666666666664,-22.833333333333332,-1006.8333333333334,-24.5,-81.16666666666667,-4.166666666666667,1500.0,619808.3333333334,-35.36274216666667,149.16611895,35853.166666666664,59.5,160.33333333333334,-22.5,AUTO,0.0
13:50:44,-0.015116604045033455,0.0514792837202549,-1.6814554929733276,-0.0234142504632473,0.034838464111089706,0.040877990424633026,631.2000122070312,-28.0,-33.0,-1007.0,-17.0,37.0,43.0,1500.0,631200.0,-35.3626209,149.1649122,47246.0,23.0,-173.0,-157.0,AUTO,0.0
13:50:50,0.018922092393040657,-0.016315627843141556,-1.2742949724197388,1.1968075037002563,0.005913498345762491,-0.0078050969168543816,631.72998046875,1.0,50.0,-1318.0,1205.0,8.0,-5.0,1500.0,631730.0,-35.3626094,149.1648704,47779.0,30.0,-5.0,138.0,ALT_HOLD,0.0
13:51:26,-0.018721500411629677,0.006182998418807983,2.3116350173950195,-0.3250099718570709,-0.0014772864524275064,0.003712574951350689,608.6799926757812,0.0,4.0,-1061.0,-316.0,2.0,6.0,1500.0,608680.0,-35.362611,149.164868,24727.0,-7.0,-9.0,14.0,AUTO,0.0
13:52:14,-0.005501275372807868,-0.001556456001708284,-1.0199837982654572,-0.08252137899398804,0.0008279375033453107,0.013340171019081026,629.4299621582031,-3.25,18.75,-1002.5,-70.0,5.25,16.75,1500.0,629430.0,-35.3626148,149.16487855,45472.75,24.75,-30.75,167.5,AUTO,0.0
13:52:22,-0.04649752415716648,0.011150206392630934,-1.109928512573242,-0.09260222390294075,-0.007510251924395561,-0.07608456760644913,633.465966796875,7.2,-6.0,-1005.0,-88.4,-3.2,-71.8,1500.0,633466.0,-35.36261444,149.16488698,49510.2,30.0,30.6,-145.2,AUTO,0.0
13:52:45,0.02796572782099247,0.05876708105206489,-2.7027048110961913,0.03638279214501381,-0.03119818791747093,0.0035355396568775175,633.9680053710938,-2.2,-1.2,-964.8,43.0,-27.4,7.4,1500.0,633968.0,-35.362625,149.16488788,50012.8,-18.8,21.4,-8.2,ALT_HOLD,0.0
