time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,EK2_ALT_SOURCE
08:35:21,1500.0,0.04964087903499603,0.003589875064790249,-0.0218883128836751,-0.09080964792519808,0.06094256043434143,-0.07817655615508556,587160.0,-35.363261449999996,149.16524055,3182.5,8.5,48.5,-145.0,587.1599731445312,2.5,-10.0,-991.5,-89.5,61.0,-78.0,AUTO,0.0
08:35:23,1500.0,-0.06505823135375977,-0.010106454137712717,-0.09139158204197884,0.04861504212021828,-0.0019299453706480563,-0.003460111969616264,590205.0,-35.3632611,149.16524575,6228.5,-2.5,-31.0,-148.0,590.2049865722656,-1.5,4.5,-1002.5,49.0,-1.5,-3.5,AUTO,0.0
08:35:25,1500.0,0.060187848284840584,0.009269193280488253,-0.08932046964764595,0.06003463268280029,0.0042807498248294,0.004930305993184447,593315.0,-35.363261699999995,149.16523475,9339.0,-7.5,-24.0,-152.0,593.3150024414062,-2.5,6.5,-1002.0,60.0,4.5,4.0,AUTO,0.0
08:35:27,1500.0,-0.01742361020296812,-0.004110561916604638,-0.10516287758946419,0.002761254785582423,0.0033974485704675317,-0.02723504789173603,596415.0,-35.3632624,149.16523669999998,12436.5,2.5,8.0,-150.5,596.4149780273438,0.5,-2.5,-1001.5,3.5,4.0,-27.0,AUTO,0.0
08:35:29,1500.0,0.009951182175427675,0.006748106563463807,-0.151730015873909,0.003555930103175342,0.0016409332165494561,-0.013198588974773884,599535.0,-35.3632617,149.16523575000002,15555.0,0.5,-3.0,-152.0,599.5349731445312,-1.0,0.0,-999.0,4.0,2.0,-13.0,AUTO,0.0
08:35:31,1500.0,0.00466331304050982,0.004037663456983864,-0.17795399576425552,-0.0038489355938509107,-0.0019262977875769138,-0.01635405421257019,602655.0,-35.3632616,149.16523575000002,18675.0,-3.0,6.0,-152.0,602.6549682617188,0.0,0.0,-1000.0,-2.5,-0.5,-16.0,AUTO,0.0
08:35:33,1500.0,0.0025343012530356646,0.0031353143276646733,-0.21619144827127457,0.0012997105659451336,-0.0010690369526855648,-0.019732129760086536,605775.0,-35.3632617,149.16523635,21800.0,-3.0,4.0,-152.0,605.7749633789062,0.0,0.0,-1000.0,2.0,0.0,-19.5,AUTO,0.0
08:35:35,1500.0,0.00023677432909607887,0.0028147862758487463,-0.2554958760738373,-0.0554869722109288,0.0033376004575984553,-0.01312706945464015,608895.0,-35.36326185,149.1652367,24919.5,-2.0,2.5,-152.5,608.8949890136719,0.0,-0.5,-991.5,-54.0,3.5,-13.0,AUTO,0.0
08:35:37,1500.0,0.009959978051483631,0.001354482606984675,-0.2229827269911766,-0.007187254028394818,-0.00010560537339188159,0.023961473256349564,612005.0,-35.3632624,149.16523665,28032.5,-2.5,6.5,-152.0,612.0050048828125,0.0,0.0,-999.5,-5.5,0.5,23.5,AUTO,0.0
08:35:39,1500.0,-0.0002968397020595148,0.0016270630294457078,-0.18312760442495346,0.0010222555720247328,-0.0002759897615760565,0.017555472441017628,615120.0,-35.3632624,149.16523784999998,31144.0,0.0,4.5,-152.0,615.1199951171875,0.0,-0.5,-1000.5,2.0,0.0,17.0,ALT_HOLD,0.0
08:35:41,1500.0,-0.1347660794854164,0.15489451587200165,0.17443815618753433,-0.06098869815468788,-0.02164181787520647,0.1498645804822445,617825.0,-35.3632636,149.16523585,33849.5,-54.0,-60.0,-33.5,617.8249816894531,3.5,13.0,-815.5,-59.0,-21.0,149.5,ALT_HOLD,0.0
08:35:43,1500.0,-0.03321559727191925,0.04022514075040817,0.15708717703819275,-1.724319338798523,-0.031888305209577084,-0.017975596711039543,615280.0,-35.3632853,149.16520824999998,31302.5,-163.0,-134.0,199.0,615.2799682617188,25.0,11.5,-1011.0,-1720.5,-30.5,-17.0,ALT_HOLD,0.0
08:35:45,1500.0,0.023990241810679436,-0.09706208109855652,0.12926123291254044,1.372829556465149,0.04854123480618,0.01988924667239189,611625.0,-35.36331455,149.16518739999998,27649.5,-111.0,-31.5,114.5,611.6249694824219,18.0,98.5,-1172.0,1376.0,49.0,19.5,AUTO,0.0
08:35:47,1500.0,0.02877555601298809,-0.018285986967384815,0.10084962099790573,0.36430996656417847,0.02236512489616871,0.01577921397984028,610820.0,-35.36332135,149.16518215,26843.5,4.5,9.5,-15.5,610.8199768066406,-1.5,26.0,-1044.0,367.0,23.0,16.0,AUTO,0.0
08:35:49,1500.0,0.010903418529778719,-0.0015397084644064307,0.09212049096822739,0.037627315148711205,0.003015317255631089,-0.0046715185744687915,612050.0,-35.36332095,149.16518194999998,28075.0,5.0,22.0,-108.5,612.0499877929688,0.0,0.5,-1046.0,39.5,3.5,-3.5,AUTO,0.0
08:35:51,1500.0,0.057092636823654175,-0.011198603548109531,0.087519071996212,-0.007539086043834686,0.019809691235423088,-0.036056908196769655,614880.0,-35.363320849999994,149.1651851,30902.0,6.0,52.5,-146.5,614.8800048828125,0.0,-9.0,-994.5,-5.5,20.5,-36.0,AUTO,0.0
08:35:53,1500.0,-0.012713187374174595,-0.008163192309439182,-0.0030595704447478056,0.025339724496006966,-0.025719729252159595,-0.01535196928307414,617905.0,-35.363320200000004,149.16519925,33933.0,3.5,54.0,-150.0,617.9049682617188,5.0,-11.5,-1001.5,27.5,-25.0,-14.5,ALT_HOLD,0.0
