time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,chan4_raw,MODE,RTL_ALT
16:30:35,-35.3632621,149.1652375,0.0,-1.0,1.0,1.0,0.0,2.0,-1000.0,0.0,0.0,0.0,-0.001270714565180242,0.0009360812255181372,0.023739919066429138,0.0002073374344035983,0.00017508084420114756,0.0015764941927045584,1500.0,STABILIZE,1500.0
16:30:43,-35.3632621,149.1652375,4.5,0.0,0.0,0.0,0.0,1.0,-1000.0,0.5,0.5,0.0,-0.0012562227784655988,0.0011366834514774382,0.022083526477217674,0.00020217735436744988,0.0002623592736199498,0.0014656746061518788,1500.0,AUTO,1500.0
16:30:45,-35.3632621,149.1652375,3.5,0.0,0.0,0.5,0.0,1.0,-1000.0,0.5,0.5,0.0,-0.0005944104050286114,0.0016932666767388582,0.021645814180374146,0.0002839572844095528,0.000262995163211599,0.001512755115982145,1500.0,AUTO,1500.0
16:30:47,-35.363262,149.16523755,1607.0,1.0,7.5,-146.5,0.0,-0.5,-1012.0,46.0,-6.5,1.5,0.02816552296280861,-0.0018777928489726037,0.020886316895484924,0.04595785401761532,-0.007373314816504717,0.002331122464966029,1500.0,AUTO,1500.0
16:30:49,-35.3632609,149.16524535000002,4670.0,-1.0,30.5,-150.0,4.5,-7.5,-1002.5,-52.0,-23.0,-34.5,-0.04172626882791519,0.013298219069838524,-0.0806703232228756,-0.053361039608716965,-0.02422220539301634,-0.0347184119746089,1500.0,AUTO,1500.0
16:30:51,-35.36326135,149.1652396,7770.0,-4.0,-58.5,-152.5,-7.0,13.0,-1003.5,66.0,13.5,1.5,0.00010762875899672508,0.00047794857528060675,-0.09653160348534584,0.065910704433918,0.013465513475239277,0.002104569459334016,1500.0,AUTO,1500.0
16:30:55,-35.3632598,149.1652351,12248.5,-10.0,37.0,-142.5,-6.5,-4.5,-1015.5,-22.0,77.5,902.5,0.0495170783251524,-0.007032568100839853,1.5768896341323853,-0.0227791597135365,0.07741014659404755,0.9037932455539703,1824.0,AUTO,1500.0
16:30:57,-35.3632619,149.16523515,15263.5,33.0,-59.0,-147.5,12.0,3.0,-993.5,0.0,-19.0,-25.0,-0.013303527142852545,0.12121587991714478,2.2244067192077637,-0.00045736064203083515,-0.01965407934039831,-0.025051596574485302,1500.0,AUTO,1500.0
16:30:59,-35.36325155,149.1652166,18280.0,33.0,-46.5,-157.0,14.5,7.5,-1006.5,4.5,-63.5,-20.5,-0.009305743500590324,-0.08610061928629875,2.1853595972061157,0.004446665057912469,-0.06470776163041592,-0.020828661508858204,1500.0,AUTO,1500.0
16:31:01,-35.3632556,149.16522665000002,21303.0,-79.5,130.5,-141.0,-26.5,-15.5,-1003.0,12.5,88.0,-36.5,0.0205310033634305,-0.09224634990096092,2.147266387939453,0.012358428910374641,0.08735549822449684,-0.036788152530789375,1500.0,AUTO,1500.0
