time_stamp,MODE,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
18:28:18,STABILIZE,583930.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,2.0,-1000.0,1.0,0.0,0.5,-0.0008725026855245233,0.0009635478490963578,0.023045280948281288,0.000348883680999279,0.00028485042275860906,0.0016832581022754312
18:28:19,STABILIZE,583930.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,1.0,0.0,0.0,-0.0008884062990546227,0.0009614566224627197,0.02265053614974022,0.0003115016152150929,0.00022491690469905734,0.001604133634828031
18:28:21,STABILIZE,583940.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.6666666666666667,-1000.0,0.3333333333333333,0.6666666666666666,0.0,-0.0006532130355481058,0.0009866884793154895,0.022114906460046768,0.0002570122014731169,0.0002590578515082598,0.0015481210430152714
18:28:22,AUTO,583940.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,1.0,0.0,0.0,-0.0007174789207056165,0.0009870567009784281,0.021870306693017483,0.000336869852617383,0.00026456243358552456,0.0014623196329921484
18:28:23,AUTO,583940.0,-35.3632622,149.1652375,8.25,-1.0,1.25,0.0,0.0,1.25,-1000.0,0.25,0.25,0.5,-0.0007088856509653851,0.0010046609386336058,0.021622386761009693,0.0002162653108825907,0.00028731247584801167,0.0013969871797598898
18:28:24,AUTO,583940.0,-35.3632622,149.1652375,4.5,0.0,0.5,0.0,0.0,1.0,-1000.0,0.0,0.5,1.0,-0.00045679706090595573,0.0011082940036430955,0.021373428404331207,0.00022750208154320717,0.00016084671369753778,0.0014530954067595303
18:28:25,AUTO,583940.0,-35.3632622,149.165237475,4.0,0.0,0.0,0.0,0.0,1.5,-1000.0,0.75,0.25,0.25,-0.0002916992780228611,0.0013489657430909574,0.02111787674948573,0.00031557159672956914,0.00023745675571262836,0.0014009083970449865
18:28:26,AUTO,583940.0,-35.3632622,149.1652374,4.0,0.0,0.0,0.0,0.0,2.0,-1000.0,0.5,0.5,0.5,-3.536355143296532e-05,0.0016388703370466828,0.02083706669509411,0.000384687416953966,0.00031080792541615665,0.0013843390624970198
18:28:27,AUTO,584177.5,-35.363262125,149.16523745,240.75,0.0,0.0,-67.5,0.0,0.0,-1124.25,4.0,0.5,1.25,0.003078436740906909,0.00048230801985482685,0.020753573160618544,0.0031112595461308956,8.445768617093563e-05,0.001911705174279632
18:28:28,AUTO,585330.0,-35.36326205,149.16523765,1396.5,1.0,7.0,-140.0,0.0,-0.5,-1035.5,41.0,-5.0,1.0,0.021789905382320285,-0.0011623336467891932,0.02039794623851776,0.04122421331703663,-0.005536922835744917,0.0017312309646513313
18:28:29,AUTO,586847.5,-35.3632616,149.16523982500001,2910.25,6.75,40.0,-147.5,1.0,-7.25,-996.25,-41.5,29.75,-44.25,0.047400477807968855,0.0007906507235020399,-0.01096598559524864,-0.04235480260103941,0.029062921181321144,-0.04399170132819563
18:28:30,AUTO,588365.0,-35.363261,149.16524455,4433.5,1.0,34.5,-147.5,3.5,-7.0,-1004.5,-89.0,-20.0,-39.0,-0.035143283661454916,0.014530518557876348,-0.07232945784926414,-0.0906246267259121,-0.02085898129735142,-0.039569996763020754
18:28:31,AUTO,589905.0,-35.363260999999994,149.16524552500002,5970.75,-2.25,-25.0,-149.0,-1.25,3.25,-1002.25,24.5,-6.75,-6.0,-0.06442077737301588,-0.007286765961907804,-0.08839984238147736,0.024081340059638023,-0.0075784432992804796,-0.006212603882886469
18:28:32,AUTO,591450.0,-35.36326125,149.1652405,7514.0,-3.5,-54.5,-151.0,-6.5,11.5,-1002.5,63.5,12.0,1.0,-0.007844697684049606,-0.0012767077423632145,-0.09234576299786568,0.06347612664103508,0.011495631653815508,0.001218171528307721
18:28:33,AUTO,593010.0,-35.363261800000004,149.16523519999998,9075.5,-8.25,-25.25,-153.25,-2.75,7.5,-1000.25,39.25,-4.0,10.5,0.05334291607141495,0.007374123786576092,-0.08821866475045681,0.03894832357764244,-0.004838108114199713,0.011255627672653645
18:28:34,AUTO,594565.0,-35.363262399999996,149.16523485,10629.5,-4.0,15.0,-150.0,1.0,-1.0,-998.5,-65.5,-7.0,-3.0,0.022747544338926673,-0.004480852396227419,-0.08073805645108223,-0.06671090424060822,-0.007881700876168907,-0.002831532619893551
18:28:35,AUTO,596107.5,-35.363262425,149.165236275,12173.5,3.5,7.25,-151.75,0.5,-2.0,-1001.75,-0.25,5.0,-27.0,-0.013528499752283096,-0.0031846231140661985,-0.10175348445773125,-0.000750606064684689,0.004760781244840473,-0.027404381427913904
18:28:36,AUTO,597670.0,-35.363262,149.16523625,13734.0,4.0,-4.5,-152.5,-1.5,0.0,-999.5,15.0,4.5,-20.5,-0.0017974420916289091,0.0024021086719585583,-0.12878653779625893,0.014905520714819431,0.0046787511091679335,-0.020687895826995373
18:28:37,AUTO,599235.0,-35.36326165,149.165235625,15299.0,0.5,-2.25,-153.0,-1.25,0.0,-999.5,4.75,2.0,-14.0,0.008829645696096122,0.006636804318986833,-0.14820394292473793,0.004539425892289728,0.001845917577156797,-0.014294574735686183
