time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,chan4_raw,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,lat,lon,relative_alt,vx,vy,vz
14:24:08,-0.0002691085101105273,0.0009916789131239057,0.020681854337453842,0.00028385926270857453,0.000297934195259586,0.001421562978066504,1500.0,AUTO,0.0,1.5,-1000.0,1.0,0.5,0.5,1500.0,-35.3632622,149.1652375,0.0,-1.0,2.0,0.0
14:24:10,-1.6731859432184137e-05,0.0013760444126091897,0.020126909017562866,0.0003259703516960144,0.00026499052182771266,0.0014022247050888836,1500.0,AUTO,0.0,1.0,-1000.0,0.5,0.5,0.5,1500.0,-35.3632621,149.16523745,0.0,0.0,0.0,0.0
14:24:12,0.0030375939095392823,0.000546814473636914,0.019526563584804535,0.0016774216201156378,0.003310467815026641,0.00030507694464176893,1500.0,AUTO,0.0,0.0,-1120.5,2.5,4.0,-0.5,1500.0,-35.3632621,149.1652375,273.5,0.0,0.0,-82.5
14:24:14,0.05429766699671745,0.0004203454591333866,-0.019148454535752535,-0.060827618231996894,0.05705054569989443,-0.06899494305253029,1500.0,AUTO,1.0,-9.5,-992.5,-60.0,57.0,-69.0,1500.0,-35.3632615,149.1652402,3062.0,9.0,46.5,-146.0
14:24:16,-0.0630624033510685,-0.009175306651741266,-0.09004289656877518,0.05204366520047188,-0.000994471280137077,-0.004347376525402069,1500.0,AUTO,-2.0,4.0,-1001.5,52.0,-0.5,-4.5,1500.0,-35.363261050000006,149.16524545,6116.0,-2.0,-32.5,-148.0
14:24:18,0.015305181499570608,-0.037559181451797485,0.023163712583482265,0.07921101525425911,0.010743338614702225,0.2151883915066719,1545.0,AUTO,-5.5,9.5,-1003.0,79.0,11.0,214.5,1500.0,-35.363261449999996,149.16523410000002,9203.0,5.0,-39.5,-148.5
14:24:20,0.01555360620841384,0.022564223036170006,0.4312547445297241,-0.04349499195814133,0.0011512222699820995,0.1862778589129448,1545.0,AUTO,0.5,-6.0,-1002.0,-42.5,1.5,185.5,1500.0,-35.3632601,149.1652344,12258.0,-8.5,31.5,-147.0
14:24:22,0.005762504097219789,0.0154835544526577,0.5711324512958527,-0.042793543078005314,-0.05472264811396599,0.025714672170579433,1500.0,AUTO,8.5,-2.0,-998.5,-42.0,-53.5,25.0,1500.0,-35.36326415,149.1652382,15347.0,-39.5,10.5,-150.5
14:24:24,-0.02740290015935898,-0.0062027499079704285,0.5661559998989105,0.04677213728427887,0.01987380674108863,-0.038645368069410324,1500.0,AUTO,-4.5,2.5,-1003.0,47.0,20.0,-38.5,1500.0,-35.36326630000001,149.16523785,18459.0,23.0,-14.0,-152.0
14:24:27,0.011681606061756611,-0.0023585326853208244,0.5624900162220001,0.002728599007241428,0.0051317233592271805,-0.006259261164814234,1500.0,AUTO,-2.5,-2.0,-1000.0,3.5,5.5,-6.0,1500.0,-35.363261550000004,149.16523565,23152.0,8.0,12.5,-153.0
14:24:29,3.6970945075154305e-05,0.005801882594823837,0.5419807732105255,-0.021667529130354524,0.003994742291979492,-0.012165921740233898,1500.0,AUTO,-1.5,-2.5,-997.5,-20.5,4.5,-12.0,1500.0,-35.3632599,149.16523895,26279.0,4.5,10.0,-153.0
14:24:31,-0.02623183187097311,0.05305405706167221,0.46736912429332733,-0.10869615152478218,0.167537160217762,-0.20176070928573608,1435.0,AUTO,-1.0,2.5,-992.5,-107.0,168.5,-201.0,1500.0,-35.363258650000006,149.165238,29396.0,-5.0,-21.0,-150.0
14:24:33,0.08953379839658737,-0.028093744069337845,-0.25731927901506424,-0.04913431033492088,-0.14347901940345764,-0.3818219155073166,1435.0,AUTO,10.0,6.0,-989.5,-48.0,-142.0,-381.5,1500.0,-35.363266249999995,149.165231,32407.0,-48.0,24.0,-146.5
14:24:35,-0.052437009289860725,-0.03563977964222431,-0.46733202040195465,0.05418918468058109,0.12445447966456413,0.02710625808686018,1500.0,AUTO,-20.5,-16.5,-1014.0,55.0,125.0,27.0,1500.0,-35.3632579,149.165236,35357.0,101.5,-43.5,-145.5
14:24:37,0.033226280473172665,0.0939132533967495,-0.4474554806947708,0.034080938436090946,0.031963521614670753,-0.021414489950984716,1500.0,AUTO,-4.0,4.0,-997.5,34.5,32.5,-20.5,1500.0,-35.3632483,149.1652244,38499.0,-17.0,-14.5,-155.0
14:24:39,-0.024874120950698853,-0.02714049257338047,-0.4437621980905533,-0.08300301060080528,-0.08122869580984116,0.014161442872136831,1500.0,AUTO,28.0,0.0,-1016.5,-81.5,-79.5,14.0,1500.0,-35.363259150000005,149.1652373,41505.5,-64.5,92.5,-150.0
14:24:41,-0.02260411297902465,-0.04440695233643055,-0.4062737673521042,0.06428943015635014,0.045525139197707176,0.02014416642487049,1500.0,AUTO,-15.5,9.5,-1004.0,65.0,46.0,20.0,1500.0,-35.363262399999996,149.16523665,44601.5,20.0,-81.5,-149.5
14:24:43,0.08036913350224495,0.028904239647090435,-0.15506349503993988,-0.19970323145389557,-0.09348161146044731,0.15086840838193893,1700.0,AUTO,11.0,-8.0,-992.0,-198.0,-91.5,150.5,1500.0,-35.363260999999994,149.1652287,47681.5,-20.5,71.5,-143.5
14:24:45,0.001741204410791397,-0.04596460238099098,0.09761564061045647,0.09720073267817497,-0.04686111118644476,0.016055925865657628,1500.0,AUTO,2.5,6.5,-948.5,98.0,-45.0,16.0,1500.0,-35.363265150000004,149.1652354,49952.5,-19.0,-21.0,-48.5
14:24:47,0.018638374283909798,0.011716731591150165,0.11488251760601997,0.6946401000022888,0.03887018654495478,0.003470337571343407,1500.0,AUTO,-3.0,37.0,-976.0,698.5,40.0,3.5,1500.0,-35.363263200000006,149.16523565,50195.5,26.0,21.0,17.0
14:24:49,0.00888748373836279,-0.09802112355828285,0.16158489882946014,0.591233491897583,-0.05106979049742222,0.06110420078039169,1500.0,AUTO,-16.5,10.0,-1014.0,592.5,-49.5,61.5,1500.0,-35.36325615,149.1652392,49965.5,90.0,16.0,0.0
14:24:51,0.04051724262535572,-0.19332794845104218,0.1543293073773384,0.06575442850589752,-0.007615117123350501,-0.008980064652860165,1500.0,AUTO,-62.0,-28.0,-1008.0,68.0,-6.5,-8.0,1500.0,-35.3632232,149.1652437,49929.0,301.0,38.5,0.0
14:24:53,0.02957029454410076,-0.22516439110040665,0.32843102514743805,0.022330213338136673,0.01773618394508958,0.41890086233615875,1588.0,AUTO,-109.0,-48.0,-1001.0,24.0,18.5,419.0,1500.0,-35.363149050000004,149.16525515,49893.5,526.0,81.0,0.5
14:24:55,-0.0942249484360218,-0.15942449122667313,1.0849107503890991,0.010110565461218357,0.021899410290643573,0.36846083402633667,1588.0,AUTO,-134.0,77.5,-991.5,11.0,22.5,368.5,1500.0,-35.36304115,149.1652755,49957.0,653.5,99.0,-4.0
14:24:57,-0.0895390585064888,-0.12339624390006065,1.2622557282447815,-0.05309291044250131,-0.011201836401596665,0.0017151643987745047,1500.0,AUTO,-121.5,86.5,-975.5,-52.0,-10.0,2.5,1500.0,-35.3629201,149.1652982,50026.0,676.5,95.5,-1.5
14:24:59,-0.07316264137625694,-0.12541954964399338,1.2618215680122375,0.07812153548002243,0.025970720686018467,-0.0021384218707680702,1500.0,AUTO,-134.5,90.5,-1000.5,79.0,26.5,-1.0,1500.0,-35.36279685,149.16531980000002,49999.5,680.5,95.0,-2.5
14:25:01,0.01899764221161604,-0.07171821966767311,1.2594407796859741,-0.02337329089641571,0.03277045954018831,0.06678148731589317,1500.0,AUTO,-120.0,48.0,-990.0,-24.0,33.5,67.5,1500.0,-35.36268225,149.16534059999998,50081.5,563.0,81.5,-1.0
14:25:03,0.073970265686512,-0.06966491043567657,1.257339894771576,-0.647601917386055,-0.03937744442373514,0.035053675994277,1500.0,AUTO,-79.5,1.5,-1009.5,-647.5,-37.5,35.5,1500.0,-35.36259975,149.1653576,50023.0,341.0,75.0,2.5
14:25:05,-0.053223758935928345,-0.156256303191185,2.3502871990203857,-0.0446837842464447,0.0022888644598424435,0.6944907307624817,1983.0,AUTO,-41.0,57.5,-1000.0,-41.0,4.0,695.0,1500.0,-35.362556299999994,149.16538715000002,49963.5,148.0,198.0,1.0
14:25:07,-0.19098872691392899,0.001237696676980704,-2.878406524658203,-0.0581507682800293,0.024527345784008503,-0.06847456470131874,1500.0,AUTO,-7.5,108.0,-1003.0,-56.0,25.5,-67.0,1500.0,-35.362539049999995,149.1654558,49910.5,71.5,405.5,-0.5
14:25:09,-0.19125114381313324,0.003299992546089925,-2.8881345987319946,0.015268566086888313,-0.03554286248981953,0.005364398472011089,1500.0,AUTO,-26.0,131.5,-994.5,16.5,-34.0,6.5,1500.0,-35.36252605,149.1655702,49906.0,83.0,600.0,-5.0
14:25:11,-0.15310683101415634,-0.01952051091939211,-2.881283760070801,0.0357394814491272,0.01307546254247427,-0.0032864415552467108,1500.0,AUTO,-18.0,156.5,-993.0,36.5,14.5,-2.0,1500.0,-35.36251155,149.16571399999998,50020.0,76.0,670.5,-3.0
14:25:15,-0.15102244913578033,0.0013545895926654339,-2.7372725009918213,0.06271820003166795,-0.0029574213549494743,0.6657077074050903,1998.0,AUTO,1.0,163.0,-987.5,64.0,-1.0,666.5,1500.0,-35.3624825,149.16601395,50018.0,90.5,675.5,1.5
14:25:17,-0.013036388365435414,0.14872387051582336,-1.306954264640808,-0.08160268515348434,0.008670317009091377,0.7083186209201813,1998.0,AUTO,152.0,17.0,-988.5,-79.5,9.5,709.0,1500.0,-35.36246695,149.1661627,50020.0,90.5,667.5,2.5
14:25:19,0.06711288169026375,0.14643548429012299,-0.743304580450058,0.02449367195367813,-0.0036012399941682816,-0.0014176156837493181,1500.0,AUTO,139.0,-71.5,-987.0,26.5,-2.0,0.0,1500.0,-35.362450100000004,149.1663115,50008.5,88.5,680.5,0.0
14:25:21,0.059522198513150215,0.13820505142211914,-0.7452523708343506,0.08415143750607967,-0.003919752663932741,-0.0012042326852679253,1500.0,AUTO,144.5,-55.5,-990.5,86.0,-2.0,0.0,1500.0,-35.362433800000005,149.16646255,50027.5,86.5,677.5,0.0
14:25:23,0.05750979296863079,0.14404988288879395,-0.7456543445587158,-0.13682611100375652,-0.015193340834230185,0.01399268489331007,1500.0,AUTO,146.0,-63.5,-998.5,-134.0,-13.5,15.0,1500.0,-35.36241765,149.16661119999998,50004.5,86.0,672.0,0.5
14:25:25,-0.017135148867964745,0.07813171669840813,-0.7468704879283905,0.11579132080078125,-0.012902564369142056,-0.022541139274835587,1500.0,AUTO,127.0,-32.0,-993.5,119.5,-11.0,-21.5,1500.0,-35.362402599999996,149.16675185,50077.5,75.5,578.5,-0.5
14:25:27,-0.07344497740268707,0.017271006479859352,-0.8532645404338837,-0.3095238134264946,-0.023609555675648153,-0.04982626996934414,1464.0,AUTO,93.0,-54.0,-991.5,-311.0,-22.0,-48.0,1500.0,-35.36239165,149.16685825000002,50042.5,39.5,373.0,3.5
14:25:29,-0.13227228075265884,-0.1216820552945137,-0.8578938245773315,-0.4502760097384453,-0.04236316680908203,-0.006844017654657364,1500.0,AUTO,17.5,-38.0,-1016.0,-450.5,-40.5,-5.0,1500.0,-35.3623872,149.16691165,50002.5,10.5,66.5,2.5
14:25:31,-0.03854079404845834,-0.2012276127934456,-1.2423016428947449,0.2769411653280258,-0.04285711329430342,-0.8575379848480225,1500.0,AUTO,-58.5,0.5,-1007.5,279.0,-41.0,-855.5,1500.0,-35.3623871,149.166891,49954.5,-10.0,-258.5,3.5
14:25:33,0.06140183098614216,-0.18991263955831528,-1.66902494430542,0.18928968161344528,0.02212783508002758,0.056019057519733906,1500.0,AUTO,-72.5,-46.0,-1006.5,190.5,23.0,56.5,1500.0,-35.3623883,149.16685604999998,49940.0,-18.0,-388.0,1.0
14:25:35,0.0656094141304493,-0.19386393576860428,-1.6223278045654297,-0.01997270993888378,0.024234575452283025,-0.004517130088061094,1500.0,AUTO,-106.0,-67.33333333333333,-1002.0,-7.666666666666667,31.0,-0.6666666666666666,1500.0,-35.362391450000004,149.16674890000002,49924.0,-25.5,-584.5,-0.5
14:25:37,0.08251627907156944,-0.1527167484164238,-1.6227128505706787,0.05404819082468748,0.03800252079963684,-0.003636367619037628,1500.0,AUTO,-135.5,-74.5,-993.5,55.0,39.0,-2.0,1500.0,-35.3623965,149.16660775,49996.0,-28.0,-677.5,-4.0
14:25:39,0.11796735972166061,-0.1177561953663826,-1.8416113257408142,-0.04374437779188156,0.018191834446042776,-0.13619960844516754,1221.0,AUTO,-114.0,-98.66666666666667,-984.6666666666666,-3.6666666666666665,7.333333333333333,-136.33333333333334,1500.0,-35.36240225,149.16645725,50033.5,-23.5,-680.0,4.5
14:25:41,0.1526724472641945,-0.05138471722602844,-2.31289541721344,0.02659138571470976,-0.007317008450627327,0.04253880027681589,1500.0,AUTO,-53.5,-154.5,-992.5,28.0,-5.5,43.0,1500.0,-35.36240795,149.1663056,49997.0,-20.5,-684.0,-0.5
14:25:43,0.1533607318997383,-0.046528616920113564,-2.280739188194275,0.014662100002169609,0.012901024078018963,-0.012267939979210496,1500.0,AUTO,-53.333333333333336,-152.66666666666666,-986.6666666666666,8.333333333333334,6.333333333333333,-12.666666666666666,1500.0,-35.362413200000006,149.1661542,49996.5,-17.0,-675.5,0.0
14:25:45,0.14915288239717484,-0.05935862101614475,-2.28239369392395,-0.0026139765977859497,0.003568086074665189,0.005669541307725012,1500.0,AUTO,-57.666666666666664,-148.0,-988.6666666666666,-0.3333333333333333,-8.666666666666666,5.666666666666667,1500.0,-35.3624172,149.16601393333335,49982.0,-22.0,-674.0,0.0
