time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz
18:14:43,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,4.013534635305405e-06,0.0015026105102151632,0.028672702610492706,0.00018354825442656875,0.00023075734497979283,0.002466045320034027,583990.0,-35.3632621,149.1652374,5.0,-1.0,1.0,2.0
18:14:48,0.0,1.0,-1000.0,0.0,0.0,0.3333333333333333,STABILIZE,-0.0008619213185738772,0.00107199524063617,0.02601156011223793,0.00018514602561481297,0.00025928807735908777,0.002080327132716775,583990.0,-35.3632622,149.1652375,8.0,-1.0,1.0,0.0
18:14:50,0.0,1.0,-1000.0,0.5,0.0,0.5,STABILIZE,-0.0011835460318252444,0.0009728385484777391,0.025340611115098,0.0003007887862622738,0.00023971730843186378,0.001954529667273164,584000.0,-35.3632621,149.1652375,15.0,-1.0,0.0,0.0
18:14:51,0.0,2.0,-1000.0,0.0,0.0,0.0,STABILIZE,-0.0012551175508027275,0.0009381695999763906,0.02487562783062458,0.00014275712116310993,0.00021245641983114183,0.001872992569891115,584006.6666666666,-35.3632621,149.1652375,20.0,-1.0,0.0,0.0
18:14:53,0.0,2.5,-999.0,0.0,0.5,0.0,STABILIZE,-0.0010282100799183052,0.000940127472858876,0.02426088663438956,0.00034541004182149965,0.00024452904472127557,0.0017970895472293098,584016.6666666666,-35.3632621,149.1652375,31.666666666666668,-1.0,0.0,-2.0
18:14:54,0.0,1.5,-1000.0,0.0,0.5,0.5,STABILIZE,-0.000905363995116204,0.0009554869029670954,0.023996666073799133,0.00021486624609678984,0.00027208024403080344,0.001795904419850558,584020.0,-35.3632621,149.1652375,37.666666666666664,-1.0,0.0,-2.0
18:14:56,0.0,2.0,-1000.0,0.0,0.5,0.5,STABILIZE,-0.00081575260264799,0.000956995296292007,0.02338947169482708,0.00023352628340944648,0.00023076985962688923,0.0016166329151019454,584030.0,-35.3632622,149.1652375,43.0,-1.0,1.0,-1.0
18:14:57,0.0,1.0,-1000.0,0.0,1.0,1.0,STABILIZE,-0.0006759445532225072,0.0009645752337140342,0.022979065775871277,0.0002848167981331547,0.00023883707278097668,0.0016805395716801286,584013.3333333334,-35.3632622,149.1652376,28.0,-1.0,2.6666666666666665,1.0
18:14:58,0.0,2.0,-1000.0,1.0,0.0,0.0,AUTO,-0.0008273030980490148,0.0009653299930505455,0.022817792370915413,0.0002657200093381107,0.00023636547848582268,0.0016596445348113775,584010.0,-35.3632622,149.1652376,25.0,-1.0,2.0,1.0
18:14:59,0.0,1.6666666666666667,-1000.0,0.0,0.0,0.0,AUTO,-0.001128599086465935,0.0009947924021010597,0.02244606241583824,0.00024847715394571424,0.00024292144613961378,0.0015923128618548314,584010.0,-35.363262166666665,149.1652375,1.0,-0.6666666666666666,0.6666666666666666,0.0
18:15:00,0.0,1.3333333333333333,-1000.0,0.0,0.3333333333333333,0.6666666666666666,AUTO,-0.0011155610360826056,0.00108635937795043,0.02228587493300438,0.000248401309363544,0.0002774416352622211,0.0014537015619377296,584013.3333333334,-35.3632621,149.16523746666667,6.0,0.0,-1.0,-1.3333333333333333
18:15:01,0.0,1.3333333333333333,-1000.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,AUTO,-0.0008822342497296631,0.0014128741653015215,0.022031474237640698,0.0003170236401880781,0.0002943509995626907,0.0014890192930276196,584020.0,-35.3632621,149.1652374,16.0,0.0,0.0,-2.0
18:15:02,0.0,1.0,-1000.0,0.6666666666666666,1.0,0.6666666666666666,AUTO,-0.0007174532899322609,0.0016267630271613598,0.021839840958515804,0.00026328949024900794,0.00030549322643006843,0.0014809300579751532,584020.0,-35.3632621,149.1652375,17.0,0.0,0.0,-1.3333333333333333
18:15:03,0.0,0.0,-1111.3333333333333,0.3333333333333333,3.3333333333333335,0.3333333333333333,AUTO,0.001150155731011182,0.000868727836253432,0.02155577888091405,-8.969959647705157e-05,0.002816332310127715,0.0009071542396365354,584433.3333333334,-35.3632621,149.1652375,430.3333333333333,0.0,0.0,-97.33333333333333
18:15:04,0.0,-0.3333333333333333,-1023.3333333333334,47.0,-5.666666666666667,1.0,AUTO,0.021364024219413597,-0.0008508488729906579,0.021163833017150562,0.04672786965966225,-0.006673503201454878,0.0020109473650033274,585386.6666666666,-35.363262066666664,149.16523753333334,1384.0,0.3333333333333333,5.666666666666667,-144.33333333333334
18:15:05,2.6666666666666665,-10.0,-995.3333333333334,-93.0,39.333333333333336,-72.66666666666667,AUTO,0.03609588241670281,0.008096058542529741,-0.026773651751379173,-0.09414924122393131,0.039326898443202175,-0.07276949907342593,587290.0,-35.363261433333335,149.1652409,3285.3333333333335,7.666666666666667,50.0,-146.66666666666666
18:15:06,5.0,-8.666666666666666,-1005.0,-47.666666666666664,-15.0,-46.666666666666664,AUTO,-0.03245145330826441,0.01875428544978301,-0.07558737695217133,-0.04883953183889389,-0.016632211705048878,-0.04683332455654939,588430.0,-35.363260966666665,149.16524470000002,4424.333333333333,0.0,38.333333333333336,-149.0
18:15:07,-2.6666666666666665,5.333333333333333,-1001.6666666666666,54.0,1.6666666666666667,-1.3333333333333333,AUTO,-0.05963915710647901,-0.011525665720303854,-0.08584350099166234,0.05389469489455223,0.0014065811798597376,-0.0011233264037097495,590343.3333333334,-35.36326116666667,149.16524506666667,6338.333333333333,-1.0,-38.0,-149.0
