time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,chan4_raw
13:56:13,1500.0,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,0.0004967040731571615,0.0015871424693614244,0.026422439143061638,0.0002778478083200753,0.00027890491764992476,0.0025000199675559998,-35.3632621,149.1652374,0.0,-1.0,2.0,0.0,1500.0
13:56:36,1500.0,0.0,1.0,-1000.0,0.0,1.0,1.0,AUTO,-0.0006097580771893263,0.0009910661028698087,0.020885569974780083,0.0003327208978589624,0.000271245080512017,0.0014087739400565624,-35.3632622,149.1652375,1.0,-1.0,1.0,-2.0,1500.0
13:56:38,1500.0,0.0,1.0,-1000.0,0.0,0.5,1.0,AUTO,3.704868140630424e-05,0.0012887768680229783,0.02044527418911457,0.0003624138771556318,0.0002974676317535341,0.0013465170050039887,-35.3632621,149.1652375,5.0,0.0,0.0,-0.5,1500.0
13:56:40,1500.0,0.0,0.0,-1141.0,0.0,1.0,1.0,AUTO,0.0031959081534296274,-0.00047310072113759816,0.020064348354935646,-0.0007668952457606792,0.000978406285867095,0.0016139757353812456,-35.3632621,149.1652375,74.0,0.0,0.0,-43.0,1500.0
13:56:42,1500.0,1.0,-5.0,-999.0,38.0,-10.0,3.0,AUTO,0.057682108134031296,-0.00802761409431696,0.020372241735458374,0.0385003536939621,-0.011170368641614914,0.003588177729398012,-35.3632618,149.1652388,2593.0,5.0,33.0,-148.0,1500.0
13:56:44,1500.0,1.0,-3.3333333333333335,-1001.3333333333334,-56.0,6.333333333333333,-42.0,AUTO,-0.06719332685073216,0.004114257016529639,-0.08446972072124481,-0.05666801209251086,0.0059281957025329275,-0.04227773596843084,-35.36326069999999,149.16524633333333,5260.333333333333,1.6666666666666667,7.333333333333333,-148.0,1500.0
13:56:46,1500.0,-4.0,13.0,-965.0,-117.0,172.0,-348.0,AUTO,-0.00013277902326080948,0.01681639812886715,-0.13195668160915375,-0.11752670258283615,0.17163614928722382,-0.34761935472488403,-35.3632626,149.1652353,8727.0,-22.0,-48.0,-146.0,1397.0
13:56:48,1500.0,11.0,0.0,-986.0,-81.0,-162.0,-628.0,AUTO,0.09136760979890823,0.03693912550806999,-1.2654684782028198,-0.08212459087371826,-0.1634867936372757,-0.6284878849983215,-35.363267,149.1652335,11543.0,19.0,58.0,-137.0,1397.0
13:56:55,1500.0,-28.0,-12.25,-1013.25,12.0,128.75,-0.5,AUTO,0.0024571742105763406,0.022799095837399364,-1.8611193001270294,0.01169454911723733,0.12805863097310066,-0.00011073623318225145,-35.3632648,149.16522164999998,16141.5,-50.0,-109.0,-150.0,1500.0
13:56:57,1500.0,3.0,2.4,-994.4,-2.4,13.8,10.6,AUTO,0.01610793862491846,0.12674828469753266,-1.8521239757537842,-0.002780207572504878,0.013362134248018265,0.011402538046240807,-35.36326864,149.16521362,18708.6,8.2,39.2,-148.6,1500.0
13:56:59,1500.0,28.0,1.3333333333333333,-1010.5,-76.0,-73.33333333333333,3.1666666666666665,AUTO,-0.017143168971718598,-0.04681641335446329,-1.7724461754163106,-0.07683962459365527,-0.07473868442078431,0.0034514503398289285,-35.36325841666666,149.16523696666667,21961.0,69.16666666666667,84.5,-152.33333333333334,1500.0
13:57:01,1500.0,-27.0,7.5,-1002.5,77.5,130.5,15.0,AUTO,-0.04156458005309105,-0.034711889922618866,-1.8019639253616333,0.06646803766489029,0.09356652945280075,0.015370054170489311,-35.3632618,149.1652382,25370.0,-116.0,-60.0,-144.0,1500.0
