time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,chan4_raw,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
16:06:56,-0.0008853713516145945,0.0009777420200407505,0.022332269698381424,0.00017549219774082303,0.0002597857965156436,0.0014651783276349306,1500.0,0.0,2.0,-1000.0,1.0,1.0,0.0,STABILIZE,-35.3632622,149.1652375,0.0,-1.0,0.5,-2.5,1500.0
16:06:58,-0.0005994901293888688,0.0009979299502447248,0.02178635261952877,0.00017482321709394455,0.00036423240089789033,0.0013805786147713661,1500.0,0.0,2.0,-1000.0,1.0,1.0,0.0,STABILIZE,-35.3632622,149.1652375,9.0,-1.0,1.0,-2.0,1500.0
16:07:02,-0.0004030455893371254,0.001126397226471454,0.0208456264808774,0.0003404791932553053,0.0002831216552294791,0.001379307359457016,1500.0,0.0,2.0,-1000.0,1.0,0.5,0.5,AUTO,-35.3632621,149.1652375,9.0,0.0,0.0,0.0,1500.0
16:07:04,0.0003850418725050986,0.0016781557351350784,0.020283080637454987,0.00038131288602016866,0.000291431846562773,0.0013226851588115096,1500.0,0.0,1.0,-1000.0,1.0,0.5,0.0,AUTO,-35.3632621,149.1652375,0.0,0.0,0.0,1.0,1500.0
16:07:06,0.02834763191640377,-0.0017298659367952496,0.02002327051013708,0.046179695054888725,-0.007544869557023048,0.002486724522896111,1500.0,0.0,-0.5,-1012.5,46.5,-6.5,2.0,AUTO,-35.363262,149.1652376,1551.5,0.5,8.0,-144.5,1500.0
16:07:08,-0.034033103846013546,0.006464072037488222,-0.07187438011169434,-0.03378106653690338,-0.018195475451648235,-0.031235255300998688,1500.0,4.0,-8.5,-1003.0,-32.5,-16.5,-31.0,AUTO,-35.36326085,149.16524545,4589.5,1.5,32.5,-148.0,1500.0
16:07:10,-0.007395752007141709,0.006419936427846551,-0.10839885473251343,0.06809556856751442,0.012088449206203222,-0.0015064820763655007,1500.0,-6.0,12.5,-1003.5,68.5,12.5,-1.0,AUTO,-35.3632613,149.16524015,7653.0,-10.5,-61.5,-149.5,1500.0
16:07:14,0.02389606460928917,-0.07019723393023014,-2.100592017173767,-0.07034679874777794,-0.15670009702444077,-0.19307299703359604,1500.0,9.5,-7.0,-1006.0,-69.5,-155.5,-193.0,AUTO,-35.36326405,149.16523925,13579.5,44.0,-7.5,-148.0,1500.0
16:07:16,-0.0034813021775335073,-0.0648222528398037,-2.1851781606674194,0.06917645502835512,0.18807854130864143,0.0477534169331193,1500.0,-39.0,-20.5,-981.0,69.5,189.0,47.5,AUTO,-35.3632698,149.16521885,16494.5,-111.5,-145.0,-137.5,1500.0
16:07:18,0.05493810772895813,0.1456969827413559,-2.1185333728790283,0.046119894832372665,0.013175544328987598,0.006189567036926746,1500.0,-4.0,0.0,-994.0,47.0,13.0,6.0,AUTO,-35.3632828,149.1652014,19449.0,4.0,10.0,-156.0,1500.0
16:07:20,-0.0398525632917881,0.00401643943041563,-2.0316526889801025,0.05702791549265385,-0.1459122896194458,0.06255174055695534,1500.0,38.0,17.0,-1026.0,57.0,-144.5,62.0,AUTO,-35.363266100000004,149.1652224,22483.0,98.5,148.0,-147.0,1500.0
16:07:24,0.04953211545944214,-0.06131317466497421,-0.9704973995685577,0.025310912868008018,-0.02594639264862053,0.8590845763683319,1991.0,-0.5,1.0,-998.5,26.0,-25.0,858.5,AUTO,-35.363268250000004,149.16523855,28626.5,13.0,-2.5,-143.5,1500.0
16:07:26,0.026615317910909653,0.048350194469094276,0.39601485431194305,-0.03560260497033596,0.09230007790029049,0.24619951099157333,1500.0,-5.5,-1.5,-1003.5,-34.0,93.0,246.0,AUTO,-35.3632615,149.1652375,31566.0,16.5,2.5,-151.0,1500.0
16:07:30,-0.0024527925124857575,-0.12648861855268478,0.1986219584941864,0.01750085409730673,0.02856003027409315,-0.007779525825753808,1500.0,-12.5,-10.5,-996.0,18.0,29.0,-7.0,AUTO,-35.36327685,149.16523265,37634.0,85.5,27.0,-144.5,1500.0
16:07:32,0.015620891004800797,0.04557185433804989,0.15062953531742096,-0.00015647843247279525,0.10546698048710823,-0.04751555807888508,1500.0,-31.0,-21.0,-1017.0,0.5,106.0,-46.5,AUTO,-35.363250449999995,149.16523925,40585.5,140.0,26.0,-155.5,1500.0
16:07:34,-0.038970544934272766,0.13420718535780907,0.04626699164509773,-0.03862215066328645,-0.09444768354296684,0.01127215614542365,1500.0,16.0,7.5,-997.0,-37.0,-93.0,11.5,AUTO,-35.3632445,149.1652425,43740.0,-102.0,-2.0,-141.0,1500.0
