time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
16:59:53,-0.0009715229156427085,0.001115247281268239,0.021731201186776163,0.00022497758036479353,0.0003064995282329619,0.0015126426937058569,AUTO,-35.3632621,149.1652375,0.0,-0.2,0.6,2.2,0.0,1.4,-1000.0,0.2,0.2,0.2,1500.0
16:59:55,-0.0007239678525365889,0.0015764054376631975,0.02136085256934166,0.0002507940866053104,0.0002903230139054358,0.0014200273202732206,AUTO,-35.3632621,149.1652374,0.0,0.0,-0.6,0.4,0.0,1.4,-1000.0,0.2,0.6,0.2,1500.0
16:59:57,0.012937310384586453,0.0002665652369614691,0.020579399168491365,0.028402158548124133,-0.0026026110164821146,0.000882936324342154,AUTO,-35.36326208,149.16523754,1043.4,0.2,3.0,-132.8,0.0,-0.2,-1050.6,28.6,-1.8,0.2,1500.0
16:59:59,-0.008197044022381306,0.010889359936118125,-0.04577403943985701,-0.1176782913506031,0.014442304149270058,-0.06249738484621048,AUTO,-35.36326122,149.16524254,3765.2,5.2,42.8,-146.8,3.0,-9.8,-1000.4,-116.4,15.4,-62.6,1500.0
17:00:01,4.655122756958008e-05,0.0071866626385599375,-0.10426994040608406,0.06868082284927368,0.009280291851609945,-0.00010344310430809855,AUTO,-35.36326185,149.16523834999998,7273.5,-14.0,-58.5,-151.5,-5.666666666666667,13.0,-1003.0,67.66666666666667,9.333333333333334,-1.6666666666666667,1500.0
17:00:06,0.055712888948619366,-0.01969668810488656,-0.07164857536554337,-0.014570723287761211,-0.07001527212560177,0.07440585177391768,AUTO,-35.363264025,149.1652332,9311.0,-14.0,-0.25,-152.5,1.5,4.0,-997.75,-13.75,-68.75,73.75,1500.0
17:00:07,-0.01833982430398464,0.0012728923931717873,-0.09125089943408966,-0.008924924489110708,0.046069036796689035,-0.0727569192647934,AUTO,-35.36326232,149.16523524000002,11664.8,28.2,7.2,-152.0,-3.8,-5.8,-1003.6,-8.0,46.6,-72.6,1500.0
17:00:09,0.01106188353151083,0.02000941839069128,-0.15451938807964324,0.010458768066018819,-0.008009266573935747,-0.004781193914823234,AUTO,-35.363260159999996,149.16523446000002,14324.2,-4.0,-3.2,-153.6,-1.2,0.6,-999.2,10.8,-6.8,-5.4,1500.0
17:00:11,0.002781556744594127,0.0008431288588326424,-0.16214216003815332,-0.006781560834497213,-0.005728518047059576,-0.014402021653950214,AUTO,-35.363261466666664,149.16523515,17177.666666666668,-10.0,9.333333333333334,-153.33333333333334,2.3333333333333335,0.0,-1000.1666666666666,-5.666666666666667,-4.666666666666667,-14.166666666666666,1500.0
17:00:13,0.0016711640753783285,0.0008419445377512603,-0.2078639417886734,0.003451626980677247,0.003095018770545721,-0.025736922025680543,AUTO,-35.3632621,149.16523614,20264.6,-1.2,2.6,-154.0,0.0,0.0,-1000.0,4.0,3.4,-25.2,1500.0
17:00:15,0.0032252511397625008,0.0036114893931274614,-0.2534697949886322,-0.0010251066899703194,4.5565248001366854e-05,-0.018843230480949085,AUTO,-35.36326209999999,149.16523635000001,23436.0,-1.0,3.6666666666666665,-154.0,0.0,0.0,-1000.0,0.0,1.0,-18.833333333333332,1500.0
17:00:17,0.002526745821038882,0.004521169311677416,-0.2523415883382161,0.01271889588679187,-0.002622504524576167,0.026637777375678223,AUTO,-35.36326221666667,149.16523664999997,26549.5,-4.333333333333333,1.0,-153.83333333333334,0.0,0.0,-1000.8333333333334,13.333333333333334,-1.5,25.666666666666668,1500.0
17:00:19,0.0011635677888989448,0.0015823060646653175,-0.20252374410629273,-0.004470087867230177,6.595073500648141e-05,0.02023472934961319,AUTO,-35.3632624,149.16523741999998,29866.0,-0.2,6.8,-153.2,0.2,-0.6,-999.8,-3.2,0.6,19.4,1500.0
17:00:21,-0.00020863253242472032,0.0010314139265877504,-0.1713283807039261,0.0003787936099494497,-0.00033357564825564623,0.015224627684801817,AUTO,-35.36326235000001,149.16523798333333,32787.166666666664,0.0,1.1666666666666667,-154.0,0.0,0.0,-999.6666666666666,1.0,0.6666666666666666,14.5,1500.0
17:00:23,0.0014203071671848495,0.0010694439697545022,-0.14603105187416077,0.0010819419791611533,0.00017797168887530765,0.011477579828351736,AUTO,-35.363262216666676,149.16523783333335,35900.333333333336,0.0,0.0,-154.0,0.0,0.0,-999.6666666666666,1.8333333333333333,1.0,11.0,1500.0
17:00:25,0.0021565042552538216,0.0015783485432621092,-0.1259019374847412,0.0006561771151609719,0.0010168757435167208,0.009050279622897506,AUTO,-35.363262125,149.1652375,39248.25,0.0,0.0,-153.0,0.0,0.0,-1000.0,1.25,1.75,8.75,1500.0
17:00:27,0.0018586234655231237,0.0015711417460503678,-0.1132178008556366,0.0010182556385795276,0.0003710482657576601,0.00850144843570888,AUTO,-35.363262066666664,149.16523736666667,41977.833333333336,-0.5,0.16666666666666666,-153.0,0.0,0.0,-1000.0,1.5,1.1666666666666667,8.166666666666666,1500.0
17:00:29,0.0018908169780236979,0.0012951601723519464,-0.10088025033473969,9.966402042967577e-05,0.00013730609013388553,0.007227215139816205,AUTO,-35.363262,149.1652372833333,45089.666666666664,-1.0,1.0,-153.0,0.0,0.0,-1000.0,1.0,0.8333333333333334,7.0,1500.0
