time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,MODE
14:18:21,1500.0,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.0008033047779463232,0.0009247121633961797,0.024551397189497948,0.0001902127405628562,0.00024291977752000093,0.0017303085187450051,-35.3632621,149.1652375,0.0,-1.0,1.0,0.0,STABILIZE
14:18:25,1500.0,0.0,1.0,-1000.0,0.0,0.0,1.0,-0.0006099949241615832,0.0009492867975495756,0.023291559889912605,0.0002298465115018189,0.0003786365850828588,0.0017018045764416456,-35.3632622,149.1652375,3.5,-1.0,1.0,0.0,STABILIZE
14:18:31,1500.0,0.0,1.0,-1000.0,1.0,0.0,0.0,-0.0004511670267675072,0.0011559153790585697,0.021500962786376476,0.00034715604851953685,0.0003197648038621992,0.0013998625800013542,-35.3632621,149.1652375,7.5,0.0,0.0,0.0,AUTO
14:18:33,1500.0,0.0,1.0,-1000.0,1.0,0.5,1.0,0.00019569326104829088,0.0017023483524098992,0.02089082822203636,0.00038487600977532566,0.00028334962553344667,0.0013936288887634873,-35.3632621,149.1652374,13.0,0.0,0.0,-2.0,AUTO
14:18:34,22294.0,0.0,0.0,-1123.75,2.75,0.0,1.0,0.002094259165460244,0.0004848715179832652,0.020813532173633575,0.0019033452263101935,-0.0004146440769545734,0.0019167366699548438,-35.3632621,149.165237475,200.5,0.0,0.0,-59.75,AUTO
14:18:35,22294.0,0.0,-0.5,-1010.0,46.0,-6.5,2.0,0.03091232106089592,-0.002322804764844477,0.02080412581562996,0.04578942991793156,-0.007496848236769438,0.0029578806133940816,-35.363262,149.1652376,1650.5,1.5,9.5,-147.0,AUTO
14:18:37,22294.0,4.5,-8.0,-1000.5,-64.5,-22.5,-29.5,-0.038935559801757336,0.01051239320077002,-0.07793274521827698,-0.06560569256544113,-0.02389739267528057,-0.029668839648365974,-35.3632609,149.1652455,4690.5,-0.5,31.0,-148.0,AUTO
14:18:39,22294.0,-7.0,12.0,-1003.5,67.5,14.0,0.5,-0.0006399878766387701,0.0022149275901028886,-0.09334103763103485,0.06720728054642677,0.014271017163991928,0.001476784877013415,-35.36326135,149.16523925,7749.0,-5.0,-60.0,-149.5,AUTO
14:18:40,98427.0,-3.75,9.75,-1003.0,63.5,6.25,3.0,0.0482834056019783,0.01009517500642687,-0.09049202688038349,0.06323544215410948,0.005857842043042183,0.0038729572552256286,-35.3632619,149.16523502500002,8918.0,-11.0,-34.25,-151.25,AUTO
14:18:41,98427.0,3.5,-4.5,-1000.0,-114.5,21.0,-16.0,0.015859954117331654,-0.021526427008211613,-0.06518150120973587,-0.11570150405168533,0.020733742509037256,-0.016135677200509235,-35.363263,149.16523485,10854.5,2.0,32.5,-146.0,AUTO
14:18:43,98427.0,-3.0,0.5,-1000.0,27.5,6.0,-21.5,-0.002142838726285845,0.009332755580544472,-0.14779335260391235,0.027079839259386063,0.005767620867118239,-0.02180112712085247,-35.3632613,149.16523669999998,13945.0,4.5,-11.0,-151.0,AUTO
14:18:45,98427.0,0.0,0.0,-1000.0,-5.0,-2.0,-9.5,0.008419867139309645,0.005298612872138619,-0.1676017865538597,-0.006563503062352538,-0.003183404332958162,-0.009481979766860604,-35.36326135,149.16523535,17058.5,-6.0,4.5,-150.0,AUTO
14:18:46,14940.0,1.0,0.0,-1000.0,-3.25,-1.25,-15.75,0.0038341698818840086,0.002598452352685854,-0.17774560675024986,-0.004568635893519968,-0.0024933095555752516,-0.01606233767233789,-35.36326162500001,149.16523565,18224.0,-5.0,6.0,-150.5,AUTO
14:18:47,14940.0,0.0,0.0,-1000.0,0.5,0.5,-22.5,0.0015380035620182753,0.0016741505824029446,-0.20240791141986847,0.00037038742448203266,0.0005955283704679459,-0.02240049559623003,-35.36326185,149.16523615,20170.0,-2.5,4.0,-151.0,AUTO
14:18:49,14940.0,0.0,0.0,-1000.0,0.0,0.0,-18.0,0.0033351589227095246,0.0031039273599162698,-0.24521451443433762,-0.0005182897730264813,-0.0008184355101548135,-0.01838337630033493,-35.3632619,149.16523645,23293.0,-1.0,3.0,-151.0,AUTO
14:18:51,10290.5,0.0,0.5,-1000.0,24.5,-2.0,24.0,0.0055802566930651665,0.00503878016024828,-0.2559516876935959,0.023927799426019192,-0.003388931741937995,0.024531730450689793,-35.3632621,149.16523654999997,26404.0,-5.0,-0.5,-152.0,AUTO
14:18:53,5641.0,1.5,7.0,-960.0,62.0,-34.0,-39.5,0.023823850322514772,-0.046453807502985,0.13841743767261505,0.06139376573264599,-0.03501785174012184,-0.04005349054932594,-35.3632652,149.16523395,29021.5,-18.5,-18.5,-85.0,AUTO
14:18:55,5641.0,-1.5,16.0,-982.0,412.5,23.5,-2.5,0.010917900130152702,0.006421525962650776,0.09968839585781097,0.4108715280890465,0.023100427351891994,-0.0031252728076651692,-35.3632631,149.16523619999998,30158.0,23.5,28.5,-31.0,AUTO
14:18:56,77861.0,-0.25,-16.0,-973.5,-181.75,4.25,-6.5,-0.0072584765730425715,0.015147997764870524,0.09401123970746994,-0.1826578788459301,0.003342896292451769,-0.006902650929987431,-35.36326175,149.1652382,30334.5,15.0,19.25,-14.25,AUTO
14:18:57,77861.0,2.5,-29.5,-1020.0,-629.0,-1.5,-0.5,-0.018782163970172405,0.03680319897830486,0.08203708007931709,-0.6293086111545563,-0.00248599995393306,-0.0003429891658015549,-35.3632615,149.16523984999998,30268.0,-17.0,-11.5,9.5,AUTO
