time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,VFR_HUD_alt,EK2_ALT_SOURCE,MODE,alt,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
17:24:42,0.0,1.8,-1000.0,0.4,0.2,0.6,-0.00017098618700401859,0.0021114769857376813,0.021048464998602866,0.00031510947737842796,0.0003333961591124535,0.001426337705925107,583.9599609375,0.0,AUTO,583960.0,-35.3632622,149.1652375,15.4,0.0,0.0,0.0,1500.0
17:24:44,0.0,2.0,-1000.0,0.5,0.5,1.0,0.0002332607728021685,0.0025959842605516315,0.020414229482412338,0.0003369502567996581,0.000370502103275309,0.0013526124724497397,583.9599609375,0.0,AUTO,583960.0,-35.3632622,149.1652375,17.5,-1.0,1.0,-0.5,1500.0
17:24:58,0.0,4.25,-1004.75,205.25,0.25,1.5,0.0018033446394838393,0.0002456641523167491,0.02147437958046794,0.20446353405714035,-3.2428011763840914e-05,0.0015714294859208167,584.9299774169922,0.0,AUTO,584930.0,-35.3632625,149.16523675,986.5,4.0,8.0,-6.25,1500.0
17:25:30,4.4,-4.4,-1003.8,-46.4,17.0,-39.4,-0.0012995098717510701,-0.01342057716101408,-0.08373605385422707,-0.04526372626423836,0.016972044436261057,-0.04042490273714065,598.3639892578125,0.0,AUTO,598364.0,-35.36325988,149.16524065999997,14416.4,-6.8,40.8,-142.8,1500.0
17:25:37,-16.8,99.8,-1118.2,1652.4,-67.8,-27.0,0.22825287319719792,-0.09692568578175269,-0.10863168239593506,1.654864525794983,-0.06903161313384772,-0.027581454440951347,598.0979736328125,0.0,AUTO,598098.0,-35.36329518,149.16508928,14150.2,-115.0,-206.8,148.4,1500.0
17:25:47,-11.0,19.0,-998.0,76.0,23.0,-24.0,-0.11096449196338654,0.020613281056284904,-0.24439381062984467,0.07484504580497742,0.022943489253520966,-0.025337550789117813,606.2799682617188,0.0,AUTO,606280.0,-35.3632885,149.165107,22339.0,-33.0,-106.0,-135.0,1500.0
17:25:59,-1.1428571428571428,15.571428571428571,-1042.5714285714287,6.428571428571429,-18.142857142857142,37.714285714285715,0.12771339075905935,-0.03665734820866159,-0.06475739367306232,0.004288930046771254,-0.01968594833410212,0.03668573329092136,615.7714233398438,0.0,AUTO,615771.4285714285,-35.36329002857143,149.16500592857142,31827.285714285714,-29.571428571428573,-4.428571428571429,-136.57142857142858,1500.0
17:26:05,16.333333333333332,16.666666666666668,-1008.1666666666666,18.833333333333332,-113.33333333333333,95.33333333333333,0.07328090506295364,-0.016512603033334017,-0.2648105099797249,0.01603367819916457,-0.11536897501597802,0.09445250080898404,624.7799886067709,0.0,AUTO,624780.0,-35.363302516666664,149.16499401666667,40835.833333333336,-100.33333333333333,12.333333333333334,-146.83333333333334,1500.0
17:26:07,-23.0,-29.4,-1006.2,-56.4,117.0,-49.8,-0.02974429838359356,-0.13759296983480454,-0.10079862028360367,-0.05983657483011484,0.11567809656262398,-0.051426653563976285,627.8519775390625,0.0,AUTO,627852.0,-35.36329746,149.16500444,43906.4,177.4,25.0,-126.2,1500.0
17:26:39,-94.4,-53.6,-1007.0,4.0,39.2,-73.2,0.06723083406686783,-0.16835729777812958,1.1249626874923706,0.0023362948559224606,0.03751760385930538,-0.07547279819846153,616.7579833984375,0.0,ALT_HOLD,616758.0,-35.36284532,149.16565826000001,32813.4,190.8,443.8,-58.6,1500.0
17:27:15,-42.5,-38.5,-1004.0,-5.0,14.75,25.25,0.026620435062795877,0.006815237400587648,1.0168515145778656,-0.007213675417006016,0.012332592974416912,0.023081560619175434,627.8799896240234,0.0,AUTO,627880.0,-35.362400375,149.16686777500001,43935.5,71.25,237.5,-150.0,1500.0
17:27:21,5.5,-56.833333333333336,-945.6666666666666,360.5,-0.6666666666666666,-61.666666666666664,0.04368526302278042,-0.009678589645773172,2.0914344787597656,0.3665979678432147,-0.004252707818523049,-0.06447582024460037,631.9983215332031,0.0,ALT_HOLD,631998.3333333334,-35.36240093333334,149.16692941666665,48054.0,-97.66666666666667,-20.333333333333332,233.33333333333334,1500.0
17:27:27,-1.4,8.6,-1003.8,261.0,13.6,669.2,0.0016661726171150804,-0.011004066467285157,-2.15875039100647,0.25891342014074326,0.010893768118694424,0.667110002040863,626.0099853515625,0.0,AUTO,626010.0,-35.362426,149.1669235,42062.8,-2.8,-20.0,7.6,1500.0
17:28:08,-58.833333333333336,-27.833333333333332,-1027.3333333333333,-1.0,28.0,-4.5,0.02570456623410185,-0.13762920225660005,-1.802246908346812,-0.006462495774030685,0.025248953141272068,-0.007488513637023668,617.1783142089844,0.0,AUTO,617178.3333333334,-35.36293011666667,149.16541445,33233.5,-81.83333333333333,-272.5,-53.666666666666664,1500.0
17:28:23,-66.0,-34.6,-1020.4,2.8,35.8,0.2,0.030718084797263144,-0.11542116105556488,-1.8502886056900025,-0.0015720561146736144,0.03303199075162411,-0.0032676228787750007,623.4059936523438,0.0,AUTO,623406.0,-35.3630759,149.16494432000002,39461.6,-105.6,-287.6,-74.2,1500.0
17:28:28,-81.2,-48.8,-988.6,10.0,3.2,1.2,0.048637831956148146,-0.06407902613282204,-1.862698745727539,0.005794552899897098,-0.00040590683929622175,-0.0017631340771913529,628.7619750976562,0.0,AUTO,628762.0,-35.36313646,149.16471964000002,44817.0,-126.4,-385.0,-98.4,1500.0
