time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,lat,lon,relative_alt,vx,vy,vz
12:39:44,1500.0,-0.0005263987695798278,0.0013721680734306574,0.02597939781844616,0.0003616298781707883,9.32428811211139e-05,0.0021287400741130114,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,-35.3632622,149.1652374,0.0,-2.0,1.0,-1.0
12:39:50,1500.0,-0.00023403212253469974,0.0009197400067932904,0.023331182077527046,0.0002607826318126172,0.0002498898538760841,0.0018258000491186976,0.0,1.0,-1000.0,1.0,0.0,0.0,STABILIZE,-35.3632621,149.1652374,0.0,-1.0,0.5,-2.0
12:39:52,1500.0,-0.0003846801118925214,0.0009388968464918435,0.02235717885196209,0.0002557205152697861,0.0003635843168012798,0.0016485999803990126,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,-35.3632621,149.1652375,0.0,-1.0,2.0,0.0
12:39:58,138477.5,-0.0007531613809987903,0.0010124502005055547,0.020654920488595963,0.00024145585484802723,0.00024589989334344864,0.0014463213738054037,0.0,2.0,-1000.0,0.0,0.0,1.0,AUTO,-35.3632622,149.1652375,4.0,-1.0,1.0,0.0
12:40:00,275455.0,-0.0005147988558746874,0.0012758380617015064,0.02028682827949524,0.00029059514054097235,0.00025473179994150996,0.0013831466203555465,0.0,1.0,-1000.0,1.0,0.5,0.0,AUTO,-35.3632621,149.16523745,2.0,0.0,-0.5,0.0
12:40:01,39491.0,-0.00021114702030899934,0.0015548933879472315,0.020056834910064936,0.00030572080868296325,0.00031797644624020904,0.0013515375030692667,0.0,1.75,-1000.0,0.25,0.75,0.25,AUTO,-35.3632621,149.1652374,3.75,0.0,0.0,0.0
12:40:02,39491.0,0.00085804096852371,0.0012669057177845389,0.019761026836931705,8.458623779006302e-05,0.0021993435511831194,0.0010485647362656891,0.0,1.0,-1059.5,0.0,2.5,0.5,AUTO,-35.3632621,149.16523745,174.0,0.0,0.0,-48.5
12:40:04,131881.5,0.016458566358778626,0.0009025177569128573,0.005795347737148404,0.028350242879241705,-0.004664905893150717,0.0033883911091834307,0.0,-0.5,-1004.0,28.5,-3.5,2.5,AUTO,-35.363262,149.1652374,2638.5,0.0,4.5,-147.5
12:40:06,224272.0,-0.010358491912484169,0.015767721459269524,-0.06456336192786694,-0.1077179815620184,0.000983196310698986,-0.05407757870852947,4.0,-9.0,-997.5,-107.0,1.5,-54.0,AUTO,-35.36326115,149.16524364999998,5703.5,3.5,43.5,-146.5
12:40:07,143977.0,-0.06545167975127697,-0.002863587869796902,-0.09102393873035908,-0.02100440999493003,-0.012940436121425591,-0.012463343562558293,0.5,-1.0,-1001.0,-20.25,-12.0,-12.0,AUTO,-35.363261,149.16524617500002,7237.75,-1.25,-6.5,-148.0
12:40:08,143977.0,-0.029277892084792256,-0.00216216710396111,-0.09243334084749222,0.06295579671859741,0.010567800607532263,-0.0020656697161030024,-5.5,9.5,-1002.0,63.0,10.5,-2.5,AUTO,-35.363261,149.1652422,8772.5,-2.0,-54.5,-149.0
12:40:10,142203.0,0.05056748166680336,0.0005898005329072475,-0.07672088593244553,-0.03573223017156124,-0.0026507589500397444,0.0013231693301349878,2.5,1.0,-1000.0,-35.5,-1.5,1.0,AUTO,-35.3632623,149.16523404999998,11889.0,-10.0,13.0,-149.0
12:40:12,140429.0,-0.01725779171101749,0.0005452503683045506,-0.1282716877758503,0.024594196118414402,0.01142524927854538,-0.03354764822870493,-2.0,-0.5,-1001.0,24.5,11.5,-33.0,AUTO,-35.36326205,149.16523745,14974.5,6.0,-4.0,-151.5
12:40:13,214322.0,0.007056527762415499,0.008716666605323553,-0.154263436794281,0.01775280269794166,0.003766661830013618,-0.016502985265105963,-2.5,1.25,-999.5,17.75,4.25,-16.0,AUTO,-35.363261475,149.165236325,16536.75,1.25,-10.25,-152.0
12:40:14,214322.0,0.01206697104498744,0.008251368533819914,-0.16428808122873306,-0.004639315768145025,-0.0021359308157116175,-0.009185940492898226,-0.5,0.5,-999.5,-3.5,-1.0,-9.0,AUTO,-35.3632614,149.1652355,18096.0,-3.0,-0.5,-151.0
12:40:16,142321.0,0.0022564426180906594,0.0024336455389857292,-0.19060596823692322,-0.002146051701856777,-5.3641473641619086e-05,-0.020521382801234722,0.5,0.0,-1000.0,-1.0,0.5,-20.0,AUTO,-35.36326175,149.16523585,21212.0,-3.5,5.5,-152.0
12:40:18,70320.0,0.002351301140151918,0.003200968378223479,-0.23325200378894806,0.001623676624149084,0.00022548105334863067,-0.02074239868670702,0.0,0.0,-1000.0,2.5,0.5,-20.5,AUTO,-35.36326185,149.16523635,24326.5,-2.0,3.0,-152.0
12:40:19,61946.0,-0.005129279335960746,0.0026560897822491825,-0.2531663216650486,0.008065216708928347,9.545605280436575e-05,-0.018000776413828135,0.0,0.25,-1001.5,8.75,0.5,-17.5,AUTO,-35.363261949999995,149.16523640000003,25883.25,-2.75,-1.25,-152.25
12:40:20,61946.0,0.011171168647706509,0.0036003412678837776,-0.26004354655742645,0.006960377329960465,0.0027670549461618066,0.005766464862972498,0.0,0.5,-999.0,8.0,3.5,5.5,AUTO,-35.36326215,149.1652361,27442.5,-2.5,1.5,-152.5
12:40:22,121767.0,0.0002747860853560269,0.002768578822724521,-0.21921943128108978,-0.005736584775149822,-0.0004706339386757463,0.023598426952958107,0.5,-1.0,-1000.0,-4.5,0.5,22.5,AUTO,-35.3632622,149.16523734999998,30547.5,-1.0,9.0,-151.5
