time_stamp,lat,lon,relative_alt,vx,vy,vz,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
01:21:05,-35.3632621,149.1652375,0.0,-1.0,0.5,-0.5,STABILIZE,-0.0002862376859411597,0.0009265132830478251,0.023363521322607994,0.00028769858181476593,0.00016071059508249164,0.0016638822853565216,0.0,2.0,-1000.0,1.0,0.0,0.0,1500.0
01:21:13,-35.3632622,149.1652375,2.0,-1.0,0.0,-0.5,AUTO,-0.0008241613686550409,0.0009839335107244551,0.021266130730509758,0.00016728590708225965,0.0002998522249981761,0.0015601362101733685,0.0,1.0,-1000.0,0.5,0.5,0.0,114310.0
01:21:15,-35.3632621,149.1652375,2.5,0.0,0.0,0.0,AUTO,-0.00045787989802192897,0.001259253651369363,0.020851993933320045,0.00035235582618042827,0.00027983172913081944,0.0014631689409725368,0.0,1.5,-1000.0,1.0,0.0,0.0,227120.0
01:21:16,-35.3632621,149.1652375,0.25,0.0,1.0,1.0,AUTO,-5.3666557960241335e-05,0.0015423862496390939,0.020588950719684362,0.0002227273944299668,0.00029442834784276783,0.0014237342402338982,0.0,3.0,-997.25,0.75,0.5,0.0,88471.0
01:21:17,-35.3632621,149.1652375,84.0,0.0,0.5,-32.0,AUTO,0.0014968088908062782,0.0008641931926831603,0.020289304666221142,0.0002986488107126206,0.0024060723662842065,0.0017530296463519335,0.0,0.5,-1065.5,0.0,2.5,0.5,88471.0
01:21:19,-35.36326185,149.16523855000003,2285.0,4.0,25.5,-145.5,AUTO,0.047920193523168564,-0.006002739537507296,0.0072168291080743074,0.034801388159394264,-0.006998828146606684,-0.007445818977430463,0.5,-4.0,-1002.0,34.5,-6.0,-8.0,143556.0
01:21:21,-35.36326085,149.16524605,5328.0,0.5,5.0,-147.5,AUTO,-0.05583261325955391,0.0022843863407615572,-0.08413761109113693,0.00612393394112587,-0.00820776610635221,-0.026486377231776714,2.0,-3.0,-1003.5,7.0,-7.5,-26.5,198641.0
01:21:22,-35.36326095,149.165243675,6860.25,-5.0,-49.0,-147.5,AUTO,-0.040614858735352755,0.0009234119279426523,-0.10346874594688416,0.06054109148681164,0.006121867561887484,-0.008483587007503957,-4.25,7.75,-1001.5,60.75,6.25,-8.25,219380.0
01:21:23,-35.363261800000004,149.16523775,8407.5,-13.5,-46.0,-150.5,AUTO,0.02425457930075936,0.009622498648241162,-0.10534977912902832,0.06505389884114265,0.006700768251903355,0.002107497668475844,-4.0,11.0,-1003.0,65.5,6.5,1.5,219380.0
01:21:25,-35.363263,149.16523635,11509.0,15.5,17.0,-148.5,AUTO,-0.008380169281736016,-0.019732926331926137,-0.07485895231366158,-0.050161314313299954,0.04568437300622463,-0.04708502255380154,0.0,-5.0,-1002.5,-49.0,46.0,-47.0,143488.5
01:21:27,-35.3632607,149.16523585,14618.5,-0.5,-7.0,-151.5,AUTO,0.008742770063690841,0.01560120191425085,-0.15673059970140457,0.01777712069451809,-0.0021122234174981713,-0.0092543032951653,-2.5,0.5,-999.5,18.0,-1.5,-9.5,67597.0
01:21:28,-35.363260874999995,149.16523535,16178.5,-8.5,3.5,-151.0,AUTO,0.012023545801639557,0.009124104981310666,-0.16104857996106148,-0.006781606818549335,-0.008715407457202673,-0.0035779235186055303,0.75,0.25,-999.5,-5.5,-7.5,-3.5,40274.0
01:21:29,-35.3632615,149.16523569999998,17735.5,-8.0,8.0,-151.0,AUTO,0.004629735602065921,0.001974494041860453,-0.16901521384716034,-0.004332058597356081,-0.0037831522058695555,-0.014466569758951664,1.0,0.0,-1000.0,-3.0,-2.5,-14.5,40274.0
01:21:31,-35.363262,149.16523645,20858.5,-1.5,3.5,-152.0,AUTO,0.0021377471275627613,0.0011453339539002627,-0.21078339964151382,0.002487874240614474,0.003012965084053576,-0.024090824648737907,0.0,0.0,-1000.0,3.0,3.0,-24.0,72826.5
