time_stamp,lat,lon,relative_alt,vx,vy,vz,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
16:22:27,-35.3632621,149.1652374,0.0,-3.0,4.0,0.0,STABILIZE,-0.0002735465532168746,0.0012429329799488187,0.02901170402765274,0.00020249170484021306,0.00033225762308575213,0.0025097932666540146,0.0,1.0,-1000.0,0.0,0.0,0.0,1500.0
16:22:54,-35.3632622,149.1652375,1.75,-1.0,1.0,0.0,AUTO,-0.000902504674741067,0.0009631610737415031,0.021186900790780783,0.0001801866019377485,0.00024097360437735915,0.001495515985880047,0.0,1.25,-1000.0,0.25,0.5,0.75,1500.0
16:23:06,-35.3632615,149.1652351,16780.0,-6.0,8.0,-152.0,AUTO,0.003898386377841234,0.004025504924356937,-0.15943700075149536,-0.004850894212722778,-0.0039236475713551044,-0.016452603042125702,1.0,0.0,-999.0,-4.0,-3.0,-16.0,1500.0
16:23:11,-35.3632618,149.16523582499997,18531.75,-3.5,6.0,-153.0,AUTO,0.0015520220040343702,0.0016567762068007141,-0.18106641247868538,-0.0004856335581280291,0.00041464122477918863,-0.021319164894521236,0.5,0.0,-1000.0,0.0,1.0,-20.75,1500.0
16:23:13,-35.363261939999994,149.16523638,21622.8,-1.6,3.2,-153.0,AUTO,0.0027190464083105327,0.00278357258066535,-0.22492298781871795,0.000943246332462877,0.001165818318258971,-0.02150965929031372,0.0,0.0,-1000.0,1.3333333333333333,1.1666666666666667,-21.333333333333332,1500.0
16:23:15,-35.363262,149.165236725,24558.75,-1.25,2.75,-152.75,AUTO,0.00010672933422029018,0.0033730310387909412,-0.26100245863199234,-0.017921378763276152,0.00482808418746572,-0.00979008013382554,0.0,0.0,-998.4,-13.8,4.0,-11.2,1500.0
16:23:18,-35.3632624,149.16523755999998,29976.4,0.0,6.8,-153.0,AUTO,0.0005251719761872664,0.0016591662773862482,-0.1904034286737442,-0.003084327676333487,0.0005520339938811958,0.018953853100538254,0.0,-1.0,-1000.0,-1.8,1.0,18.6,1500.0
16:23:20,-35.3632623,149.165238,32941.6,0.0,0.8,-153.0,AUTO,0.00047220235283020886,0.0010492800385691226,-0.15974625647068025,0.0018395384540781379,0.0006527028745040298,0.0148525882512331,0.0,0.0,-999.6,2.6,1.2,14.2,1500.0
16:23:22,-35.3632622,149.16523783333335,35941.5,0.0,0.0,-153.0,AUTO,0.0016630540679519374,0.0012803843516545992,-0.13621519754330316,0.0016125566811145593,0.0005605057716214409,0.011376315727829933,0.0,0.0,-1000.0,2.5,1.0,11.0,1500.0
16:23:24,-35.36326209999999,149.16523755,39068.0,0.0,0.0,-153.0,AUTO,0.0022675564202169576,0.0015404473912591736,-0.11771806205312411,-2.437763032503426e-05,0.00043280971779798466,0.009107344318181276,0.0,0.0,-999.8333333333334,0.6666666666666666,1.1666666666666667,8.833333333333334,1500.0
16:23:26,-35.36326201666666,149.1652374,42181.833333333336,-1.0,1.0,-153.0,AUTO,0.0018062252784147859,0.0015580347777965169,-0.10362083961566289,9.451110963709652e-05,0.0009470496443100274,0.007652593776583672,0.0,0.0,-999.6666666666666,1.1666666666666667,1.6666666666666667,7.333333333333333,1500.0
16:23:28,-35.363262,149.16523731666666,45299.5,-1.0,1.0,-153.0,AUTO,0.0018540125844689708,0.0011633427153962355,-0.09146385143200557,0.0007722636025088528,0.001100421417504549,0.006597457453608513,0.0,0.0,-999.8333333333334,1.8333333333333333,1.6666666666666667,6.333333333333333,1500.0
16:23:30,-35.36326280000001,149.16523611666665,48238.0,-18.833333333333332,-21.833333333333332,-113.16666666666667,AUTO,-0.027674143901094794,0.01873328334962328,0.16249933559447527,0.00016524332265059152,-0.04525424912571907,0.2643097713589668,2.1666666666666665,5.166666666666667,-949.8333333333334,1.6666666666666667,-44.166666666666664,264.1666666666667,1500.0
16:23:32,-35.36326395,149.16523323333334,49769.166666666664,15.333333333333334,19.0,-43.333333333333336,AUTO,0.030739696385959785,-0.02238520820780347,0.27685033281644184,0.058548089737693466,0.03775235544890165,-0.03550090206166109,-2.3333333333333335,-3.5,-969.3333333333334,59.5,38.166666666666664,-34.666666666666664,1500.0
16:23:34,-35.3632614,149.16523781666666,50059.0,6.333333333333333,11.166666666666666,6.5,AUTO,-0.0031022881933798394,-0.0021378730113307634,0.21415678163369498,0.33426077167193097,-0.06364973432694872,-0.019308930883804958,-0.6666666666666666,14.5,-1000.0,337.1666666666667,-62.333333333333336,-18.0,1500.0
16:23:36,-35.36325335,149.16524153333333,49983.0,111.66666666666667,53.0,-1.3333333333333333,AUTO,0.0072416229522787035,-0.12790590027968088,0.5365049615502357,-0.032235133151213326,-0.042313313422103725,0.307779432196791,-27.5,-9.833333333333334,-1004.5,-30.0,-40.333333333333336,307.8333333333333,1500.0
16:23:38,-35.36321588333333,149.16526231666666,49946.666666666664,317.8333333333333,152.0,0.3333333333333333,AUTO,0.014471448763894538,-0.19542190184195837,0.5873501002788544,-0.050476446437338986,-0.009359620433921615,-0.0151487966068089,-74.66666666666667,-36.5,-1007.1666666666666,-49.333333333333336,-8.166666666666666,-14.166666666666666,1500.0
16:23:40,-35.36314145,149.16530548333333,49926.833333333336,512.3333333333334,241.83333333333334,-1.1666666666666667,AUTO,0.035133470160265766,-0.21212597688039145,0.561778336763382,0.0008010276748488346,0.013138540865232548,-0.011641077852497498,-117.66666666666667,-44.0,-999.6666666666666,2.5,13.833333333333334,-10.666666666666666,1500.0
