time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,RTL_ALT,LAND_SPEED
13:54:48,-0.0008763472433201969,0.0012863397132605314,0.029893554747104645,0.00018540368182584643,0.00017377675976604223,0.0024286627303808928,-35.3632621,149.1652374,1.0,0.0,0.0,-2.0,0.0,1.0,-1000.0,0.0,0.0,0.0,GUIDED,1500.0,50.0
13:54:50,-0.0005114176892675459,0.001574472349602729,0.028796798549592495,0.00030671914282720536,0.000339228572556749,0.0023903308901935816,-35.3632621,149.1652374,0.0,-1.0,0.0,-2.0,0.0,1.0,-1000.0,0.0,0.0,0.0,GUIDED,1500.0,50.0
13:54:52,-0.0006444565078709275,0.0014138929545879364,0.02754330076277256,0.00019637368677649647,0.00028186112467665225,0.0023088816087692976,-35.3632622,149.1652374,2.5,-2.0,1.0,-1.0,0.0,1.0,-1000.0,0.0,0.0,0.0,GUIDED,1500.0,50.0
13:54:54,-0.0004907383117824793,0.0014224640326574445,0.026474971945087116,0.00022577795122439662,0.00024250123533420265,0.0020928864056865373,-35.3632621,149.1652374,12.666666666666666,0.0,0.0,-1.0,0.0,1.0,-1000.0,0.0,0.3333333333333333,0.0,GUIDED,1500.0,50.0
13:54:56,0.0006269375153351575,0.0013347966480068863,0.02555060386657715,0.0024079604656435548,-0.002570903318701312,0.0024295256938785315,-35.3632621,149.1652374,22.0,0.0,0.0,-8.6,0.0,1.2,-1039.4,2.6,-2.0,0.6,GUIDED,1500.0,50.0
13:54:58,0.04449257627129555,-0.0048494913304845495,0.025016289204359055,0.04232639198501905,-0.009440518294771513,0.0035641424668331942,-35.363261924999996,149.16523800000002,1942.0,2.25,16.5,-147.75,0.25,-2.25,-1007.0,43.5,-7.75,1.75,GUIDED,1500.0,50.0
13:55:00,-0.049482100456953046,0.0057504186610458415,-0.07004784420132637,-0.054624235210940245,-0.005861698114313185,-0.039680353924632074,-35.36326072,149.16524552,4798.0,4.2,23.2,-148.2,2.6,-6.8,-1003.4,-53.8,-5.6,-40.2,GUIDED,1500.0,50.0
13:55:02,0.030217068269848824,0.017090434208512306,-0.12001002207398415,0.06994860991835594,0.002584746980573982,0.002587853348813951,-35.36326265,149.16523625,8457.0,-27.5,-49.5,-151.5,-2.0,14.0,-1004.0,70.0,2.5,1.0,GUIDED,1500.0,50.0
13:55:04,0.021002856781706214,-0.06555590964853764,-0.018059878144413233,-0.12709027528762817,0.09880783781409264,-0.05771486274898052,-35.36326485,149.1652358,11405.0,40.0,38.5,-146.0,0.0,-8.0,-996.0,-77.0,51.333333333333336,-9.666666666666666,GUIDED,1500.0,50.0
13:55:06,-0.000944805855397135,0.045245420187711716,-0.19519075751304626,0.0530734658241272,0.007477715145796537,-0.02290825918316841,-35.3632581,149.1652362,14700.0,-6.0,-24.0,-153.0,-4.0,4.0,-1000.0,53.0,8.0,-23.0,GUIDED,1500.0,50.0
13:55:08,-0.001043875003233552,-0.023332747630774975,-0.13861271739006042,-0.03939716890454292,0.02904561720788479,-0.02304964978247881,-35.3632619,149.16523605,17635.0,-11.0,17.0,-151.0,5.0,-0.5,-1001.0,-38.0,29.0,-23.5,GUIDED,1500.0,50.0
13:55:10,0.001934304057310025,0.005537915742024779,-0.21817308167616525,0.012990845988194147,0.005656701512634754,-0.03106126996378104,-35.36326186666667,149.16523653333334,20563.333333333332,0.3333333333333333,-3.6666666666666665,-153.0,-1.0,0.0,-999.6666666666666,13.0,6.0,-31.333333333333332,GUIDED,1500.0,50.0
13:55:12,0.004709117192154129,0.004089424774671595,-0.25654347737630206,-0.0029986873269081116,-0.0025300232227891684,-0.015548090760906538,-35.36326193333333,149.16523613333334,23692.666666666668,-4.0,4.666666666666667,-153.0,0.0,0.0,-1000.0,-2.0,-1.3333333333333333,-16.0,GUIDED,1500.0,50.0
13:55:14,0.004962277831509709,0.0033010508050210774,-0.277520589530468,0.024424385279417038,0.002125264349160716,0.01235168130369857,-35.363262325,149.165236375,26622.25,-4.0,-0.5,-153.0,0.0,0.2,-1000.8,22.8,2.4,5.6,GUIDED,1500.0,50.0
13:55:16,0.003161032183561474,0.001574044511653483,-0.2366441935300827,-0.006185789266601205,0.0005758062237873673,0.021818604692816733,-35.3632626,149.16523716,29539.6,-0.2,9.2,-152.0,0.8,-1.0,-1000.0,-5.0,1.2,20.8,GUIDED,1500.0,50.0
13:55:18,-0.0003729159113087614,0.002000086009502411,-0.1961443175872167,0.001390681214009722,-0.0002439358892540137,0.01503724760065476,-35.3632624,149.1652381,33045.333333333336,0.0,1.3333333333333333,-153.0,0.0,0.0,-999.75,1.5,1.0,14.5,GUIDED,1500.0,50.0
13:55:20,0.0012057289519968133,0.0011229244119022042,-0.17441911747058234,0.0004137000360060483,-0.0006378671581236025,0.012842066741238037,-35.3632623,149.16523803333334,35580.5,0.0,0.0,-153.0,0.0,0.0,-1000.0,1.1666666666666667,0.3333333333333333,11.833333333333334,GUIDED,1500.0,50.0
13:55:22,0.002279369451571256,0.0014802682562731206,-0.15203002467751503,0.0014798772754147649,0.0007453632861142978,0.009525120607577264,-35.3632622,149.16523767500001,38928.25,0.0,0.0,-153.0,0.0,0.0,-999.8,1.6,1.2,9.0,GUIDED,1500.0,50.0
13:55:24,0.0019639011938124896,0.0013585758162662387,-0.1376376271247864,0.001692008855752647,0.0001723637105897069,0.007743353210389614,-35.3632621,149.1652375,41857.0,0.0,0.4,-153.0,0.0,0.0,-1000.0,1.5,0.6666666666666666,7.166666666666667,GUIDED,1500.0,50.0
13:55:26,0.0015044917236082256,0.0013662564451806247,-0.12408236600458622,0.0004799657763214782,-0.00014842145901639014,0.006424623599741608,-35.363262,149.1652374,45164.5,-1.0,1.0,-153.0,0.0,0.0,-1000.5,1.25,0.75,5.75,GUIDED,1500.0,50.0
13:55:28,0.0017834033584222197,0.001052573334891349,-0.11379760056734085,0.00035237837582826617,-0.000600783945992589,0.006987269315868616,-35.363262,149.1652374,47890.5,-1.0,1.0,-153.0,0.0,0.0,-1000.1666666666666,1.0,0.16666666666666666,6.666666666666667,GUIDED,1500.0,50.0
13:55:30,0.0014368684729561209,0.0012148259324021638,-0.10355115085840225,0.0005638024071231484,0.00038543029222637415,0.0058072242885828015,-35.363262,149.16523738,51205.0,-1.0,1.0,-153.0,0.0,0.0,-999.8,1.4,1.0,5.6,LAND,1500.0,150.0
13:55:32,-0.024659966085372225,0.024960937934728072,0.033389582697834284,-0.021989542807984565,-0.014009221565044885,0.2181665526836046,-35.36326225714286,149.16523695714287,54254.71428571428,-11.142857142857142,-10.285714285714286,-130.14285714285714,1.0,2.2857142857142856,-952.5714285714286,-21.0,-13.0,218.0,LAND,1500.0,150.0
13:55:34,0.03928391542285681,-0.04279197690387567,0.29706305762132007,0.10683055842916171,0.02161890605930239,-0.03193863450239102,-35.36326451666667,149.16523281666667,55480.833333333336,5.0,0.16666666666666666,12.833333333333334,-0.5,-11.666666666666666,-938.6666666666666,104.83333333333333,22.5,-31.166666666666668,LAND,1500.0,180.0
13:55:36,0.007322736666537821,0.014015015059461197,0.23154243330160776,0.48255788162350655,0.00490617777298515,-0.03989252137641112,-35.363261916666666,149.16523775,54392.0,14.0,22.666666666666668,101.33333333333333,1.0,-20.333333333333332,-926.1666666666666,477.5,5.666666666666667,-39.0,LAND,1500.0,170.0
13:55:38,-0.02811251999810338,0.0009488478244747967,0.17006325721740723,-1.4294449985027313,-0.009900867007672787,-0.01684488879982382,-35.363261375,149.16524095,51516.25,0.0,-10.75,107.5,0.4,-49.8,-1026.8,-1362.4,-8.6,-15.2,LAND,1500.0,170.0
13:55:40,0.025392324663698673,-0.005502000373477737,0.13864056020975113,0.8340959288179874,-0.008675745765989026,-0.01834279010654427,-35.363261916666666,149.16523883333335,49498.5,1.5,-9.5,109.83333333333333,-0.5,1.1666666666666667,-992.6666666666666,829.3333333333334,-7.666666666666667,-17.333333333333332,LAND,1500.0,180.0
13:55:42,-0.016119592512647312,0.0007627129816683009,0.10785222053527832,-1.4332352876663208,0.0013353927060961723,-0.015726810942093532,-35.3632621,149.16523715,46899.25,3.75,2.25,117.75,1.75,-42.5,-1040.5,-1354.0,1.75,-11.0,LAND,1500.0,180.0
13:55:44,0.004123067221371457,-0.000249851785156352,0.08684165216982365,0.541182367131114,-0.005831862799823284,-0.017365096136927605,-35.363262325,149.16523882500002,44445.5,3.5,-4.75,117.5,1.8,-28.8,-1006.8,249.2,-3.6,-18.0,LAND,1500.0,180.0
13:55:46,0.000964752243210872,-0.0034698826105644307,0.0717347872753938,1.126913199822108,0.002940544751860822,-0.003816604420232276,-35.36326256666666,149.1652385,42311.666666666664,4.166666666666667,-8.333333333333334,115.33333333333333,-0.8333333333333334,76.33333333333333,-1020.8333333333334,1133.3333333333333,3.3333333333333335,-3.1666666666666665,LAND,1500.0,150.0
13:55:48,0.005829354573506862,-0.003016165253939107,0.0594754982739687,1.0518133342266083,0.006258056111012896,2.789242231907944e-05,-35.36326268333334,149.16523765,40197.333333333336,5.333333333333333,-2.1666666666666665,95.66666666666667,0.0,72.16666666666667,-990.5,1058.0,6.333333333333333,0.3333333333333333,LAND,1500.0,150.0
13:55:50,-0.029823798065384228,0.0029521113998877504,0.04804982617497444,-1.2655308643976848,-0.004035978529524679,-0.01380699958341817,-35.3632625,149.16523875,37944.0,5.5,-5.833333333333333,131.5,4.333333333333333,-55.833333333333336,-985.5,-1265.0,-3.3333333333333335,-13.0,LAND,1500.0,200.0
13:55:52,-0.044420089262227215,0.0016346147507041071,0.03669352208574613,0.7101744823157787,-0.0008153887077545127,-0.000706582892841349,-35.3632625,149.16524315,35154.666666666664,3.5,-34.833333333333336,130.16666666666666,1.6666666666666667,45.333333333333336,-1005.5,713.0,-0.16666666666666666,-0.3333333333333333,LAND,1500.0,190.0
13:55:54,-0.03744121796141068,-0.007410173692430059,0.027085972639421623,-1.378136416276296,-0.0027867736547098807,0.0020386699470691383,-35.36326259999999,149.16524331666668,32558.333333333332,2.0,-54.833333333333336,123.83333333333333,-3.6666666666666665,-65.33333333333333,-996.5,-1382.1666666666667,-2.0,2.6666666666666665,LAND,1500.0,145.0
13:55:56,0.0033981206658305987,-0.008169456850737333,0.020544056159754593,-0.7733510981003443,0.0005698232174230119,0.001033071574056521,-35.36326258333333,149.16523863333336,30599.166666666668,3.0,-26.333333333333332,52.166666666666664,-4.166666666666667,-30.166666666666668,-1002.3333333333334,-775.8333333333334,0.8333333333333334,1.6666666666666667,LAND,1500.0,100.0
13:55:58,0.03272467696418365,-0.004760324799766143,0.015642272618909676,0.7403558517495791,0.00027138049093385536,-0.004335714969784021,-35.36326233333334,149.16523508333333,29321.0,2.6666666666666665,7.666666666666667,62.833333333333336,-1.8333333333333333,28.833333333333332,-1009.5,738.3333333333334,0.0,-2.8333333333333335,LAND,1500.0,40.0
13:56:00,0.01227190054487437,8.148153059058434e-05,0.009817942200849453,-0.10991725077231725,0.0014034044870641083,-0.004398674296680838,-35.363262049999996,149.1652348,28506.166666666668,0.8333333333333334,20.0,17.0,0.8333333333333334,-5.0,-1001.6666666666666,-110.83333333333333,1.5,-2.6666666666666665,LAND,1500.0,40.0
13:56:02,0.013645608094520867,0.0011453420811449178,0.0038298078579828143,1.0780769735574722,-0.00026712672115536407,0.00038378327735699713,-35.363261924999996,149.1652365,27830.5,-0.25,12.0,57.75,0.0,36.0,-984.6,757.8,0.8,0.6,LAND,1500.0,60.0
13:56:04,0.016419255329916876,-0.0015469600912183523,-0.0006448489233055928,0.2609147895127535,-0.0010764567802349727,-0.0025834414700511843,-35.363261949999995,149.16523678333334,26673.833333333332,-1.0,5.0,60.833333333333336,-0.5,-11.5,-1009.0,255.83333333333334,-0.5,-1.3333333333333333,LAND,1500.0,40.0
13:56:06,0.0243834105009834,-0.003271878114901483,-0.004178969926821689,0.11959661915898323,0.0005934101063758135,-0.002770979927542309,-35.363262,149.16523525,25817.0,-0.5,13.333333333333334,19.666666666666668,-1.5,5.833333333333333,-999.5,119.0,0.8333333333333334,-1.1666666666666667,LAND,1500.0,40.0
13:56:08,0.034664308186620474,-0.0015421260613948107,-0.007747602571422855,1.0286225552360218,0.0036752401501871645,7.357267895713449e-05,-35.36326209999999,149.16523421666668,25182.166666666668,0.0,24.333333333333332,65.66666666666667,0.0,45.0,-949.6666666666666,1029.8333333333333,3.8333333333333335,1.0,LAND,1500.0,140.0
13:56:10,0.018250473774969578,0.0022350698709487915,-0.010762890335172415,1.4542750716209412,-0.0014371279103215784,0.0022871891706017777,-35.36326201999999,149.16523564,23082.8,0.0,22.6,95.6,1.4,65.8,-995.8,1421.8,-0.4,3.6,LAND,1500.0,170.0
13:56:12,-0.008199315828581652,-0.0015750276046067786,-0.013044826375941435,-0.46975356092055637,-0.005066926959746827,0.010256913024932146,-35.363262,149.16523658333332,20956.166666666668,-0.8333333333333334,9.666666666666666,114.66666666666667,0.0,17.333333333333332,-1002.0,-462.6666666666667,-4.333333333333333,11.0,LAND,1500.0,170.0
13:56:14,-0.0031792736146599053,-0.0023790914565324783,-0.015871240757405758,-1.0149431586265565,0.0008020260836929082,-0.0005126437870785594,-35.3632622,149.16523562,18659.4,0.4,14.6,87.6,0.3333333333333333,-29.833333333333332,-1012.6666666666666,-1088.1666666666667,1.5,0.6666666666666666,LAND,1500.0,140.0
13:56:16,-0.005016508046537638,-0.002456813488000383,-0.017964139270285766,-0.5109982242186865,-0.0007196817411265025,0.0005143386855100592,-35.3632622,149.1652359,16910.833333333332,0.6666666666666666,14.333333333333334,92.5,-0.8333333333333334,14.0,-1003.6666666666666,-503.6666666666667,-0.5,1.6666666666666667,LAND,1500.0,120.0
13:56:18,0.03243102692067623,-0.0028814066317863762,-0.018696228352685768,0.935511864721775,0.0015127046208363026,-0.0027843102773961923,-35.363262283333334,149.16523503333335,15248.333333333334,1.6666666666666667,18.0,78.5,0.3333333333333333,32.666666666666664,-1005.1666666666666,936.1666666666666,1.6666666666666667,-1.1666666666666667,LAND,1500.0,120.0
13:56:20,0.03114770321796338,-7.237260312346432e-05,-0.02052712005873521,0.6300520524382591,-0.0009361473106158277,-0.0022062523057684302,-35.363262166666665,149.16523530000003,13538.166666666666,0.5,18.333333333333332,101.16666666666667,0.16666666666666666,-4.333333333333333,-980.1666666666666,626.0,-0.8333333333333334,-0.8333333333333334,LAND,1500.0,160.0
13:56:22,0.01403246975193421,-0.0009737262638130536,-0.0213997686902682,0.6839810361464819,0.0019840836321236566,0.010069417883642018,-35.36326209999999,149.16523533333336,11431.833333333334,0.0,18.5,107.83333333333333,-0.8333333333333334,63.833333333333336,-1014.5,692.5,2.3333333333333335,11.166666666666666,LAND,1500.0,70.0
13:56:24,0.004719684288526575,0.002862690501691153,-0.02227863110601902,-0.08664322892824809,0.003100395668298006,-0.0035465969316040478,-35.36326196666666,149.1652363,10015.666666666666,0.0,15.0,35.166666666666664,2.0,-17.0,-992.0,-86.33333333333333,2.8333333333333335,-2.0,LAND,1500.0,70.0
13:56:26,-0.030435138382017612,0.0028308535111136734,-0.023881701442102592,0.0509777640302976,-0.0003038216576290627,0.008365737662340203,-35.3632618,149.16523921666666,8977.333333333334,-1.8333333333333333,-4.5,88.0,1.3333333333333333,36.166666666666664,-949.0,60.5,0.0,9.5,LAND,1500.0,150.0
13:56:28,-0.01725957092518608,-0.0016281847492791712,-0.02493362066646417,0.09294997652371724,-0.0026021372759714723,0.0009097640674250821,-35.36326199999999,149.16524045000003,7833.166666666667,-1.5,-20.666666666666668,-5.0,0.6666666666666666,4.666666666666667,-1028.0,94.83333333333333,-2.0,2.0,LAND,1500.0,190.0
13:56:30,-0.013273430173285306,-0.0016776503568204741,-0.025362909771502018,0.03278384986333549,-0.00048245714666942757,8.363928645849228e-05,-35.36326209999999,149.16524045,8015.333333333333,0.0,-25.333333333333332,-2.1666666666666665,-0.6666666666666666,0.5,-993.3333333333334,33.333333333333336,0.0,1.1666666666666667,LAND,1500.0,190.0
13:56:32,0.00250362098934905,-0.0024983581776420274,-0.02651146085311969,-0.03188645839691162,0.0020520037796813995,0.0009850237790184717,-35.36326209999999,149.1652387,8031.666666666667,-0.8333333333333334,-17.5,0.8333333333333334,-2.0,2.0,-999.6666666666666,-30.666666666666668,2.1666666666666665,2.0,LAND,1500.0,130.0
13:56:34,-0.007614269474288449,0.002569572115316987,-0.02659347131848335,-0.17740913480520248,-0.00029041016823612155,0.0041118998313322665,-35.36326178,149.1652378,7946.6,-1.6,-4.4,25.0,0.16666666666666666,4.166666666666667,-950.0,-98.16666666666667,0.5,4.833333333333333,LAND,1500.0,150.0
13:56:36,-0.015140601191281652,0.0012025363406185836,-0.02834111948808034,0.6643127799034119,0.00032505478399495286,0.002681618284744521,-35.3632617,149.16523883333335,6410.166666666667,-3.3333333333333335,-6.666666666666667,114.66666666666667,-0.8333333333333334,70.5,-990.3333333333334,672.8333333333334,1.0,3.6666666666666665,LAND,1500.0,150.0
13:56:38,0.012606304255314171,-0.0032496988230074444,-0.02760128490626812,0.1922979278024286,-0.0004830002726521343,0.002134817730014523,-35.3632619,149.16523726666665,4565.166666666667,-3.0,-4.5,43.166666666666664,-2.8333333333333335,17.333333333333332,-1046.3333333333333,194.0,0.3333333333333333,3.1666666666666665,LAND,1500.0,60.0
13:56:40,0.02988173036525647,-0.00282456500766178,-0.02836067819346984,0.4880837235056485,0.003290041689372932,0.002106265844001124,-35.363262049999996,149.1652347,3915.1666666666665,-0.3333333333333333,15.666666666666666,39.5,-1.6666666666666667,24.333333333333332,-991.8333333333334,489.5,3.5,3.5,LAND,1500.0,160.0
13:56:42,0.03990178219974041,-0.0014025657903403044,-0.02884281761944294,1.2695140361785888,0.005638345016632229,0.011788804177194833,-35.36326209999999,149.16523343333333,2430.6666666666665,0.0,30.333333333333332,120.16666666666667,-1.3333333333333333,64.83333333333333,-985.6666666666666,1332.0,7.666666666666667,14.833333333333334,LAND,1500.0,160.0
13:56:44,0.019983244749406975,0.0003947211565294613,-0.028321057247618835,0.3411310004691283,0.0009543869722013673,0.003434334745785842,-35.36326209999999,149.16523356666664,280.3333333333333,0.0,34.166666666666664,81.33333333333333,-0.16666666666666666,32.833333333333336,-1045.6666666666667,347.0,1.8333333333333333,5.0,LAND,1500.0,80.0
13:56:46,0.01665170261791597,0.0019078146645673162,-0.028604164409140747,-0.21416378890474638,0.0109908903153458,-0.008637292543426156,-35.36326196666666,149.16523426666666,0.0,0.16666666666666666,27.5,68.66666666666667,-1.5,-32.166666666666664,-996.1666666666666,-213.16666666666666,11.333333333333334,-6.833333333333333,LAND,1500.0,50.0
13:56:48,0.004058818526876469,0.0019332082204831142,-0.028979141886035602,-0.0005572019532943765,0.0016273711614000301,0.000637305318377912,-35.3632617,149.16523436666668,0.0,-1.1666666666666667,3.6666666666666665,42.333333333333336,0.0,0.0,-1000.0,2.0,2.0,2.0,LAND,1500.0,50.0
13:56:50,0.0007367318467004225,0.004002802694837253,-0.026825508723656338,-0.0006930415596192082,0.0016341068355056148,0.0006561851478181779,-35.363261849999994,149.16523368333333,0.0,-6.0,-1.0,26.0,0.0,0.0,-1000.0,2.0,2.0,2.0,LAND,1500.0,70.0
