time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,chan4_raw
13:47:19,1500.0,-35.3632622,149.1652375,6.0,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,0.0,-0.0006653654854744673,0.001085661118850112,0.021034416742622852,0.0002526832977309823,0.00026305773644708097,0.0014373034937307239,AUTO,1500.0
13:47:21,1500.0,-35.3632622,149.1652375,6.0,0.0,0.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.5,-0.0002345454049645923,0.0016131923766806722,0.02056315913796425,0.00031114890589378774,0.00023735713330097497,0.001471014868002385,AUTO,1500.0
13:47:23,1500.0,-35.3632621,149.1652375,1212.0,0.0,3.0,-141.0,0.0,0.0,-1029.5,47.5,-5.5,0.5,0.016631463542580605,0.00013039488112553954,0.01973740290850401,0.047567492350935936,-0.006556038744747639,0.0013498945336323231,AUTO,1500.0
13:47:25,1500.0,-35.3632609,149.16524435000002,4246.5,6.5,44.0,-147.0,4.0,-10.0,-1007.0,-30.5,-58.0,2.5,-0.02135409228503704,-0.004104079445824027,-0.04565105214715004,-0.031988466158509254,-0.059220644645392895,0.0028840810991823673,AUTO,1500.0
13:47:27,1500.0,-35.36326085,149.1652414,7307.5,-23.5,-65.0,-147.5,-4.5,14.5,-1002.5,69.5,8.0,-14.0,-0.030074327252805233,0.021858463995158672,-0.13834770768880844,0.06925906240940094,0.008013541111722589,-0.013888480141758919,AUTO,1500.0
13:47:29,1500.0,-35.36326665,149.1652295,10301.5,-20.5,-17.0,-143.5,-4.5,7.0,-1006.5,69.5,7.5,-661.0,0.061591848731040955,0.02408989891409874,-0.7516716420650482,0.06916540116071701,0.0074234091443941,-0.6611914038658142,AUTO,1347.0
13:47:31,1500.0,-35.36326185,149.1652378,13191.5,63.5,43.5,-143.0,21.0,2.5,-1030.0,-144.0,-257.5,-209.5,0.006903741974383593,-0.07500802353024483,-2.0338648557662964,-0.14470919221639633,-0.2587033063173294,-0.20980512164533138,AUTO,1500.0
13:47:33,1500.0,-35.36326575,149.16522544999998,16142.0,-81.0,-97.5,-147.0,-30.5,-9.5,-1016.0,34.5,118.5,5.0,-0.0027630258118733764,0.0009018215350806713,-2.029778003692627,0.034307507798075676,0.11847420409321785,0.005640646792016923,AUTO,1500.0
13:47:35,1500.0,-35.3632724,149.1652181,19289.5,44.5,60.0,-143.0,10.0,4.0,-987.0,-27.5,-12.5,4.0,0.029325897805392742,0.152946338057518,-2.0716785192489624,-0.028833831194788218,-0.012956017628312111,0.004238806664943695,AUTO,1500.0
13:47:37,1500.0,-35.3632584,149.16523695,22284.5,62.0,52.0,-154.5,21.5,1.5,-1006.5,-49.5,-45.0,-25.5,-0.03667877335101366,-0.05493568629026413,-1.9579665064811707,-0.05105389840900898,-0.046633971855044365,-0.025844831950962543,AUTO,1500.0
