time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,chan4_raw
13:47:39,1500.0,-35.36326245,149.16523784999998,25377.0,-81.0,-25.0,-149.0,-18.5,6.0,-1011.5,77.5,109.5,39.0,-0.002806419273838401,-0.00515929376706481,-1.9844292998313904,0.07710175588726997,0.10946881026029587,0.03917381539940834,AUTO,1500.0
13:47:41,1500.0,-35.3632687,149.16523645,28513.5,50.5,10.0,-144.0,6.0,-4.5,-963.0,-114.5,-58.5,343.5,0.08015579357743263,0.03837511967867613,-1.9194648265838623,-0.11489761108532548,-0.05930390255525708,0.34344167821109295,AUTO,1860.0
13:47:43,1500.0,-35.3632613,149.16523705,31412.0,11.5,2.0,-146.0,0.0,-3.5,-1001.0,6.0,-21.0,706.0,-0.008675303077325225,0.023010832257568836,-0.5209458321332932,0.005582610261626542,-0.02240134682506323,0.7071288824081421,AUTO,1860.0
13:47:45,1500.0,-35.363263149999995,149.16523635,34410.5,-46.5,-33.5,-147.0,6.5,7.5,-1003.5,90.5,-57.0,-45.5,-0.01901129726320505,0.07629930973052979,0.2704624980688095,0.09013030305504799,-0.05817520618438721,-0.04580654390156269,AUTO,1500.0
13:47:47,1500.0,-35.36327705,149.16523425000003,37459.5,-47.0,33.0,-152.0,16.0,-1.0,-1005.0,-86.5,-41.5,5.5,0.0013268818147480488,-0.07652128115296364,0.2246660366654396,-0.08797726407647133,-0.04274722933769226,0.005047550774179399,AUTO,1500.0
13:47:49,1500.0,-35.3632688,149.16523705,40497.0,126.5,-18.0,-144.5,-27.0,-2.5,-1003.5,40.5,71.0,-1.0,-0.02580625470727682,-0.059197861701250076,0.2208126038312912,0.03985615819692612,0.07064558565616608,-0.0019437872688286006,AUTO,1500.0
13:47:51,1500.0,-35.363249499999995,149.16523105,43615.5,31.5,-15.0,-157.5,-13.0,1.0,-1002.0,40.5,46.0,-15.0,0.055634161457419395,0.09309427812695503,0.20708847045898438,0.0401200745254755,0.045542359352111816,-0.015503042843192816,AUTO,1500.0
13:47:53,1500.0,-35.3632611,149.1652374,46608.0,-134.5,57.0,-143.5,35.5,-4.0,-1021.0,-42.5,-146.0,45.0,-0.006497324095107615,0.023603065754286945,0.16407612711191177,-0.04385377559810877,-0.14750201255083084,0.04495853837579489,AUTO,1920.0
13:47:55,1500.0,-35.3632626,149.16523815,49423.5,69.5,-39.0,-106.5,1.0,20.5,-935.0,245.0,-227.0,757.0,0.03614887595176697,-0.08005175553262234,1.674019992351532,0.24430850893259048,-0.22844019159674644,0.7570322155952454,AUTO,1920.0
13:47:57,1500.0,-35.36326105,149.165238,50290.0,-21.0,5.5,1.5,-2.5,-38.5,-973.5,-397.5,26.0,-3.5,0.010494214948266745,0.012131945695728064,2.3148343563079834,-0.3981533870100975,0.025197811424732208,-0.004284144495613873,AUTO,1500.0
13:47:59,1500.0,-35.363260999999994,149.16523705,49997.0,38.5,-21.0,4.5,5.0,-26.0,-1002.5,-378.0,13.0,8.5,-0.03069125860929489,0.04861532710492611,2.2981317043304443,-0.3781663589179516,0.012265083845704794,0.008214657194912434,AUTO,1500.0
13:48:01,1500.0,-35.363245,149.1652297,49959.0,161.5,-63.0,-0.5,-24.5,55.0,-1006.5,305.0,-29.5,-746.0,-0.12346112728118896,-0.02494338946416974,1.1767469644546509,0.3034808114171028,-0.03139254963025451,-0.7468142211437225,AUTO,1500.0
13:48:03,1500.0,-35.36319555,149.16520889999998,49934.0,367.0,-130.5,0.0,-86.0,-50.5,-1002.0,64.5,-38.5,-381.0,0.03429934289306402,-0.18600747734308243,-0.2683970481157303,0.06403623521327972,-0.04029705934226513,-0.38222427293658257,AUTO,1500.0
13:48:07,1500.0,-35.3630579,149.1651528,49968.0,603.0,-204.0,-4.0,-139.0,6.0,-985.0,-9.0,5.0,451.0,-0.0276815015822649,-0.1782037913799286,0.26868611574172974,-0.010912585072219372,0.00412006676197052,0.4506077468395233,AUTO,1812.0
13:48:09,1500.0,-35.3629466,149.16510785000003,50046.0,629.5,-210.0,-2.5,-75.0,128.5,-977.5,48.5,6.5,99.5,-0.11835600063204765,-0.08230321481823921,1.2600629925727844,0.04734042473137379,0.004958955571055412,0.09880508854985237,AUTO,1500.0
13:48:11,1500.0,-35.362836400000006,149.16506305000001,50087.0,565.0,-190.5,-1.5,-74.5,111.5,-988.0,-303.0,11.5,-39.5,-0.04988541826605797,-0.07134240865707397,1.2514107823371887,-0.30479922890663147,0.010108016431331635,-0.04077204782515764,AUTO,1500.0
13:48:13,1500.0,-35.362750399999996,149.16502815,50056.0,371.5,-117.5,4.0,-48.0,111.0,-998.0,703.0,-30.5,58.0,0.058651089668273926,-0.06480849161744118,1.250714898109436,0.7011899948120117,-0.03261434193700552,0.05719998269341886,AUTO,1500.0
13:48:15,1500.0,-35.3627022,149.16502075,49973.0,185.5,56.5,1.0,-43.5,27.5,-1014.0,577.5,-19.0,-1.5,0.1068514734506607,-0.11655260249972343,1.2463734149932861,0.5771915316581726,-0.021183335222303867,-0.002329519484192133,AUTO,1500.0
13:48:17,1500.0,-35.36268115,149.16506195,49906.0,99.5,303.0,0.0,-63.5,-31.5,-1011.0,171.5,17.5,216.0,0.08763301372528076,-0.16874271631240845,1.2395774722099304,0.17061686143279076,0.01622792985290289,0.21591981500387192,AUTO,1500.0
13:48:19,1500.0,-35.362665250000006,149.1651561,49882.0,119.5,527.5,-1.0,-24.0,-119.5,-1009.5,-15.0,73.0,-718.5,0.18346136808395386,-0.09520049765706062,0.520159050822258,-0.014973742887377739,0.0715966634452343,-0.7193387448787689,AUTO,1291.0
13:48:21,1500.0,-35.36264355,149.1652896,49978.5,127.5,655.0,-3.0,115.5,-88.5,-988.5,-6.5,-7.0,65.5,0.1322965770959854,0.13471414148807526,-0.4947376847267151,-0.006875120103359222,-0.009044204838573933,0.06524189189076424,AUTO,1500.0
13:48:23,1500.0,-35.3626225,149.1654378,50069.5,121.5,673.5,1.5,119.5,-97.5,-979.5,63.0,-13.0,11.0,0.10851919651031494,0.10659655928611755,-0.47223517298698425,0.06262669712305069,-0.014944833936169744,0.010392890311777592,AUTO,1500.0
13:48:25,1500.0,-35.3626002,149.1655863,49999.5,135.0,682.5,0.0,105.5,-112.0,-984.0,-95.0,7.5,-1.0,0.11424312368035316,0.11558141931891441,-0.4709038585424423,-0.09546010941267014,0.006450284505262971,-0.002725750324316323,AUTO,1500.0
13:48:27,1500.0,-35.36257635,149.16573540000002,50006.5,135.5,681.5,0.5,118.5,-106.0,-984.0,71.5,-6.5,-1.5,0.11504163593053818,0.11496389284729958,-0.46836477518081665,0.07127412036061287,-0.008548593381419778,-0.00260210782289505,AUTO,1500.0
13:48:29,1500.0,-35.3625526,149.16588305,50001.0,138.0,682.5,0.5,99.5,-111.0,-989.0,50.0,16.5,742.0,0.13533426821231842,0.09289970621466637,-0.2737090513110161,0.04954230412840843,0.015003281645476818,0.7416203916072845,AUTO,1751.0
13:48:31,1500.0,-35.362529499999994,149.1660302,50014.5,137.0,672.0,0.0,-113.5,-107.5,-986.0,-68.0,-4.5,717.0,0.09626772627234459,-0.11628778278827667,1.1622013449668884,-0.0686549823731184,-0.006322748959064484,0.715871125459671,AUTO,1751.0
13:48:33,1500.0,-35.36250485,149.1661777,49982.0,138.5,678.0,0.0,-157.5,-44.0,-997.0,-41.0,-6.0,-0.5,0.038591910153627396,-0.16059456020593643,1.6671562194824219,-0.04195388965308666,-0.007937664398923516,-0.0019323249580338597,AUTO,1500.0
13:48:35,1500.0,-35.36248019999999,149.16632695,50004.5,132.0,675.5,-0.5,-156.0,-40.0,-989.5,43.5,16.5,4.0,0.04777339659631252,-0.14969098567962646,1.660667598247528,0.04334081616252661,0.014606542885303497,0.003090545884333551,AUTO,1500.0
13:48:37,1500.0,-35.3624564,149.16647525,50010.5,126.5,664.5,0.0,-151.5,-39.0,-990.5,23.0,11.5,-11.5,0.043143030256032944,-0.14183299988508224,1.6607946753501892,0.02200343832373619,0.010487559717148542,-0.013264092151075602,AUTO,1500.0
13:48:39,1500.0,-35.362432299999995,149.16662155,49997.0,123.0,661.0,0.5,-154.0,-35.0,-999.0,-71.0,39.5,9.5,0.046413008123636246,-0.14452220499515533,1.660749912261963,-0.07236534729599953,0.0380175270838663,0.008549759862944484,AUTO,1500.0
13:48:41,1500.0,-35.362409549999995,149.16676030000002,50103.0,100.0,565.0,-0.5,-123.5,-16.0,-991.0,414.0,63.5,-3.0,0.0826687142252922,-0.04585712030529976,1.666929543018341,0.4129023253917694,0.062498949468135834,-0.004370691254734993,AUTO,1500.0
13:48:43,1500.0,-35.36239445,149.1668638,50059.5,53.5,345.0,5.0,-75.0,29.5,-995.0,270.5,27.0,760.0,0.08777039125561714,-0.019008629024028778,2.516018867492676,0.2712760902941227,0.025478072464466095,0.758879154920578,AUTO,1783.0
13:48:45,1500.0,-35.36239225,149.1669134,50002.5,-45.5,73.5,3.0,-11.5,-9.0,-1012.5,-523.5,5.0,171.5,0.04214742220938206,-0.17173293232917786,-2.412961483001709,-0.5239148288965225,0.002781677059829235,0.17001767456531525,AUTO,1500.0
13:48:47,1500.0,-35.3624178,149.16690434999998,49949.0,-235.5,-175.0,4.5,-55.5,-32.0,-1011.0,274.0,22.5,218.5,0.09684085100889206,-0.20562905818223953,-2.583452582359314,0.2730102017521858,0.020849070511758327,0.21740654855966568,AUTO,1500.0
13:48:49,1500.0,-35.36247755,149.16684865,49915.0,-414.5,-332.5,2.5,-96.0,-66.0,-997.5,-27.5,13.0,3.0,0.06808082386851311,-0.2146858498454094,-2.5069864988327026,-0.028840838000178337,0.010560209164395928,0.0018939553992822766,AUTO,1500.0
13:48:51,1500.0,-35.3625646,149.16676569999998,49964.5,-529.5,-418.5,-5.0,-128.5,-68.0,-987.0,32.5,33.5,8.5,0.0831848718225956,-0.16488612443208694,-2.50620698928833,0.031237437389791012,0.031495681032538414,0.006374432356096804,AUTO,1500.0
13:48:53,1500.0,-35.3626625,149.16667315,50076.0,-544.0,-423.5,2.0,-132.0,-85.0,-970.5,4.0,-46.0,6.0,0.084507767111063,-0.1355159506201744,-2.5047446489334106,0.001719759777188301,-0.04919503815472126,0.004640323808416724,AUTO,1500.0
13:48:55,1500.0,-35.3627614,149.16658065000001,50009.5,-556.0,-418.0,1.5,-20.5,-158.0,-995.0,-14.0,14.5,-726.0,0.15336277335882187,-0.028907453641295433,2.871484398841858,-0.016124810092151165,0.012557754293084145,-0.7283096015453339,AUTO,1260.0
13:48:57,1500.0,-35.36286105,149.16649045,50009.5,-546.0,-414.0,2.0,130.5,-82.5,-990.5,24.0,4.5,-92.0,0.07675011828541756,0.1464235633611679,1.7223483324050903,0.0219725938513875,0.0025322274304926395,-0.09397411532700062,AUTO,1500.0
13:48:59,1500.0,-35.3629591,149.16639905,50002.0,-541.5,-423.5,0.0,137.5,-86.0,-983.0,6.5,23.5,2.0,0.08274267986416817,0.13807091116905212,1.7375421524047852,0.004642121493816376,0.021554570645093918,0.0007744512404315174,AUTO,1500.0
13:49:01,1500.0,-35.3630572,149.1663074,50016.0,-546.0,-415.0,-0.5,135.0,-73.5,-985.5,0.5,8.5,8.5,0.07954995334148407,0.13122999668121338,1.7374380230903625,-0.0022092871367931366,0.006744603859260678,0.007011987792793661,AUTO,1500.0
13:49:03,1500.0,-35.36315515,149.16621705,50004.0,-546.5,-407.0,0.5,140.5,-76.5,-995.0,-50.0,-13.0,0.5,0.0819615088403225,0.13064148277044296,1.736705720424652,-0.05288521759212017,-0.015804001595824957,-0.0014309065882116556,AUTO,1500.0
13:49:05,1500.0,-35.363253,149.16612709999998,49984.0,-548.5,-404.5,0.0,129.5,-76.0,-991.5,-4.5,-16.0,-10.0,0.08689355477690697,0.13073664158582687,1.7378147840499878,-0.00637742318212986,-0.018870216794312,-0.011899685661774129,AUTO,1500.0
13:49:07,1500.0,-35.36335095,149.16603809999998,49982.0,-547.5,-406.5,0.0,148.5,-61.0,-995.0,34.0,-22.0,-703.0,0.06314810737967491,0.14849133789539337,1.5506095886230469,0.031548431143164635,-0.024504634202457964,-0.7055129706859589,AUTO,1075.0
13:49:09,1500.0,-35.36344885,149.16595,50026.0,-532.0,-396.0,-7.5,74.5,118.0,-990.5,-68.5,-50.5,-709.5,-0.11811681464314461,0.03410373441874981,0.11762922536581755,-0.07161162048578262,-0.05359446443617344,-0.7121081650257111,AUTO,1075.0
13:49:11,1500.0,-35.363534,149.16587164999999,50082.5,-400.5,-311.0,1.0,-4.5,112.0,-995.5,-477.0,-2.5,10.0,-0.03893979825079441,-0.07240845635533333,-0.39301684498786926,-0.48031026124954224,-0.005547376349568367,0.008949701383244246,AUTO,1500.0
13:49:13,1500.0,-35.36358894999999,149.1658177,50022.5,-212.5,-165.0,3.5,-4.5,102.5,-1000.0,511.5,1.5,0.0,0.04175424575805664,-0.05850456655025482,-0.3920705169439316,0.5080915838479996,-0.0008931877091526985,-0.0017014042241498828,AUTO,1500.0
13:49:15,1500.0,-35.363612849999996,149.16579430000002,50012.0,-50.0,-32.5,3.5,-1.5,9.5,-1003.0,151.5,29.0,-7.0,0.06196635402739048,-0.038055384531617165,-0.39048129320144653,0.1497381255030632,0.027420634403824806,-0.008992169983685017,AUTO,1500.0
13:49:17,1500.0,-35.3636167,149.16579155,50022.0,9.0,19.5,2.0,1.5,7.0,-1009.5,-196.5,15.0,7.5,0.013894532341510057,-0.0052084572380408645,-0.38820338249206543,-0.20049618184566498,0.013339394005015492,0.005972690647467971,AUTO,1500.0
13:49:19,1500.0,-35.3636172,149.1657933,50021.5,0.0,1.0,0.5,0.5,-11.0,-999.0,182.0,-8.5,-713.5,0.011785299284383655,-0.011626576539129019,-1.238832712173462,0.18018794804811478,-0.010610130615532398,-0.7160885035991669,AUTO,1281.0
13:49:21,1500.0,-35.36361345,149.16579009999998,50008.0,68.5,-46.5,1.0,14.5,-17.0,-999.5,-338.0,4.5,-71.5,0.07063231989741325,0.029334882274270058,-2.4391778707504272,-0.34237699396908283,0.0027353002806194127,-0.07342864945530891,AUTO,1500.0
13:49:23,1500.0,-35.36359075,149.1657706,49982.0,205.5,-147.0,3.0,43.0,-54.5,-996.5,2.5,30.0,-21.0,0.15891482681035995,0.07181975618004799,-2.4143173694610596,0.0004040151834487915,0.02843950130045414,-0.023409794084727764,AUTO,1500.0
13:49:25,1500.0,-35.36353835,149.16572445,49940.0,380.0,-263.0,4.0,72.5,-78.5,-996.0,-84.0,13.0,15.5,0.18070819973945618,0.10641780495643616,-2.4081751108169556,-0.08744608983397484,0.011731103993952274,0.013647967483848333,AUTO,1500.0
13:49:27,1500.0,-35.363456600000006,149.1656542,49950.5,517.5,-351.5,-3.5,89.0,-105.0,-989.5,-5.0,-9.5,5.0,0.14925508946180344,0.11461754143238068,-2.408520221710205,-0.008932961151003838,-0.011995978187769651,0.0029619791312143207,AUTO,1500.0
