time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,RTL_ALT,MODE
05:12:50,0.0,1.5,-1000.0,1.0,0.0,1.0,-0.0006174247828312218,0.0009608453838154674,0.020123787224292755,0.0001551522291265428,0.00024528405629098415,0.0015224579256027937,-35.3632622,149.1652376,0.0,-1.0,2.0,2.0,168365.0,STABILIZE
05:12:54,0.0,1.0,-1000.0,0.5,0.0,1.0,-0.0010558779467828572,0.0009917168645188212,0.019611693918704987,0.00023523310665041208,0.00029141519917175174,0.00141042162431404,-35.3632622,149.1652375,0.0,-1.0,0.5,2.0,168365.0,AUTO
05:12:56,0.0,2.0,-1000.0,1.0,0.0,0.0,-0.0004774561384692788,0.0014053291524760425,0.019388938322663307,0.0002494894142728299,0.00022738429834134877,0.0013785212067887187,-35.3632621,149.1652375,0.0,0.0,0.0,1.0,158966.0,AUTO
05:12:58,0.0,0.0,-1118.5,-3.0,4.0,0.5,0.0019325179164297879,0.0006170479900902137,0.01914419885724783,-0.003379759204108268,0.0037597089540213346,0.0013954417081549764,-35.3632621,149.1652375,290.0,0.0,0.0,-83.5,149567.0,AUTO
05:13:00,1.5,-9.5,-992.0,-62.5,54.5,-69.5,0.05371716059744358,0.0005325218662619591,-0.017757471883669496,-0.0636531631462276,0.054813836701214314,-0.07014840468764305,-35.3632615,149.16524025,3105.0,8.5,47.5,-145.5,149567.0,AUTO
05:13:01,3.75,-4.25,-1002.0,-44.5,-33.0,-20.0,-0.05051424354314804,0.008411798626184464,-0.0876508429646492,-0.04552001366391778,-0.03417248546611518,-0.01995660106331343,-35.363260975,149.1652458,5010.75,-3.75,18.75,-148.0,72623.0,AUTO
05:13:02,-1.0,4.0,-1002.5,46.0,-1.5,0.5,-0.06628205627202988,-0.014003096148371696,-0.08713967353105545,0.04564890079200268,-0.001967528834939003,0.00043549592373892665,-35.363261249999994,149.1652458,6169.0,-2.0,-29.0,-148.0,72623.0,AUTO
05:13:04,-4.5,7.0,-1001.0,46.5,19.0,-8.0,0.055374592542648315,0.008169116219505668,-0.08510490879416466,0.04599565453827381,0.01893035788089037,-0.007825671695172787,-35.3632614,149.16523495,9267.0,-2.5,-26.5,-152.0,72623.0,AUTO
05:13:06,1.5,-1.5,-1001.5,-1.5,-0.5,-18.0,-0.015480293426662683,-0.006857709726318717,-0.10210275277495384,-0.0023307843366637826,-0.0010586703137960285,-0.018461537547409534,-35.3632625,149.16523655,12360.0,-2.0,9.5,-150.5,121242.0,AUTO
05:13:08,-2.0,0.0,-1000.0,9.0,6.0,-18.5,0.006875869818031788,0.0042545770993456244,-0.14863865822553635,0.008811555802822113,0.005625263322144747,-0.018994489684700966,-35.36326205,149.165236,15482.0,3.0,-4.5,-152.0,169861.0,AUTO
05:13:10,-1.5,3.0,-980.0,-8.0,89.0,333.0,-0.05046321079134941,0.034460924565792084,-0.10522234998643398,-0.009331653825938702,0.0886530913412571,0.3335314393043518,-35.363261800000004,149.16523465,18578.0,-12.0,-22.5,-143.0,169861.0,AUTO
05:13:11,1.0,4.25,-963.0,30.0,-15.25,-31.0,0.055653166025877,-0.033174272160977125,0.05889496020972729,0.029766424326226115,-0.015952745685353875,-0.031440447084605694,-35.36326405,149.1652308,20091.5,-14.5,-6.25,-93.5,36865.0,AUTO
05:13:12,1.5,-5.5,-973.5,-38.0,34.0,-3.5,0.044955743476748466,-0.020624607801437378,0.043265726417303085,-0.0394235048443079,0.033650580793619156,-0.0038747289654565975,-35.36326425,149.16523145,20727.5,7.5,31.5,-68.5,36865.0,AUTO
05:13:14,0.0,-5.5,-973.5,15.0,0.0,-2.5,-0.012955195736140013,0.014386801049113274,0.03876769356429577,0.013755738735198975,-0.0003828771586995572,-0.0029565570293925703,-35.3632616,149.16523890000002,21649.0,7.0,22.0,-21.5,36865.0,AUTO
05:13:16,2.0,2.0,-1011.5,-223.5,-2.0,-7.0,0.05936734192073345,0.000769509013480274,0.034810516983270645,-0.22531795501708984,-0.0028050432447344065,-0.007383451098576188,-35.363261699999995,149.16523955000002,21496.5,-10.0,13.5,10.0,30456.5,AUTO
05:13:18,-28.0,-6.0,-996.5,512.5,82.5,1069.5,0.03905296139419079,-0.05527610890567303,1.4905650615692139,0.512140616774559,0.08220713585615158,1.0701235830783844,-35.363263,149.16525885,21237.0,-7.5,158.5,13.0,24048.0,AUTO
05:13:20,-32.0,-40.0,-998.5,-287.0,4.0,16.5,0.020361629780381918,-0.022242161445319653,1.678463876247406,-0.28713539987802505,0.0030782660469412804,0.017007294576615095,-35.3632651,149.16529409999998,20855.0,-11.0,151.5,16.0,24048.0,AUTO
05:13:21,-24.0,-8.0,-1006.25,85.75,50.25,-7.75,0.019146307604387403,0.034500112757086754,1.681382417678833,0.08450706966686994,0.04982180520892143,-0.007824151980457827,-35.3632664,149.165313375,20641.25,-8.0,112.75,12.25,31327.0,AUTO
05:13:22,-15.5,-42.0,-1005.5,-542.5,30.5,0.0,0.010929877869784832,0.06885013729333878,1.6786519289016724,-0.5437603443861008,0.02988147409632802,-0.0002807455530273728,-35.363267,149.1653215,20563.5,-5.5,63.5,5.5,31327.0,AUTO
05:13:24,-0.3333333333333333,-8.666666666666666,-997.6666666666666,34.333333333333336,-17.666666666666668,2.0,-0.00022841213891903558,0.005272230618478109,1.6744444370269775,0.03410356491804123,-0.01901938673108816,0.002426501848579695,-35.36326806666667,149.16532593333332,20533.0,2.6666666666666665,-5.666666666666667,-1.0,31327.0,AUTO
05:13:26,-5.333333333333333,11.0,-1005.6666666666666,19.666666666666668,26.333333333333332,-3.0,0.012829952330018083,0.009864164361109337,1.6699865261713664,0.018150988966226578,0.025175994262099266,-0.003159536950988695,-35.36326733333333,149.1653277,20561.666666666668,0.3333333333333333,3.0,-2.6666666666666665,19554.0,RTL
05:13:28,-0.3333333333333333,-3.3333333333333335,-1028.6666666666667,-51.333333333333336,3.6666666666666665,2.3333333333333335,0.018948581690589588,0.0134018591294686,1.6664409240086873,-0.05314647903045019,0.0028062922259171805,0.0027078205021098256,-35.3632655,149.1653292,21221.333333333332,-18.666666666666668,-10.666666666666666,-69.66666666666667,19554.0,RTL
05:13:30,4.0,-0.3333333333333333,-969.3333333333334,-0.6666666666666666,59.333333333333336,0.3333333333333333,0.0005044387168406198,0.04797165716687838,1.664263089497884,-0.0026517933001741767,0.05803267036875089,0.00034017373885338503,-35.36326666666667,149.16532850000002,22797.666666666668,-12.0,-24.0,-64.0,19554.0,RTL
05:13:31,18.333333333333332,9.333333333333334,-955.6666666666666,-5.666666666666667,32.666666666666664,-1.0,-0.009926903527230024,0.1044252837697665,1.6629218260447185,-0.007873049898383519,0.031766886822879314,-0.0013730146068458755,-35.36326716666667,149.165322,23293.666666666668,-2.0,-91.0,-6.0,109444.0,RTL
05:13:32,28.666666666666668,18.0,-991.6666666666666,8.666666666666666,-51.0,0.3333333333333333,-0.020024940371513367,0.09414742638667424,1.662156621615092,0.007046921333918969,-0.05303517604867617,-2.882746533335497e-05,-35.3632671,149.16531246666668,23255.666666666668,4.0,-142.66666666666666,14.0,109444.0,RTL
05:13:34,32.0,20.333333333333332,-1010.6666666666666,-115.33333333333333,1.0,3.3333333333333335,-0.031333813443779945,0.0189971886575222,1.6620517174402873,-0.11803241570790608,-0.0008273258184393247,0.0034384680911898613,-35.36326566666667,149.16527676666666,23056.333333333332,15.333333333333334,-158.66666666666666,2.6666666666666665,109444.0,RTL
05:13:36,18.333333333333332,21.0,-1002.0,294.0,-40.666666666666664,0.6666666666666666,-0.01172193605452776,-0.03670308366417885,1.6609164476394653,0.2925441563129425,-0.04267278934518496,0.00043297970357040566,-35.363263366666665,149.16524633333336,23052.666666666668,15.333333333333334,-101.0,-1.0,183673.0,RTL
05:13:38,0.6666666666666666,-0.3333333333333333,-1002.3333333333334,-153.66666666666666,34.333333333333336,-5.333333333333333,-0.008986356823394695,0.002148036379367113,1.6599133014678955,-0.1556011140346527,0.03301101550459862,-0.005812726604441802,-35.363262399999996,149.16523793333332,23045.333333333332,6.333333333333333,-4.0,0.0,183673.0,RTL
05:13:40,3.0,-7.0,-994.0,43.333333333333336,-18.0,1.0,-0.013897768687456846,0.011135258246213198,1.6560655037562053,0.04241991539796194,-0.020392474407951038,0.0015694007258086156,-35.3632634,149.16523719999998,23042.0,11.666666666666666,-15.0,0.0,183673.0,RTL
05:13:41,-0.3333333333333333,13.333333333333334,-1003.3333333333334,178.33333333333334,4.666666666666667,2.3333333333333335,-0.0154902512828509,-0.0003583619763958268,1.6551836729049683,0.1764326294263204,0.003030449850484729,0.0026207904253775873,-35.36326383333333,149.16523633333333,23041.333333333332,17.0,-6.333333333333333,-1.0,116086.0,RTL
05:13:42,-1.0,-2.6666666666666665,-998.0,-87.66666666666667,5.666666666666667,2.0,-0.01672184591492017,0.0018838155471409361,1.6542265017827351,-0.08903579910596211,0.0035877476135889688,0.002221868916725119,-35.363263966666665,149.16523633333335,23051.333333333332,19.0,-2.0,-0.6666666666666666,116086.0,RTL
05:13:44,-2.3333333333333335,-9.666666666666666,-1002.0,-275.6666666666667,4.666666666666667,-1.0,0.0050820782004545135,0.0038967322713385024,1.6541226307551067,-0.27670764550566673,0.003106172662228346,-0.0013219330382222931,-35.363262600000006,149.16523713333333,23051.0,12.0,-1.3333333333333333,0.0,116086.0,RTL
05:13:46,-2.6666666666666665,14.0,-929.6666666666666,-250.33333333333334,3.0,-1.6666666666666667,0.012879541143774986,0.003573538657898704,1.6529979705810547,-0.2537283773223559,0.001201252608249585,-0.0021960867258409658,-35.36326033333333,149.16523783333332,22496.666666666668,-10.0,-4.666666666666667,82.0,116086.0,RTL
05:13:47,-0.6666666666666666,-72.0,-1032.3333333333333,-1220.3333333333333,4.333333333333333,-1.3333333333333333,0.026389829193552334,0.003984539381538828,1.6529146830240886,-1.220943013827006,0.0024623998130361238,-0.0022284505733599267,-35.363259166666666,149.16523806666666,21106.666666666668,-21.0,-5.0,115.66666666666667,28830.0,RTL
